date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-07-12 23:59:09,WaywardToadSage,,0,0,1,"Time for my new favorite superhero duo...no not #antmanandthewasp but #CloakAndDagger",,,#antmanandthewasp #CloakAndDagger,1017559016799723522,https://twitter.com/WaywardToadSage/status/1017559016799723522
2018-07-12 23:58:36,thecountdownpc,,31,96,96,"This week's cuddly topic on the back of reviewing #AntManAndTheWasp is the best ANIMAL FILMS! Tell us your #Top3 films starring or all about an animal and we'll feature a bunch of responses on the show! #PodernFamilypic.twitter.com/KgvXZ1IG2f",,,#AntManAndTheWasp #Top3 #PodernFamilypic,1017558876500025346,https://twitter.com/thecountdownpc/status/1017558876500025346
2018-07-12 23:57:52,JricadyStudios,,0,1,0,"...as promised... @KatieLeeks is feeling better, so Cady & Katie finally sat down and discussed the @MarvelStudios film, @Antman and The Wasp! #mcu #AntManAndTheWasp #filmtalk Cady & Katie Film Talk // Marvel Studio's Ant Man and The Wasp:https://youtu.be/NH0bwi75_ao",,@KatieLeeks @MarvelStudios @Antman,#mcu #AntManAndTheWasp #filmtalk,1017558691934035969,https://twitter.com/JricadyStudios/status/1017558691934035969
2018-07-12 23:57:35,dwkii,,0,0,0,"Bonus! I had a free ticket on my @RegalMovies Crown Club account! Sitting in the theater now. #antmanandthewasp #MCU",,@RegalMovies,#antmanandthewasp #MCU,1017558620060430336,https://twitter.com/dwkii/status/1017558620060430336
2018-07-12 23:57:17,TheRealBeauYork,,1,0,0,"Praise #AntManAndTheWasp all you want, but the MCU wasted Bill Foster.",,,#AntManAndTheWasp,1017558548027465729,https://twitter.com/TheRealBeauYork/status/1017558548027465729
2018-07-12 23:55:27,SoBrosNetwork,,0,1,2,"Brandon’s Box Office In Your Mouth Ep. 12 is LIVE talking best movies of 2018 so far, #AntManandtheWasp, & MORE! https://www.pscp.tv/w/bhfgczFETEtCeW9Xdm5XUUp8MXZPR3dWUWtNemRLQmw3b_Kppz5DBmHmwROmQSzSl_an4aOJAQeeKWnfQtwe …",,,#AntManandtheWasp,1017558086633115649,https://twitter.com/SoBrosNetwork/status/1017558086633115649
2018-07-12 23:55:25,JeffreyMcAleese,InfinityWarFans,0,0,0,"#antmanandthewasp Also the better movie. The jokes just were coming so quick and so many.. most didnt land.",,,#antmanandthewasp,1017558075333533696,https://twitter.com/JeffreyMcAleese/status/1017558075333533696
2018-07-12 23:49:14,BORReport,,0,0,3,"Daily Box Office Report for Wednesday, July 11, 2018: http://www.boxofficereport.com/daily/20180711.html … #AntManAndTheWasp #Incredibles2 #JurassicWorldFallenKingdom #TheFirstPurge #SicarioMovie #UncleDrew #BoxOfficepic.twitter.com/3IZc4JUfoi",,,#AntManAndTheWasp #Incredibles2 #JurassicWorldFallenKingdom #TheFirstPurge #SicarioMovie #UncleDrew #BoxOfficepic,1017556521578708992,https://twitter.com/BORReport/status/1017556521578708992
2018-07-12 23:48:52,yoyovandvrs,,0,0,2,"I'm ready for new content #AMATWHypeCrew | #AMATWColonyProgram | #AntManAndTheWasp | #TheWasp | #AntManpic.twitter.com/EqoScCxtHa",,,#AMATWHypeCrew #AMATWColonyProgram #AntManAndTheWasp #TheWasp #AntManpic,1017556426477195265,https://twitter.com/yoyovandvrs/status/1017556426477195265
2018-07-12 23:43:27,RedHeadSaidPete,,0,0,1,"Mood after #AntManAndTheWasp knowing there won’t be another @Marvel movie until next yearpic.twitter.com/DMI14Y2W3n",,@Marvel,#AntManAndTheWasp,1017555065618518016,https://twitter.com/RedHeadSaidPete/status/1017555065618518016
2018-07-12 23:43:09,TheSchlubCast,,0,0,0,"This week we talk about the two longest titled sequels of the summer: Ant Man and the Wasp and Sicario: Day of the Soldado. #AntManAndTheWasp #SicarioDayOfTheSoldadohttps://makingapodcast.fireside.fm/81-sicario2-antman-the-wasp-review …",,,#AntManAndTheWasp #SicarioDayOfTheSoldadohttps,1017554991240769536,https://twitter.com/TheSchlubCast/status/1017554991240769536
