date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-05-30 22:43:33,TheApplePips,,0,0,0,"‘Avengers 4’ spoiler suggests that everything isn’t as bad as it seems at the end of ‘Infinity War’ http://bit.ly/2xtul3Z #avengers-4 #entertainment #infinity-war",,,#avengers #entertainment #infinity,1001957311961853952,https://twitter.com/TheApplePips/status/1001957311961853952
2018-05-30 18:20:06,sammywr,,0,0,0,"Jude’s awesome picture #infinity war #Ironman #hulk #blackwidow (or wildow ) #captainamerica #thanos @RobertDowneyJr @MarkRuffalo @ChrisEvans",,@RobertDowneyJr @MarkRuffalo @ChrisEvans,#infinity #Ironman #hulk #blackwidow #captainamerica #thanos,1001891011889651712,https://twitter.com/sammywr/status/1001891011889651712
2018-05-30 11:14:20,hotcelebnews360,,0,0,0,"#Avengers 4 #spoiler: Did #Letitia #Wright let a #HUGE spoiler #slip #after Avengers #Infinity War http://dlvr.it/QVb37k pic.twitter.com/rkkDgbEEvE",,,#Avengers #spoiler #Letitia #Wright #HUGE #slip #after #Infinity,1001783864786804737,https://twitter.com/hotcelebnews360/status/1001783864786804737
2018-05-30 02:00:24,WheadlinesT_US,,0,0,0,"Oh, snap: Avengers: Infinity War’s most traumatic moment was originally in Avengers 4 #snap #Avengers #Infinity #originally #Avengers #whatheadlinestodayus | source: https://whatheadlines.today/read/us/482859 pic.twitter.com/UR9zhK7tNG",,,#snap #Avengers #Infinity #originally #Avengers #whatheadlinestodayus,1001644465428217856,https://twitter.com/WheadlinesT_US/status/1001644465428217856
2018-05-30 01:51:12,francis_medman,,0,0,0,"If you’ve watched the opening 30 minutes of #Infinity War and #Deadpool more than 5 times.... No... No one... So just me eh...pic.twitter.com/lXai4zajwZ",,,#Infinity #Deadpool,1001642147756625920,https://twitter.com/francis_medman/status/1001642147756625920
2018-05-29 17:50:38,PebusPebus,,0,0,0,"@starwars #Solo may not do well for @DisneyStudios . @theblackpanther , @Avengers #Infinity War and maybe @AntMan will more than make up.",,@starwars @DisneyStudios @theblackpanther @Avengers @AntMan,#Solo #Infinity,1001521208934924289,https://twitter.com/PebusPebus/status/1001521208934924289
2018-05-28 19:52:30,JIGdesignsUK,,0,0,1,"THANOS demands your purchase at my #etsy shop: Avengers Infinty War Printable Cupcake Toppers #marvel #cupcaketoppers #cupcake #toppers #ironman #infintywar #spiderman #infinity #mcu #cap #thor #vison #thanos #hulkpic.twitter.com/lELLEtIlaM",,,#etsy #marvel #cupcaketoppers #cupcake #toppers #ironman #infintywar #spiderman #infinity #mcu #cap #thor #vison #thanos #hulkpic,1001189489111334913,https://twitter.com/JIGdesignsUK/status/1001189489111334913
2018-05-28 18:44:49,legofan988,,0,0,2,"“We have blood to spare” . “Tenemos sangre de sobra” . #infinitywar #war #infinity #avengersinfinitywar #avengers #guerradelinfinito #guerra #infinito #vengadores #vengadoresinfinitywar #proximamidnight #black #order #blackorder #newyork #magia #magic #infinitystones #Wakandapic.twitter.com/cBBV1Oc4r3",,,#infinitywar #war #infinity #avengersinfinitywar #avengers #guerradelinfinito #guerra #infinito #vengadores #vengadoresinfinitywar #proximamidnight #black #order #blackorder #newyork #magia #magic #infinitystones #Wakandapic,1001172457393451011,https://twitter.com/legofan988/status/1001172457393451011
2018-05-28 16:07:17,celebritykimdot,,1,0,0,"#Disney Said No To This Particular ‘ #Avengers: #Infinity #War’ #Easter #Egg http://dlvr.it/QVN9sS",,,#Disney #Avengers #Infinity #War #Easter #Egg,1001132813872070656,https://twitter.com/celebritykimdot/status/1001132813872070656
2018-05-28 15:06:01,ScottMendelson,,5,18,53,"Box Office: #Infinity War Just Passed #TheLastJedi And #Avengers To Become The Sixth-Biggest (Unadjusted) Domestic Grosser Of All Time. via @Forbes by @ScottMendelsonhttp://www.forbes.com/sites/scottmendelson/2018/05/28/infinity-war-tops-last-jedi-and-avengers-at-u-s-box-office/#7d9488122630 …",,@Forbes @ScottMendelsonhttp,#Infinity #TheLastJedi #Avengers #7d9488122630,1001117396592046080,https://twitter.com/ScottMendelson/status/1001117396592046080
