date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-05-21 23:51:50,GburgTwilight,,0,0,0,"@Avengers #AgeOfUltron is ready for you to watch it on a 58' wide by 27.5' tall screen. And we've got comfortable seats. And surround sound.",,@Avengers,#AgeOfUltron,601535904314830848,https://twitter.com/GburgTwilight/status/601535904314830848
2015-05-21 23:41:40,Midgettube,,0,0,0,"My new drawing #AgeOfUltron pic.twitter.com/L36X60bWyW",,,#AgeOfUltron,601533346955427840,https://twitter.com/Midgettube/status/601533346955427840
2015-05-21 23:40:22,MsKatieHughes,,0,1,0,"Going for my second viewing of #AgeOfUltron. Hoping that certain plot points were dropped in the interim.",,,#AgeOfUltron,601533020173107201,https://twitter.com/MsKatieHughes/status/601533020173107201
2015-05-21 23:39:14,xPearse,,0,0,0,"I usually wait until the #cinema is near empty before seeing #movies. I prefer it that way. Saw #ageofultron with only 4 people in cinema.",,,#cinema #movies #ageofultron,601532736193634304,https://twitter.com/xPearse/status/601532736193634304
2015-05-21 23:30:02,ItsChaseShumway,,0,0,0,"Our thoughts on #AgeOfUltron and #MadMaxFuryRoad are coming up Friday along with LIVE video of us doing the show and more! See you @6p/9e!",,@6p,#AgeOfUltron #MadMaxFuryRoad,601530419297669120,https://twitter.com/ItsChaseShumway/status/601530419297669120
2015-05-21 23:24:37,urbanbohemian,,0,0,1,"Second movie now, better action, worse plot. Huh, just like #AgeofUltron… #CharliesAngels2",,,#AgeofUltron #CharliesAngels2,601529057172463616,https://twitter.com/urbanbohemian/status/601529057172463616
2015-05-21 23:21:00,AssietouG,,0,0,0,"@Avengers just watched Avengers 2 #AgeOfUltron 3D This movie is so hard I am so proud of all of you",,@Avengers,#AgeOfUltron,601528146794573825,https://twitter.com/AssietouG/status/601528146794573825
2015-05-21 23:12:05,ErinTales,,0,0,0,"Avengers Assemble #ageofultron https://instagram.com/p/29kLFsLmUH/",,,#ageofultron,601525900312715264,https://twitter.com/ErinTales/status/601525900312715264
2015-05-21 23:06:06,runyon16,,0,0,0,"Finally catching #AgeOfUltron",,,#AgeOfUltron,601524395505496065,https://twitter.com/runyon16/status/601524395505496065
2015-05-21 23:05:59,CaptainGalxy,,1,1,2,"Love This Look On Ultron #AgeOfUltron pic.twitter.com/tTQoqnE6BY",,,#AgeOfUltron,601524368565370881,https://twitter.com/CaptainGalxy/status/601524368565370881
2015-05-21 23:05:58,AmberLyndsey87,,0,0,0,"Going to see #avengers #ageofultron #avengersageofuntron #finally #movienight #rainyday #lazyday… https://instagram.com/p/29jeVvRKsH/",,,#avengers #ageofultron #avengersageofuntron #finally #movienight #rainyday #lazyday,601524361032523777,https://twitter.com/AmberLyndsey87/status/601524361032523777
2015-05-21 23:00:05,lifewithheidig,,0,0,0,"Avengers Age of Ultron Trailer 3 Coloring Pages and more! #Avengers #AgeOfUltron http://smslwithheidi.com/2015/04/avengers-age-of-ultron-trailer-3.html …",,,#Avengers #AgeOfUltron,601522880501915649,https://twitter.com/lifewithheidig/status/601522880501915649
2015-05-21 22:57:43,JLPreiser,,0,0,0,"Hawkeye and Black Widow. Nuff said. #marvel #avengers #AgeOfUltron #lego https://instagram.com/p/29ih-ZArg-/",,,#marvel #avengers #AgeOfUltron #lego,601522286773043200,https://twitter.com/JLPreiser/status/601522286773043200
2015-05-21 22:55:11,StarplexCinemas,,0,1,2,"#MovieReview RT @MrCPA24: #Avengers: #AgeOfUltron was phenomenal. Tons of action, good storyline, and awesome seeing the superheros",,@MrCPA24,#MovieReview #Avengers #AgeOfUltron,601521649159151618,https://twitter.com/StarplexCinemas/status/601521649159151618
2015-05-21 22:52:19,AJGrizz1y_Bear,,0,0,1,"Does no one like Avengers Age of Ultron? https://youtu.be/w8CyBXLYK6A #RAWR #AgeOfUltron #AvengersAgeOfUltron",,,#RAWR #AgeOfUltron #AvengersAgeOfUltron,601520928468545536,https://twitter.com/AJGrizz1y_Bear/status/601520928468545536
2015-05-21 22:49:56,JLPreiser,,0,0,0,"Remember when? Well it just happened Lego style. #marvel #avengers #AgeOfUltron #lego https://instagram.com/p/29hpAIgrvg/",,,#marvel #avengers #AgeOfUltron #lego,601520329127780352,https://twitter.com/JLPreiser/status/601520329127780352
2015-05-21 22:46:31,FilmCelebrity,,0,1,0,"Tom #Hiddleston Reshoots For #Avengers Age Of #Ultron #Loki #TomHiddleston #Marvel #AvengersAgeOfUltron #AgeOfUltron http://www.thevideographyblog.com/share/avengers-age-of-ultron/ …",,,#Hiddleston #Avengers #Ultron #Loki #TomHiddleston #Marvel #AvengersAgeOfUltron #AgeOfUltron,601519466552422400,https://twitter.com/FilmCelebrity/status/601519466552422400
2015-05-21 22:43:34,kriiztiyan,,0,0,0,"Finally going to see #AgeOfUltron !! \O/ (Never is too late, ok?!!!) pic.twitter.com/OYwxuQH4S5",,,#AgeOfUltron,601518726563790848,https://twitter.com/kriiztiyan/status/601518726563790848
2015-05-21 22:40:55,OokamiDragon,,0,0,0,"#SpoileroftheDay Quicksilver dies in #AoU #Marvel #AgeOfUltron But he saved #Hawkeye",,,#SpoileroftheDay #AoU #Marvel #AgeOfUltron #Hawkeye,601518059174559744,https://twitter.com/OokamiDragon/status/601518059174559744
2015-05-21 22:34:38,phara0hramsey,,0,0,0,"Hulk is taking Ironman all up t h r e w there. #AgeOfUltron",,,#AgeOfUltron,601516478052052996,https://twitter.com/phara0hramsey/status/601516478052052996
2015-05-21 22:25:12,Poofette,,0,0,0,"COMING SOON #lol #badart #fanart #avengers #ageofultron #marvel #civilwar #steverodgers #captainamerica... http://fb.me/7ega71iwc",,,#lol #badart #fanart #avengers #ageofultron #marvel #civilwar #steverodgers #captainamerica,601514102096318464,https://twitter.com/Poofette/status/601514102096318464
2015-05-21 22:25:11,Poofette,,0,0,0,"Photo: COMING SOON #lol #badart #fanart #avengers #ageofultron #marvel #civilwar #steverodgers... http://tmblr.co/ZgrOIw1lM0ijP",,,#lol #badart #fanart #avengers #ageofultron #marvel #civilwar #steverodgers,601514100754128896,https://twitter.com/Poofette/status/601514100754128896
2015-05-21 22:25:11,Poofette,,0,0,0,"COMING SOON #lol #badart #fanart #avengers #ageofultron #marvel #civilwar #steverodgers… https://instagram.com/p/29eznOClzl/",,,#lol #badart #fanart #avengers #ageofultron #marvel #civilwar #steverodgers,601514097339924480,https://twitter.com/Poofette/status/601514097339924480
2015-05-21 22:22:12,Pozzible_movies,,0,0,0,"#AgeOfUltron Movie Review is now up!! http://youtu.be/t8_0BXmQDxQ?a",,,#AgeOfUltron,601513349885644800,https://twitter.com/Pozzible_movies/status/601513349885644800
2015-05-21 22:14:53,TFAStarWars,,0,0,0,"RT, 2playerco_op: In ep. 2 we cover #AgeOfUltron #GameofThrones #TheForceAwakens #MadMaxFuryRoad and more! 2 Player Co-Op | S01E02: …",,,#AgeOfUltron #GameofThrones #TheForceAwakens #MadMaxFuryRoad,601511508590362626,https://twitter.com/TFAStarWars/status/601511508590362626
2015-05-21 22:14:47,OProblemer,,0,0,0,"Snap a #selfie dressed up as your favorite member of the @Avengers to earn #cash w/ @l00tapp! #AgeOfUltron http://bit.ly/1FoyPEX",,@Avengers @l00tapp,#selfie #cash #AgeOfUltron,601511482677796864,https://twitter.com/OProblemer/status/601511482677796864
2015-05-21 22:10:47,2playerco_op,,0,0,0,"In ep. 2 we cover #AgeOfUltron #GameofThrones #TheForceAwakens #MadMaxFuryRoad and more! 2 Player Co-Op | S01E02: https://youtu.be/oslpjfY26zQ",,,#AgeOfUltron #GameofThrones #TheForceAwakens #MadMaxFuryRoad,601510474018983936,https://twitter.com/2playerco_op/status/601510474018983936
2015-05-21 22:06:41,kennethmjohnson,,0,0,0,"Black Widow (Scarlett Johansson) takes aim at trouble in @Avengers #AgeOfUltron 7pm at The @CommodoreTheatr @Marvelpic.twitter.com/4BE2G9Qr2D",,@Avengers @CommodoreTheatr @Marvelpic,#AgeOfUltron,601509441486323712,https://twitter.com/kennethmjohnson/status/601509441486323712
2015-05-21 22:05:16,shaeohh,,0,0,0,"Really though, who just thinks ""Artificial intelligence? Sounds like a good plan""? #ReallyStark? #AgeOfUltron",,,#ReallyStark #AgeOfUltron,601509086736187392,https://twitter.com/shaeohh/status/601509086736187392
2015-05-21 22:03:55,2playerco_op,,0,0,0,"Episode 2 is live!! 2 Player Co-Op | S01E02: ""Unbent, unbowed, uploaded"" Check it out! https://youtu.be/oslpjfY26zQ #2playercoop #AgeOfUltron",,,#2playercoop #AgeOfUltron,601508749279424512,https://twitter.com/2playerco_op/status/601508749279424512
2015-05-21 21:59:50,Ellia_Knight,,4,0,5,"My Captain America dress is here!!!! #captainamerica #Avengers #AgeOfUltron #WinterSoldier",,,#captainamerica #Avengers #AgeOfUltron #WinterSoldier,601507720311672832,https://twitter.com/Ellia_Knight/status/601507720311672832
2015-05-21 21:58:20,VarshaVijayyan,,0,2,3,"Cap [in a ridiculously tight shirt] rips apart a log with his bare hands in #AgeOfUltron SOMEONE CENSOR THIS SHIT http://33.media.tumblr.com/29ae59c799608a4f14ce7d58894e93d9/tumblr_ne9p3sm2Kk1r348puo1_500.gif …",,,#AgeOfUltron,601507340865634304,https://twitter.com/VarshaVijayyan/status/601507340865634304
2015-05-21 21:57:41,j_tasca,,0,0,2,"@Marvel and god created....... Hulkbuster! #AgeOfUltron #Marvel #IronManpic.twitter.com/v8A4ab5OoI",,@Marvel,#AgeOfUltron #Marvel #IronManpic,601507178302803969,https://twitter.com/j_tasca/status/601507178302803969
2015-05-21 21:51:12,PasteMovies,,0,1,3,"Still living in the #AgeOfUltron? Check #Ultron @etsy swag f/ @Dravenheart2012 @RomeroMaskShop http://www.pastemagazine.com/articles/2015/05/15-ultron-inspired-crafts-on-etsy.html …pic.twitter.com/z6md5WpLTT",,@etsy @Dravenheart2012 @RomeroMaskShop,#AgeOfUltron #Ultron,601505545288192002,https://twitter.com/PasteMovies/status/601505545288192002
2015-05-21 21:47:29,CommodoreTheatr,,0,0,0,"Black Widow (Scarlett Johansson) takes aim at trouble in @Avengers #AgeOfUltron 7pm at The @CommodoreTheatr @Marvelpic.twitter.com/hB2GwryCb6",,@Avengers @CommodoreTheatr @Marvelpic,#AgeOfUltron,601504613427216385,https://twitter.com/CommodoreTheatr/status/601504613427216385
2015-05-21 21:40:14,thor_8050,,0,0,0,"Wecome to my TWITTER and also follow me on intagram @thor.8050 #avengers #AgeOfUltron pic.twitter.com/Ba4Uq5Klwt",,@thor,#avengers #AgeOfUltron,601502787558612996,https://twitter.com/thor_8050/status/601502787558612996
2015-05-21 21:34:17,BeltwayBandito,,0,0,0,"So, were @Alexruoff and I the only ones who saw Quicksilver moonwalking in #AgeOfUltron? B/c nobody else has said anything ...",,@Alexruoff,#AgeOfUltron,601501289449652225,https://twitter.com/BeltwayBandito/status/601501289449652225
2015-05-21 21:27:13,QbanitaMami,JeremyRenner,0,0,0,"@Renner4Real #OMG can't wait for #CivilWar I know #hawkeye will be amazing! Especially after @Avengers #AgeOfUltron He's my favorite! ♡♡",,@Renner4Real @Avengers,#OMG #CivilWar #hawkeye #AgeOfUltron,601499512197251074,https://twitter.com/QbanitaMami/status/601499512197251074
2015-05-21 21:26:53,AnitaKiessling,,0,0,0,"This one is for my boy #Hulk #workinprogress #coloredpencils #avengers #drawing #Art #ageofultron https://instagram.com/p/29YIf9lsTb/",,,#Hulk #workinprogress #coloredpencils #avengers #drawing #Art #ageofultron,601499425924620288,https://twitter.com/AnitaKiessling/status/601499425924620288
2015-05-21 21:25:20,VexMosaic,,0,3,1,"Wondering what Cap was doing in #AgeOfUltron? @AlasdairStuart lays it all out in the latest essay from The Vex http://www.vexmosaic.com/like-the-old-man-says-steve-rogers-moment-of-clarity-in-age-of-ultron/ …",,@AlasdairStuart,#AgeOfUltron,601499035938197504,https://twitter.com/VexMosaic/status/601499035938197504
2015-05-21 21:20:24,Griffiee11,,0,0,0,"Avengers: Age of Ultron had the craziest ending... R.I.P. Really fast Russian guy. #AgeOfUltron",,,#AgeOfUltron,601497793874690048,https://twitter.com/Griffiee11/status/601497793874690048
2015-05-21 21:18:11,JessDarb,,0,0,0,"Do I lose nerd cred for not seeing #AgeOfUltron yet? Or do I gain... #adultcred? Cuz I've been working too many hours to have fun...",,,#AgeOfUltron #adultcred,601497238372679680,https://twitter.com/JessDarb/status/601497238372679680
