date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-07-23 23:59:28,sgrbare11,,0,0,1,"Up first #Antman. #SonandMomTime",,,#Antman #SonandMomTime,624368262805979136,https://twitter.com/sgrbare11/status/624368262805979136
2015-07-23 23:59:18,RobinsonBrianC,,0,0,0,"Finally getting a chance to see #Antman #Marvel",,,#Antman #Marvel,624368220691148800,https://twitter.com/RobinsonBrianC/status/624368220691148800
2015-07-23 23:59:18,TheWyman22,,0,0,0,"Walking to the theater to watch @AntMan #Wichita #Kansas #vacation #antman #familypic.twitter.com/xeEf9xqIl4",,@AntMan,#Wichita #Kansas #vacation #antman #familypic,624368220309450752,https://twitter.com/TheWyman22/status/624368220309450752
2015-07-23 23:59:10,roses_scribbles,,0,0,1,"When the credits roll in a marvel movie and people get up and leave while we sit there giggling 'You fools!' #antman",,,#antman,624368186473992194,https://twitter.com/roses_scribbles/status/624368186473992194
2015-07-23 23:59:02,GiullianaMaria,,0,0,0,"Because there was something uncanny about me and Luis... #AntMan @realmichaelpena is flawless as… https://instagram.com/p/5f3n-hr3yY/",,@realmichaelpena,#AntMan,624368152042950656,https://twitter.com/GiullianaMaria/status/624368152042950656
2015-07-23 23:58:29,IvannColusso,,0,0,0,"My #Ant-Man #Dubsmash @marvel hope you like it! #Marvel #MCU #AntMan #Ants #ScottLang #Comics… https://instagram.com/p/5f3j4dHfUn/",,@marvel,#Ant #Dubsmash #Marvel #MCU #AntMan #Ants #ScottLang #Comics,624368015669395456,https://twitter.com/IvannColusso/status/624368015669395456
2015-07-23 23:56:27,MrAdamHolmes,,0,2,5,"How Ant-Man Actually De-Aged Michael Douglas http://www.cinemablend.com/new/How-Ant-Man-Actually-De-Aged-Michael-Douglas-73107.html … #AntMan #Marvelpic.twitter.com/igpxFw2zfj",,,#AntMan #Marvelpic,624367503913951233,https://twitter.com/MrAdamHolmes/status/624367503913951233
2015-07-23 23:55:52,TheWyman22,,0,0,0,"Watching Ant-Man #Wichita #Kansas #vacation #antman @13th Ave Warren Theatre https://instagram.com/p/5f3Q6Ni6zt/",,@13th,#Wichita #Kansas #vacation #antman,624367357197164544,https://twitter.com/TheWyman22/status/624367357197164544
2015-07-23 23:55:45,Official_Max11,Marvel_India,0,0,0,"@Marvel_India Thanks a Lot Team, Had a Great Time With #AntManInIndia Wish to be Lucky with you #AntMan #AntManInIndia #MarvelIndiaTeam",,@Marvel_India,#AntManInIndia #AntMan #AntManInIndia #MarvelIndiaTeam,624367327434272768,https://twitter.com/Official_Max11/status/624367327434272768
2015-07-23 23:55:31,Los_Mannn,,0,0,1,"#AntMan was hilarious and pretty good! Can't wait to see how Scott Lang and Hope Pym develop in the MCU",,,#AntMan,624367269884334080,https://twitter.com/Los_Mannn/status/624367269884334080
2015-07-23 23:55:09,DowntonTees12,,0,0,0,"Cool #StarWars #TheForceAwakens t-shirts only $20: http://goo.gl/SD4rjp #AntMan Ant-Man AntMan #Sharknado3 Star Wars 12^q1",,,#StarWars #TheForceAwakens #AntMan #Sharknado3,624367174770118656,https://twitter.com/DowntonTees12/status/624367174770118656
