date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-07-26 22:23:25,the_gamephantom,,0,0,0,"Had a good work out this morning, ate ramen for lunch, and now seeing Ant Man and the Wasp #lovinglife #reclaimingmylife #AntManAndWasp",,,#lovinglife #reclaimingmylife #AntManAndWasp,1022608355393720320,https://twitter.com/the_gamephantom/status/1022608355393720320
2018-07-26 20:23:13,amnadnan82,,0,0,0,"Order Now: Ant-Man Figure {http://tidd.ly/d82c9e00 } The Wasp Figure {http://tidd.ly/62f72c1b } #AntManAndTheWasp #AntManAndWasp #AntMan #TheWasp #zavvi #zavviexclusive #London #England #wales #scotland #Ireland #marveluk #marvelpride2018 #MarvelStudiospic.twitter.com/iDGDjUoQKW",,,#AntManAndTheWasp #AntManAndWasp #AntMan #TheWasp #zavvi #zavviexclusive #London #England #wales #scotland #Ireland #marveluk #marvelpride2018 #MarvelStudiospic,1022578106635313152,https://twitter.com/amnadnan82/status/1022578106635313152
2018-07-26 20:21:58,ThyerAiden,,0,0,1,"Marvel keeps sucker punching my heart #AntManAndWasp",,,#AntManAndWasp,1022577791609577472,https://twitter.com/ThyerAiden/status/1022577791609577472
2018-07-26 20:19:18,adnzafar,,0,0,0,"Order Now: Ant-Man Figure {http://tidd.ly/d82c9e00 } The Wasp Figure {http://tidd.ly/62f72c1b } #AntManAndTheWasp #AntManAndWasp #AntMan #TheWasp #zavvi #zavviexclusive #London #England #wales #scotland #Ireland #marveluk #marvelpride2018 #MarvelStudios pic.twitter.com/E3zNMVxSVH",,,#AntManAndTheWasp #AntManAndWasp #AntMan #TheWasp #zavvi #zavviexclusive #London #England #wales #scotland #Ireland #marveluk #marvelpride2018 #MarvelStudios,1022577120294395914,https://twitter.com/adnzafar/status/1022577120294395914
2018-07-26 20:07:34,1PercenterSimon,,1,0,0,"Thanks to Megan and Lewis at @VueHelp who had to take details of the incident as no one, and I mean no one, in the #Bristol branch even checked on me. Thankyou for the gift of two tickets and they will be used for @AntMan #AntManAndWasp before a bit of a break from the cinema",,@VueHelp @AntMan,#Bristol #AntManAndWasp,1022574167097581568,https://twitter.com/1PercenterSimon/status/1022574167097581568
2018-07-26 20:00:02,SuperHeroSpeak,,0,0,1,"yes, #PaulRudd really is the #WorldsGreatestGrandma Click for our #AntManAndWasp review: http://media.blubrry.com/superherospeak/s/dts.podtrac.com/redirect.mp3/superherospeak.com/wp/PodCasts/SHSEp265.mp3 … #Podcastmafia #PodernFamily #trypod #Spoilerspic.twitter.com/90zSWhuNxt",,,#PaulRudd #WorldsGreatestGrandma #AntManAndWasp #Podcastmafia #PodernFamily #trypod #Spoilerspic,1022572272664633357,https://twitter.com/SuperHeroSpeak/status/1022572272664633357
2018-07-26 19:51:39,JeyDoubleYew,,0,0,3,"T-Minus 1 British week til #AntManAndWasp pic.twitter.com/TPp9ymOGFS",,,#AntManAndWasp,1022570162925527046,https://twitter.com/JeyDoubleYew/status/1022570162925527046
2018-07-26 19:26:31,Irris_T,,0,0,0,"So... #AntManAndWasp was pretty unnecessary, huh? #Marvel #UnnecessaryMovies #IWantTheNextAvengers",,,#AntManAndWasp #Marvel #UnnecessaryMovies #IWantTheNextAvengers,1022563836887490566,https://twitter.com/Irris_T/status/1022563836887490566
2018-07-26 18:55:12,Doctor_Spidey,Parker66Peter,1,0,1,"Nice! Stay until the end of the rolling credits for #AntManAndWasp !",,,#AntManAndWasp,1022555955014197248,https://twitter.com/Doctor_Spidey/status/1022555955014197248
2018-07-26 18:47:49,BoxOffice,,0,9,30,"ANT-MAN AND THE WASP $2.27M Wednesday $172.86M Total (North America) #AntManAndWasp #Marvel #MCU #BoxOffice",,,#AntManAndWasp #Marvel #MCU #BoxOffice,1022554097973690369,https://twitter.com/BoxOffice/status/1022554097973690369
