date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-08-02 23:59:19,SkylakeJake,,0,0,0,"Damn. The #AntManAndWasp soundtrack is seriously something pic.twitter.com/cQeEB1o19S",,,#AntManAndWasp,1025169203257638914,https://twitter.com/SkylakeJake/status/1025169203257638914
2018-08-02 23:21:03,AmazingComicCon,,0,2,11,"just 22 days from doors opening! @AmazingComicCon comes back to HONOLULU! See the best Pop Culture Personalities including Marvel's #AntManAndWasp Actress @EvangelineLilly Do YOU have your ticket yet?! http://www.AmazingComicConAloha.com pic.twitter.com/ebC6DUIddz",,@AmazingComicCon @EvangelineLilly,#AntManAndWasp,1025159571558395904,https://twitter.com/AmazingComicCon/status/1025159571558395904
2018-08-02 23:05:00,hollyoutbreak,,0,0,0,"Acting Didn’t Come Easily For Oscar-Winner Michael Douglas http://bit.ly/2NFCZ3B #MichaelDouglas #KirkDouglas #AntManAndWasp @AntManpic.twitter.com/LIgga05DVC",,@AntManpic,#MichaelDouglas #KirkDouglas #AntManAndWasp,1025155534167699457,https://twitter.com/hollyoutbreak/status/1025155534167699457
2018-08-02 22:52:49,123oge,,0,0,0,"#AntManAndWasp was absolutely incredible, go and watch it immediately you won’t regret it",,,#AntManAndWasp,1025152467376504833,https://twitter.com/123oge/status/1025152467376504833
2018-08-02 22:40:07,CaptTamagochi,,0,0,0,"Finally watched #AntManAndWasp⁠ ⁠ ! The post credit scene .. takes me back to Infinity War heart-break again too cruel Marvel ... too cruel ! #Marvel #MCUpic.twitter.com/kgISK1KtCd",,,#AntManAndWasp #Marvel #MCUpic,1025149272499646464,https://twitter.com/CaptTamagochi/status/1025149272499646464
2018-08-02 22:29:28,DarrenBr00ks,,0,0,0,"@MarvelUK @MarvelStudios @AntMan just watched #AntManAndWasp and it was fantastic The wait for it to come out in UK was almost unbearable but the film more than made up for it, great work again marvel",,@MarvelUK @MarvelStudios @AntMan,#AntManAndWasp,1025146592930742278,https://twitter.com/DarrenBr00ks/status/1025146592930742278
2018-08-02 22:27:04,Popcorn_For_One,,0,0,0,"As promised here’s the #cinemaclub #AntManAndWasp mini review it was so cool & fun it was what we needed to get over the last one really but oh man that set up going forward #cinemaclub2018pic.twitter.com/gdQzJBClqN",,,#cinemaclub #AntManAndWasp #cinemaclub2018pic,1025145989416542209,https://twitter.com/Popcorn_For_One/status/1025145989416542209
2018-08-02 21:44:07,worldofcapella,,0,0,1,"#AntManAndWasp I loved it so I cannot wait to go back for the second time",,,#AntManAndWasp,1025135178505768961,https://twitter.com/worldofcapella/status/1025135178505768961
2018-08-02 21:20:13,ThyArtIsLukemon,,0,0,3,"#AntManAndWasp was amazing. Stay for the end credit scenes. Holy hell",,,#AntManAndWasp,1025129164339335169,https://twitter.com/ThyArtIsLukemon/status/1025129164339335169
2018-08-02 21:17:27,MercuryElla,,0,0,0,"So baso #AntManAndWasp is fab 12/10 would go see again",,,#AntManAndWasp,1025128467984207873,https://twitter.com/MercuryElla/status/1025128467984207873
2018-08-02 21:16:09,cattbutt,,0,0,2,"I can't pick which part of #AntManAndWasp was my favourite. I lie. It was Luis. It's always Luis.",,,#AntManAndWasp,1025128142388817920,https://twitter.com/cattbutt/status/1025128142388817920
2018-08-02 21:13:32,ClemChose,,0,0,2,"Dear @MarvelStudios please STOP MESSING AROUND WITH OUR MINDS. We were already very fragile after Infinity War. #AntManAndWasp",,@MarvelStudios,#AntManAndWasp,1025127484029906945,https://twitter.com/ClemChose/status/1025127484029906945
2018-08-02 21:11:04,lilCsoldierKT,,0,0,0,"Love our marvel date nights #AntManAndWasp #marvel #mustwatchpic.twitter.com/Ftg3ccFBZr",,,#AntManAndWasp #marvel #mustwatchpic,1025126862991835136,https://twitter.com/lilCsoldierKT/status/1025126862991835136
2018-08-02 21:09:21,ExcaliburAether,,0,0,0,"Watching #AntManAndWasp tomorrow pic.twitter.com/nsOYoW5d16",,,#AntManAndWasp,1025126427954491392,https://twitter.com/ExcaliburAether/status/1025126427954491392
2018-08-02 21:09:11,beffumsartworks,,0,0,2,"#AntManAndWasp many ants, no wasps 10/10",,,#AntManAndWasp,1025126388775432192,https://twitter.com/beffumsartworks/status/1025126388775432192
2018-08-02 21:08:58,shaunslater91i1,VueHelp,0,0,0,"So the film was an absolute blast so so funny would definitely recommend #AntManAndWasp",,,#AntManAndWasp,1025126333402292224,https://twitter.com/shaunslater91i1/status/1025126333402292224
2018-08-02 21:08:19,RobynOleigh,,1,0,0,"Just out from seeing #AntManAndWasp SO GOOD!!! pic.twitter.com/O94jxRlwJv",,,#AntManAndWasp,1025126171787317251,https://twitter.com/RobynOleigh/status/1025126171787317251
2018-08-02 21:07:42,SiobhanBreathna,,0,0,0,"Just out of #AntManAndWasp hmmmm",,,#AntManAndWasp,1025126012705812480,https://twitter.com/SiobhanBreathna/status/1025126012705812480
2018-08-02 21:07:31,RogerRadcliffe,,0,0,0,"I still think you're the World's Greatest Grandma! #AntManAndWasp",,,#AntManAndWasp,1025125968019640321,https://twitter.com/RogerRadcliffe/status/1025125968019640321
2018-08-02 21:06:17,ClemChose,,0,0,3,"First scene post-credits of #AntManAndWasp and there is a general murmur that rises from the audience ""Oh shit""",,,#AntManAndWasp,1025125656747810816,https://twitter.com/ClemChose/status/1025125656747810816
2018-08-02 21:02:25,bbethshere,,0,0,1,"When #AntManAndWasp finally hits Europe but you watch the end credits seen pic.twitter.com/ypq72mKeFJ",,,#AntManAndWasp,1025124683363115009,https://twitter.com/bbethshere/status/1025124683363115009
2018-08-02 21:00:10,richardengland,,1,0,1,"#AntManAndWasp was so much fun! I still can't believe I live in a time where films like this get made. They really leaned in to the shrinking tech, which was really funny. The mid/post-credit scenes, tho",,,#AntManAndWasp,1025124119740907521,https://twitter.com/richardengland/status/1025124119740907521
2018-08-02 20:56:48,Deannyy92,,0,0,0,"It’s ant-man and the wasp time #AntManAndWasp #marvel – at Vue Cinemas",,,#AntManAndWasp #marvel,1025123270629249032,https://twitter.com/Deannyy92/status/1025123270629249032
2018-08-02 20:45:34,esterlfcx,,0,0,1,"#antmanandwasp I KNEW I KNEW THAT ENDING WAS TOO HAPPY FOR MARVEL",,,#antmanandwasp,1025120446432329730,https://twitter.com/esterlfcx/status/1025120446432329730
2018-08-02 20:35:35,jasonistrending,,1,0,0,"uh oh #AntManAndWasp",,,#AntManAndWasp,1025117934270795778,https://twitter.com/jasonistrending/status/1025117934270795778
2018-08-02 20:26:14,crazyjulieta,,0,0,0,"It is so beautiful that FINALLY a female is the (co-)protagonist & name giver of a Marvel movie! ! It only took 19 movies... But well at least it was done right as she really is as badass, if not more than her male counterpart! It made me cry a little #AntManAndWasp",,,#AntManAndWasp,1025115579571744768,https://twitter.com/crazyjulieta/status/1025115579571744768
2018-08-02 20:22:24,nickersmc1,,0,1,1,"My feelings right now #AntManAndWasp pic.twitter.com/nEvfxCpKzc",,,#AntManAndWasp,1025114613560561664,https://twitter.com/nickersmc1/status/1025114613560561664
2018-08-02 20:02:43,ChelsFletch,,0,0,0,"Cannnn not wait to watch #AntManAndWasp yes I know that’s a bee emoji but you get my drift",,,#AntManAndWasp,1025109663027740673,https://twitter.com/ChelsFletch/status/1025109663027740673
2018-08-02 19:58:07,jassyjhc,VueHelp,0,0,0,"I saw #MissionImpossibleFallout it’s was great fun. Today I saw #AntManAndWasp and am taking my dad to see it on Sunday and Saturday I’m seeing #TeenTitansGOMovie. Did I mention I love the cinema (when I’m not reading!)",,,#MissionImpossibleFallout #AntManAndWasp #TeenTitansGOMovie,1025108501926948866,https://twitter.com/jassyjhc/status/1025108501926948866
2018-08-02 19:43:40,shinyemptyhead,,0,1,1,"Agents of Atlas spinoff with @parkrandall please. #AntManAndWasp",,@parkrandall,#AntManAndWasp,1025104868371918848,https://twitter.com/shinyemptyhead/status/1025104868371918848
2018-08-02 19:43:38,Little__Elf,,0,0,0,"#AntManAndWasp was pretty decent. Wasn’t expecting that ending. Forgot what happened in Avengers....",,,#AntManAndWasp,1025104859295567872,https://twitter.com/Little__Elf/status/1025104859295567872
2018-08-02 19:33:52,WorldOfBlackout,,0,0,1,"It's #Marvel-time!* Now watching #AntManandtheWasp at @Cineworld Didcot... #CineworldUnlimited #AntManAndWasp #AntMan #TheWasp *FINALLY. YEAH, I AIN'T FORGETTING THIS ONE, DISNEY. A MONTH. I ASK YOU.",,@Cineworld,#Marvel #AntManandtheWasp #CineworldUnlimited #AntManAndWasp #AntMan #TheWasp,1025102400993079298,https://twitter.com/WorldOfBlackout/status/1025102400993079298
2018-08-02 18:27:36,Planetary_Pilot,MarvelUK,0,0,0,"@lottiemc27 that's the weekend sorted!! #AntManAndWasp https://twitter.com/MarvelUK/status/1025063684924682240 …",,@lottiemc27,#AntManAndWasp,1025085725111476224,https://twitter.com/Planetary_Pilot/status/1025085725111476224
2018-08-02 18:18:11,motcj,CentralPictureH,0,0,2,"#AntManAndWasp is HERE! https://twitter.com/CentralPictureH/status/1025041305049726976 …",,,#AntManAndWasp,1025083353589075968,https://twitter.com/motcj/status/1025083353589075968
2018-08-02 18:00:01,GeekIreland,,0,0,0,"Do you want ants (and wasps?) Cause this is how you get ants (and wasps!) @AntMan @MarvelUK @DisneyStudiosIE #AntManAndWasp #antman #thewasp #marvel #MCU https://geekireland.com/review-ant-man-and-the-wasp/ …",,@AntMan @MarvelUK @DisneyStudiosIE,#AntManAndWasp #antman #thewasp #marvel #MCU,1025078783915778048,https://twitter.com/GeekIreland/status/1025078783915778048
2018-08-02 17:59:48,Goughy_7,,0,0,0,"Finally. My review of Ant-Man and the Wasp https://youtu.be/6mpUD4fVEW0 #AntManAndTheWasp #AntManAndWasp",,,#AntManAndTheWasp #AntManAndWasp,1025078727301050368,https://twitter.com/Goughy_7/status/1025078727301050368
2018-08-02 17:48:44,cumberblogging,,0,1,3,"Finally got to see #AntManAndWasp today <side eyes m/arvel uk for the delay>",,,#AntManAndWasp,1025075943684157442,https://twitter.com/cumberblogging/status/1025075943684157442
2018-08-02 17:27:39,BadMoSquitofilm,,0,0,0,"Going to see ANTMAN and the WASP like.... So looking forward to this movie... @EvangelineLilly @TheRealStanLee @MrPeytonReed @MarvelStudios @Marvel #PaulRudd #evangelinelilly #AntManandtheWasp uk #antman #AntManAndWasp #marveluniverse #Marvel #marvelcomics #marvelmemespic.twitter.com/8kpKnbtXkh",,@EvangelineLilly @TheRealStanLee @MrPeytonReed @MarvelStudios @Marvel,#PaulRudd #evangelinelilly #AntManandtheWasp #antman #AntManAndWasp #marveluniverse #Marvel #marvelcomics #marvelmemespic,1025070636945866752,https://twitter.com/BadMoSquitofilm/status/1025070636945866752
2018-08-02 17:14:26,ShortList,,0,0,2,"#AntManAndWasp star Paul Rudd on what fame is *really* like http://bit.ly/2LVU236",,,#AntManAndWasp,1025067310715944961,https://twitter.com/ShortList/status/1025067310715944961
2018-08-02 16:00:14,GazelleSquad,,0,0,1,"Just watched #AntManAndWasp ermmmmmmmmmmmmm mehh :/ its okay but not as good as the first AntMan film :)",,,#AntManAndWasp,1025048637515210752,https://twitter.com/GazelleSquad/status/1025048637515210752
2018-08-02 15:57:38,CunningXDuck,,0,0,0,"I'm going to see #Antman #AntManandtheWasp #AntManAndWasp in the cinema. I remember seeing the first one and I loved it this one should be just as fun. pic.twitter.com/hGBpBnwTBe",,,#Antman #AntManandtheWasp #AntManAndWasp,1025047982255816704,https://twitter.com/CunningXDuck/status/1025047982255816704
2018-08-02 15:50:37,drinkwhen,,0,0,0,"A Drinking Game for Every Marvel Movie: https://buff.ly/2NH1zjQ #Marvel #Disney #TheAvengers #Avengers #AvengersInfinityWar #AntManAndWasp #GuardiansOfTheGalaxypic.twitter.com/AkZihSbfMU",,,#Marvel #Disney #TheAvengers #Avengers #AvengersInfinityWar #AntManAndWasp #GuardiansOfTheGalaxypic,1025046218634940416,https://twitter.com/drinkwhen/status/1025046218634940416
2018-08-02 15:45:00,PushGlassesUp,,0,0,1,"We're talkin' trailers for #Aquaman, #Shazam, #Godzilla and #DoctorWho and then diving into #AntManAndWasp, #TeenTitansGOMovie and #MissionImpossibleFallout on an all-new #PYGUPod! https://pygupod.com/2018/07/30/pygu-95-sdcc-mission-impossible-fallout-ant-man-and-the-wasp-teen-titans-go-to-the-movies/ …pic.twitter.com/MJXUhmLmYE",,,#Aquaman #Shazam #Godzilla #DoctorWho #AntManAndWasp #TeenTitansGOMovie #MissionImpossibleFallout #PYGUPod,1025044804491730944,https://twitter.com/PushGlassesUp/status/1025044804491730944
2018-08-02 15:04:34,danjolucy,,0,0,1,"#AntManAndWasp tonight @Cineworld with the cinegang. I might have to sneak in the back door though to avoid all the paparazzi #CineworldUnlimited #fanofthemonth",,@Cineworld,#AntManAndWasp #CineworldUnlimited #fanofthemonth,1025034629450006529,https://twitter.com/danjolucy/status/1025034629450006529
2018-08-02 15:00:27,ArjunChohan,,0,0,0,"@MarvelStudios about to watch #AntManAndWasp A month after the rest of the world. Thanks. @KevinFeige",,@MarvelStudios @KevinFeige,#AntManAndWasp,1025033594857840643,https://twitter.com/ArjunChohan/status/1025033594857840643
2018-08-02 14:51:43,Dahl_Dantill,,0,0,0,"Had a great day so far today. Had the kids at a balloon modelling class and tonight I’m off to see #AntManAndWasp",,,#AntManAndWasp,1025031396853727232,https://twitter.com/Dahl_Dantill/status/1025031396853727232
2018-08-02 14:44:01,ShortList,,0,0,3,"""When you look at the state of the world and what’s going on, who gives a shit if I’m drinking out of a pineapple in a photoshoot for a magazine?"" http://bit.ly/2LVU236 #PaulRudd #AntManAndWasp #Marvel",,,#PaulRudd #AntManAndWasp #Marvel,1025029456140922880,https://twitter.com/ShortList/status/1025029456140922880
2018-08-02 14:14:33,sonjamohlich,,0,0,0,"Fantastic #movie #action #laughter #suspense ! @MarvelUK #antmanandwasp pic.twitter.com/eHNlF4E573",,@MarvelUK,#movie #action #laughter #suspense #antmanandwasp,1025022040343015427,https://twitter.com/sonjamohlich/status/1025022040343015427
2018-08-02 14:11:03,Jerseyfamilyfun,,0,0,1,"The Ant-Man and the Wasp's Laurence Fishburne TV & Movie Star & Comic Book Geek - @Antman #NEW #AntManandWasp #AntManandtheWaspEvent #LaurenceFishburne http://bit.ly/2tWTEay pic.twitter.com/TjwsaXXUuc",,@Antman,#NEW #AntManandWasp #AntManandtheWaspEvent #LaurenceFishburne,1025021161162334208,https://twitter.com/Jerseyfamilyfun/status/1025021161162334208
2018-08-02 14:00:23,TheHughezy,,0,0,1,"Just seen #AntManAndWasp. First time I'm thought ""meh, was OK"" from a Marvel film in nearly 10 years. That being said: Greatest post-credits scene of all time.",,,#AntManAndWasp,1025018477264941061,https://twitter.com/TheHughezy/status/1025018477264941061
2018-08-02 13:04:41,sashasimic,,0,0,0,"#AntManandtheWasp #AntManAndWasp review: No one will be squashing @Marvel 's diminutive hero yet | The Independent https://www.independent.co.uk/arts-entertainment/films/reviews/ant-man-wasp-marvel-review-end-credits-scene-spoiler-paul-rudd-cast-a8472531.html …",,@Marvel,#AntManandtheWasp #AntManAndWasp,1025004458982473729,https://twitter.com/sashasimic/status/1025004458982473729
2018-08-02 12:58:03,golden_gooner,,0,0,0,"A little summertime fun with family and friends. #Schlitterbahn #AntManAndWasp https://www.instagram.com/p/Bl-jKAdHa6lJ012zAVx7ibisRI3nkuRl_XA9xw0/?utm_source=ig_twitter_share&igshid=1ub1tnxpcsd54 …",,,#Schlitterbahn #AntManAndWasp,1025002791616491520,https://twitter.com/golden_gooner/status/1025002791616491520
2018-08-02 12:58:03,GenesisCinema,,0,0,1,"#AntManAndWasp opens today! Come to watch the latest #Marvel superhero movie on East End's biggest screen. Book: http://bit.ly/2vtC9yA",,,#AntManAndWasp #Marvel,1025002789800427520,https://twitter.com/GenesisCinema/status/1025002789800427520
2018-08-02 12:30:56,Bowen4747,,0,0,0,"Check out Marvel Legends ANT-MAN YELLOWJACKET 10th Anniversary Marvel Studios First Ten https://www.ebay.com/ulk/itm/183356355211 … @eBay #ebay #marvel #marvelcomics #MarvelStudios #toys #actionfigures #yellowjacket #AntManandtheWasp #AntManAndWasp #AntMan",,@eBay,#ebay #marvel #marvelcomics #MarvelStudios #toys #actionfigures #yellowjacket #AntManandtheWasp #AntManAndWasp #AntMan,1024995967110660096,https://twitter.com/Bowen4747/status/1024995967110660096
2018-08-02 12:08:39,AlannahCrehan,MarvelUK,1,0,0,"Going to see it tonight #AntManAndWasp",,,#AntManAndWasp,1024990360311877633,https://twitter.com/AlannahCrehan/status/1024990360311877633
2018-08-02 12:01:06,ShortList,,0,0,2,"""In my twenties I often thought I was casually strolling towards a midlife crisis, and it started picking up speed"" http://bit.ly/2LVU236 #PaulRudd #AntManAndWasp",,,#PaulRudd #AntManAndWasp,1024988460338302976,https://twitter.com/ShortList/status/1024988460338302976
