date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2012-06-14 22:59:03,pfennig,,0,0,0,"The marketing worked. I bought these for their #Avenger-ness. I would've bought 2 boxes if Black Widow was featured too pic.twitter.com/xdKuLkLb",,,#Avenger,213405216291295232,https://twitter.com/pfennig/status/213405216291295232
2012-06-14 22:03:51,DigitalDizzle,,0,0,0,"“ @MarvelHeaven: First Set Pick from Iron Man 3 Revealed! http://www.geekyum.com/2012/06/first-set-pick-from-iron-man-3-revealed.html …” siick #geek #marvel #avenger",,@MarvelHeaven,#geek #marvel #avenger,213391327457579008,https://twitter.com/DigitalDizzle/status/213391327457579008
2012-06-14 21:38:12,GreenRageMonstr,,1,1,1,"#ThingsmoremetalthanRockofAges Hulk fellow #Avenger Iron Man @MightyMarvel",,@MightyMarvel,#ThingsmoremetalthanRockofAges #Avenger,213384871614218242,https://twitter.com/GreenRageMonstr/status/213384871614218242
2012-06-14 20:55:59,morgan7harrison,,0,0,0,"While shopping in Old Navy my decision came down to linen pants or a Captain America shirt. Needless to say I chose Captain America #avenger",,,#avenger,213374245701550080,https://twitter.com/morgan7harrison/status/213374245701550080
2012-06-14 18:27:05,foxyfanally,,0,0,0,"@_Jabberjay_ We have #Avenger fever! I never want to get better either.",,@_Jabberjay_,#Avenger,213336775018545154,https://twitter.com/foxyfanally/status/213336775018545154
2012-06-14 17:50:54,boysenberry11,,0,0,2,"Doctor gave me a sweet ironman band-aid #avenger pic.twitter.com/jj00Xz4q",,,#avenger,213327668425396224,https://twitter.com/boysenberry11/status/213327668425396224
2012-06-14 16:08:18,mimi22313,,0,0,0,"Man y'all goin make @chrisbrown bout turn in to da Hulk and fuck up Drake like da hulk did to dat guy from #Avenger lol",,@chrisbrown,#Avenger,213301847920869378,https://twitter.com/mimi22313/status/213301847920869378
2012-06-14 15:41:24,clairebear_xoxo,,0,0,0,"#happybirthday to my favorite #avenger @ChrisEvans (: xoxo",,@ChrisEvans,#happybirthday #avenger,213295080004526081,https://twitter.com/clairebear_xoxo/status/213295080004526081
2012-06-14 14:48:48,NasHariel,,0,0,0,"Sleepover at Adib. #brunika #random #avenger http://instagr.am/p/L27EmnrsfF/",,,#brunika #random #avenger,213281841162092544,https://twitter.com/NasHariel/status/213281841162092544
2012-06-14 11:46:05,NasHariel,,0,0,0,"#thor in the house.. #avenger #brunika #marvel http://instagr.am/p/L2mSehLsV7/",,,#thor #avenger #brunika #marvel,213235861406482433,https://twitter.com/NasHariel/status/213235861406482433
