date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2012-05-24 23:59:53,r2d2grrl,,0,1,0,"""This is just like Budapest."" ""You and I remember Budapest very differently."" #Avengers #Hawkeye #BlackWidow #ClintBarton #NatashaRomanov",,,#Avengers #Hawkeye #BlackWidow #ClintBarton #NatashaRomanov,205810383934595072,https://twitter.com/r2d2grrl/status/205810383934595072
2012-05-24 23:59:51,g_doggonelucky,,0,0,0,"@ChrisEvans my life is complete. #Avengers assemble on Twitter!",,@ChrisEvans,#Avengers,205810375353049088,https://twitter.com/g_doggonelucky/status/205810375353049088
2012-05-24 23:59:49,jmich21,,0,0,0,"Been a long time #moviedate #avengers",,,#moviedate #avengers,205810364212981760,https://twitter.com/jmich21/status/205810364212981760
2012-05-24 23:59:27,ellenajecurb,,0,0,0,"Izz play my #TheGift promo cd now and enjoy de #Avengers. I ain't gaw tehhhhh.",,,#TheGift #Avengers,205810274639413248,https://twitter.com/ellenajecurb/status/205810274639413248
2012-05-24 23:58:53,abigleekygirl,,0,0,1,"saw the #avengers with @SaroiyaC and alisa",,@SaroiyaC,#avengers,205810130502164482,https://twitter.com/abigleekygirl/status/205810130502164482
2012-05-24 23:58:47,c_crisalli,,0,0,0,"finallly going to seee the #avengers .. ive waited way to long!",,,#avengers,205810106728849408,https://twitter.com/c_crisalli/status/205810106728849408
2012-05-24 23:57:34,__MATT___MATT__,,0,0,0,"RT @Avengers: Check out this #Avengers Art Appreciation comic book cover by Julian Totino Tedesco: pic.twitter.com/daIa3yZH",,@Avengers,#Avengers,205809799428968448,https://twitter.com/__MATT___MATT__/status/205809799428968448
2012-05-24 23:57:07,imbreezybabyyy,,0,0,0,"I need to see #Avengers again. And again. And again. The sequel? I seriously can't wait.",,,#Avengers,205809686807711744,https://twitter.com/imbreezybabyyy/status/205809686807711744
2012-05-24 23:56:46,DominicJ25,,1,0,1,"#Avengers thoughts :) http://kiwi6.com/file/7fy4e0dpmc @FallonSkywalker @cterra5 @CadBanesChick",,@FallonSkywalker @cterra5 @CadBanesChick,#Avengers,205809599461330945,https://twitter.com/DominicJ25/status/205809599461330945
2012-05-24 23:55:58,joce_jesus,,0,0,0,"manicure. #OldNavySale #Avengers with @katiejesus ...sounds like a good time to me!",,@katiejesus,#OldNavySale #Avengers,205809396503162880,https://twitter.com/joce_jesus/status/205809396503162880
2012-05-24 23:54:33,HansomManson,,0,1,0,"At the movies with @MeMaiMo #Avengers",,@MeMaiMo,#Avengers,205809039123296256,https://twitter.com/HansomManson/status/205809039123296256
2012-05-24 23:53:49,rdwoolf,,0,0,0,"@TheMovieMaestro @taulukos Summarize The #Avengers in one word ---> Shawarma",,@TheMovieMaestro @taulukos,#Avengers,205808855509245952,https://twitter.com/rdwoolf/status/205808855509245952
2012-05-24 23:52:40,thecmills,JSeeds7,0,0,0,"@JacobSiedle god your butt must hurt #avengers",,@JacobSiedle,#avengers,205808566815309824,https://twitter.com/thecmills/status/205808566815309824
2012-05-24 23:51:39,HouseAdanion,,0,0,1,"The #Avengers was good, but #TheDarkKnight was better. Looking forward to #TheDarkKnightRises!",,,#Avengers #TheDarkKnight #TheDarkKnightRises,205808312019722240,https://twitter.com/HouseAdanion/status/205808312019722240
2012-05-24 23:51:30,FilmNerdAlert,,0,0,0,"What #movie should I see? #avengers #mib3 #darkshadows #thedictator #battleship. Vote on my blog.... http://fb.me/1BIUNYvuD",,,#movie #avengers #mib3 #darkshadows #thedictator #battleship,205808273843167233,https://twitter.com/FilmNerdAlert/status/205808273843167233
2012-05-24 23:50:48,solorjones,,0,0,0,"@twhiddleston The definitive likeness of Loki. #Avengers http://lockerz.com/s/211584277",,@twhiddleston,#Avengers,205808094712832000,https://twitter.com/solorjones/status/205808094712832000
2012-05-24 23:50:28,christadimarc,,0,2,0,"Nothing will ever be funnier than watching the Hulk beat the shit out of Loki. #Avengers #greatestmovie",,,#Avengers #greatestmovie,205808013540458497,https://twitter.com/christadimarc/status/205808013540458497
2012-05-24 23:49:54,hakamarttravel,,0,0,0,"I'm reading Hulk Smash Avengers (118 others checked-in) http://bit.ly/IJmJo4 @GetGlue #Avengers",,@GetGlue,#Avengers,205807869550006272,https://twitter.com/hakamarttravel/status/205807869550006272
2012-05-24 23:49:44,thaurfea,,0,0,0,"Twice I watched #Avengers while eating Skittles, and now Skittles taste like the Avengers to me.",,,#Avengers,205807825761480704,https://twitter.com/thaurfea/status/205807825761480704
2012-05-24 23:48:38,Gartenberg,,5,0,0,"Finally seeing #avengers",,,#avengers,205807552309624832,https://twitter.com/Gartenberg/status/205807552309624832
2012-05-24 23:47:40,pitangawang,,0,0,0,"I'm reading Avengers (51 others checked-in) http://bit.ly/H4TjDI @GetGlue #Avengers",,@GetGlue,#Avengers,205807306187870210,https://twitter.com/pitangawang/status/205807306187870210
2012-05-24 23:45:09,bloodredrache,,1,0,0,"Seeing #Avengers for the third time. Wearing original Avengers flip-flops, a band shirt that says ""Building America"" with my CapAm wallet.",,,#Avengers,205806674781536257,https://twitter.com/bloodredrache/status/205806674781536257
2012-05-24 23:45:07,MegaJayVox,,0,0,0,"On a personal note. Scarlet Johansen can avenge me anytime. #Avengers. Thank u.",,,#Avengers,205806666703319042,https://twitter.com/MegaJayVox/status/205806666703319042
2012-05-24 23:45:07,RBSTweet,,0,0,0,"This is the same view #IronMan had in #Avengers ... #UnderTheMissile http://instagr.am/p/LBzurVL5CJ/",,,#IronMan #Avengers #UnderTheMissile,205806664962682880,https://twitter.com/RBSTweet/status/205806664962682880
2012-05-24 23:45:03,boxseats,,0,0,0,"just watched @scottlava bust out an amazing #Avengers piece. #jelly",,@scottlava,#Avengers #jelly,205806650177748994,https://twitter.com/boxseats/status/205806650177748994
2012-05-24 23:44:53,KhalKhan_,,0,0,0,"Awesome. #Loki #Avengers pic.twitter.com/GeH17m98",,,#Loki #Avengers,205806605906886656,https://twitter.com/KhalKhan_/status/205806605906886656
2012-05-24 23:44:34,JordanJGriffith,,0,0,1,"AAHH THE AVENGERS IS THE BEST MOVIE EVER!!! #Avengers http://yfrog.com/ob86295929j",,,#Avengers,205806525439160322,https://twitter.com/JordanJGriffith/status/205806525439160322
2012-05-24 23:44:31,RoryRacingCar20,,0,0,0,"@EmOsmond it seems you are under one of Loki's spells aren't you attempting world domination... the avengers are coming for you #avengers",,@EmOsmond,#avengers,205806516131995648,https://twitter.com/RoryRacingCar20/status/205806516131995648
2012-05-24 23:44:00,DomDimagmaliw,,0,0,0,"Photo: #IronMan against the #Hulkbuster armor #avengers #toycrewbuddies #advocatepinoy #lifeinmysandals... http://tmblr.co/Z1RPNyM4eH4Q",,,#IronMan #Hulkbuster #avengers #toycrewbuddies #advocatepinoy #lifeinmysandals,205806383042539520,https://twitter.com/DomDimagmaliw/status/205806383042539520
2012-05-24 23:43:56,DomDimagmaliw,,0,0,0,"#IronMan against the #Hulkbuster armor #avengers #toycrewbuddies #advocatepinoy #lifeinmysandals #trend #art http://instagr.am/p/LBzersguMk/",,,#IronMan #Hulkbuster #avengers #toycrewbuddies #advocatepinoy #lifeinmysandals #trend #art,205806369645928448,https://twitter.com/DomDimagmaliw/status/205806369645928448
2012-05-24 23:43:51,onapedalstool,,2,0,0,"Wait, why is the violin music from the Germany scene not on the #Avengers soundtrack? Or is it connected to another track...",,,#Avengers,205806348129153025,https://twitter.com/onapedalstool/status/205806348129153025
2012-05-24 23:43:35,sandyp3000,,2,0,0,"#Avengers for the 4th time! HULK SMASH!",,,#Avengers,205806280294662144,https://twitter.com/sandyp3000/status/205806280294662144
2012-05-24 23:43:32,sophroniel,,1,1,0,"Loki and Thor would have a much better relationship if they just braided each other's hair. #avengers",,,#avengers,205806268147970049,https://twitter.com/sophroniel/status/205806268147970049
2012-05-24 23:43:30,cyndiirella,,0,0,0,"I was really not a fan of the #Avengers. Sorry....to me its all about #Ironman forget about the other wannabe super heros",,,#Avengers #Ironman,205806257108557824,https://twitter.com/cyndiirella/status/205806257108557824
2012-05-24 23:43:12,NoRoleModelz_,,0,0,0,"We at was #avengers",,,#avengers,205806181611077632,https://twitter.com/NoRoleModelz_/status/205806181611077632
2012-05-24 23:43:09,MegaJayVox,,0,0,0,""" @tharapman: I concur! RT @MegaJayVox: ""WE"" have also decided that Scarlet Johannsen stood to conquer in ""THAT"" shot. #amen... #Avengers!",,@tharapman @MegaJayVox,#amen #Avengers,205806170026426371,https://twitter.com/MegaJayVox/status/205806170026426371
2012-05-24 23:42:44,CaesarWar,,1,0,0,"Woohoo! #Avengers http://instagr.am/p/LBzjhCjLPF/",,,#Avengers,205806064430620672,https://twitter.com/CaesarWar/status/205806064430620672
2012-05-24 23:42:41,Madz_Stark,,0,0,0,"#Avengers is still the no.1 movie at the South African box office! I'm not surprised lol coz I watchd it twice - n plannin 2 go again!!!",,,#Avengers,205806051910631425,https://twitter.com/Madz_Stark/status/205806051910631425
2012-05-24 23:42:25,natstev,,1,4,0,"#YouGetPointsIf - You were a fan of Joss Whedon, before he made the #Avengers. #Buffy #Angel #Firefly #Dollhouse #DrHorrible",,,#YouGetPointsIf #Avengers #Buffy #Angel #Firefly #Dollhouse #DrHorrible,205805986928263168,https://twitter.com/natstev/status/205805986928263168
2012-05-24 23:39:47,BeccaBeanss,,0,0,0,"Nicky Fury #nickfury #avengers http://instagr.am/p/LBzN2aA8le/",,,#nickfury #avengers,205805324702203906,https://twitter.com/BeccaBeanss/status/205805324702203906
