date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2012-05-31 23:59:59,Deluzunal,,0,0,0,"@DestinyRoxx @NyanCatWorld: ""HAPPY THORSDAY http://25.media.tumblr.com/tumblr_m4w360Q7S61qczzpwo1_400.gif … http://fb.me/18mi5soal "" #Thor #Avengers",,@DestinyRoxx @NyanCatWorld,#Thor #Avengers,208347120573493249,https://twitter.com/Deluzunal/status/208347120573493249
2012-05-31 23:59:25,tgod2727,,0,0,0,"movies with @chelseagrace97 & my lil bro #Avengers",,@chelseagrace97,#Avengers,208346980123021312,https://twitter.com/tgod2727/status/208346980123021312
2012-05-31 23:59:23,JHSII,,0,0,0,"Saw the #Avengers today - great movie!!",,,#Avengers,208346970597765121,https://twitter.com/JHSII/status/208346970597765121
2012-05-31 23:58:03,Guillerm06,,0,0,0,"@cine por finnnn #avengers",,@cine,#avengers,208346634369761280,https://twitter.com/Guillerm06/status/208346634369761280
2012-05-31 23:57:48,AshCoozie,,0,0,0,"It's Thorsday fellow Midguardians! :D #thor #avengers #marvel",,,#thor #avengers #marvel,208346573233602562,https://twitter.com/AshCoozie/status/208346573233602562
2012-05-31 23:57:29,Thetommyhaley,,0,0,0,"Got to work on the avengers Half sleeve the starter a While back ..... Been super fun!! #Avengers #thor #ir http://instagr.am/p/LT2eR7Oc2e/",,,#Avengers #thor #ir,208346494120624128,https://twitter.com/Thetommyhaley/status/208346494120624128
2012-05-31 23:56:56,EbNrOsHd,,1,0,0,"the #avengers movie is really amazing",,,#avengers,208346353930219521,https://twitter.com/EbNrOsHd/status/208346353930219521
2012-05-31 23:54:54,the_nita,,0,0,0,"I'm a dork. I'm okay with that. I squeed when I saw this - http://youtu.be/QZkqC4Lz8dU #hishe #avengers",,,#hishe #avengers,208345842820726784,https://twitter.com/the_nita/status/208345842820726784
2012-05-31 23:53:43,TraciBlume12,,0,0,0,"Movie time with friends :) #jazzband #friends #avengers #3D",,,#jazzband #friends #avengers #3D,208345544844783616,https://twitter.com/TraciBlume12/status/208345544844783616
2012-05-31 23:53:24,EmmaWexford,,0,0,0,"Voted Outstanding in Genre-YA INITIATION http://amzn.to/vsQ2DU #mib3 #Wattpad #Hawaii #OnceUponATime #americasgottalent #abcfamily #Avengers",,,#mib3 #Wattpad #Hawaii #OnceUponATime #americasgottalent #abcfamily #Avengers,208345464905535488,https://twitter.com/EmmaWexford/status/208345464905535488
2012-05-31 23:52:23,allie_wyant,,0,1,0,"saw #avengers for the third time",,,#avengers,208345210307100673,https://twitter.com/allie_wyant/status/208345210307100673
2012-05-31 23:51:50,mattysilvestre,,0,0,0,"Come see the #avengers @cactusclubcafe Coquitlam starring @samgirard13 @jadeeyolfson @alinapejkovic @gabiguzzo @jamiesumner",,@cactusclubcafe @samgirard13 @jadeeyolfson @alinapejkovic @gabiguzzo @jamiesumner,#avengers,208345070519320578,https://twitter.com/mattysilvestre/status/208345070519320578
2012-05-31 23:50:38,lyza_erika_13,,0,0,0,"About To Pass Out Watching The #Avengers !",,,#Avengers,208344770760806401,https://twitter.com/lyza_erika_13/status/208344770760806401
2012-05-31 23:48:43,LaChapparita,,0,0,0,"I'm reading Hulk Smash Avengers (141 others checked-in) http://bit.ly/JGpIkj @GetGlue #Avengers",,@GetGlue,#Avengers,208344285475635201,https://twitter.com/LaChapparita/status/208344285475635201
2012-05-31 23:48:18,LealLegacy,,0,0,0,"Hail Hawkeye. #Marvel #Comics #VideoGames #Avengers #Hawkeye #Hydra http://instagr.am/p/LT1rYVGnj4/",,,#Marvel #Comics #VideoGames #Avengers #Hawkeye #Hydra,208344184061558784,https://twitter.com/LealLegacy/status/208344184061558784
2012-05-31 23:48:13,mrsyoung326,,0,0,0,"Enter a code from specially marked #Avengers @RedBaronPizza box & you could win an Acura MDX or other epic prizes! http://bit.ly/xDEt6L",,@RedBaronPizza,#Avengers,208344160338579456,https://twitter.com/mrsyoung326/status/208344160338579456
2012-05-31 23:48:08,barrylyga,,1,2,1,"Just saw #avengers w/ my girlfriend. Her reaction? ""I want to see it again!"" #she'sakeeper #fb",,,#avengers #she #fb,208344139258019840,https://twitter.com/barrylyga/status/208344139258019840
2012-05-31 23:47:20,1baronjennyson,,1,0,0,"Something is missing, guys. :| #avengers pic.twitter.com/fABVGyHn",,,#avengers,208343930339729408,https://twitter.com/1baronjennyson/status/208343930339729408
2012-05-31 23:46:00,Grant_Berman,jelovette,1,0,0,"@jelovette I'm getting the stink eye for being on my phone. You are getting me in trouble. #avengers",,@jelovette,#avengers,208343603439878147,https://twitter.com/Grant_Berman/status/208343603439878147
2012-05-31 23:45:33,Teirersias,,1,0,0,"After seeing #Avengers twice, I'm wondering if it is the first Hulk movie without a Lou Ferrigno cameo. I saw Stan Lee but no Lou!",,,#Avengers,208343488117489665,https://twitter.com/Teirersias/status/208343488117489665
2012-05-31 23:45:24,HelloG0rgeous,,0,0,0,"My sales manager has thee best cufflinks! #captainamerica #avengers http://instagr.am/p/LT1Gj7rxEu/",,,#captainamerica #avengers,208343453489307649,https://twitter.com/HelloG0rgeous/status/208343453489307649
