date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-03-29 23:59:09,Komickenn,,0,0,0,"All the stars are kosher #KendrickLamar #BlackPanther #SZA",,,#KendrickLamar #BlackPanther #SZA,979508291364630528,https://twitter.com/Komickenn/status/979508291364630528
2018-03-29 23:57:37,TheMarvelReport,,0,9,30,"BREAKING: #BlackPanther Composer @ludwiggoransson To Score #Sony's #Venom! http://bit.ly/2IeS60e pic.twitter.com/3nWllv0C08",,@ludwiggoransson,#BlackPanther #Sony #Venom,979507904968646656,https://twitter.com/TheMarvelReport/status/979507904968646656
2018-03-29 23:56:49,marcbienaime,,0,0,0,"Separate thought: maybe Trump is American Killmonger, wanting to give forgotten ones the spoils of US hegemony, not realizing that empowering with knowledge and skills for the future is more sustainable approach. #BlackPanther",,,#BlackPanther,979507703377575936,https://twitter.com/marcbienaime/status/979507703377575936
2018-03-29 23:53:47,Ken_STACKS,kristaferanka,0,0,0,"This person is just...hmmm I dont even know what to say #BlackPanther !!! https://twitter.com/kristaferanka/status/979084293736620032 …",,,#BlackPanther,979506941511815169,https://twitter.com/Ken_STACKS/status/979506941511815169
2018-03-29 23:53:35,DelaciaT,,0,0,0,"Tchalla&Nakia FanPage on Instagram: “King Tchalla #BlackPantherFamily #kinginqueenofwakanda #WeAreWakanda #blackpanther #tchalla #nakia #chadwickboseman #lupitanyongo…” https://instagram.com/p/BgzCUuahS7Y/",,,#BlackPantherFamily #kinginqueenofwakanda #WeAreWakanda #blackpanther #tchalla #nakia #chadwickboseman #lupitanyongo,979506891343544320,https://twitter.com/DelaciaT/status/979506891343544320
2018-03-29 23:52:56,EvanFilarca,heroichollywood,1,7,47,"Now I'm even more intrigued! #Venom #WeAreVenom #VenomMovie #SpideySquad #SpiderMan #BlackPanther https://twitter.com/heroichollywood/status/979504928975675392 …",,,#Venom #WeAreVenom #VenomMovie #SpideySquad #SpiderMan #BlackPanther,979506724083154944,https://twitter.com/EvanFilarca/status/979506724083154944
2018-03-29 23:48:34,MrDesignJunkie,AVG_JP,0,0,0,"Avengers Infinity War poster! #InfinityWar #Marvel #BlackPanther #Thanos #IronMan #Hulk #CaptainAmerica #WinterSoldier #Groot #RocketRaccoon #DrStrange #Spiderman #Thor #Loki #Vision #WakandaForever #AvengersInfinityWar #Avengers #Okoye #StarLord #Gamorapic.twitter.com/K7CIsgJRn0",,,#InfinityWar #Marvel #BlackPanther #Thanos #IronMan #Hulk #CaptainAmerica #WinterSoldier #Groot #RocketRaccoon #DrStrange #Spiderman #Thor #Loki #Vision #WakandaForever #AvengersInfinityWar #Avengers #Okoye #StarLord #Gamorapic,979505628644282370,https://twitter.com/MrDesignJunkie/status/979505628644282370
2018-03-29 23:48:14,MrDesignJunkie,,0,0,0,"@marvel_jp Avengers Infinity War poster! #InfinityWar #Marvel #BlackPanther #Thanos #IronMan #Hulk #CaptainAmerica #WinterSoldier #Groot #RocketRaccoon #DrStrange #Spiderman #Thor #Loki #Vision #WakandaForever #AvengersInfinityWar #Avengers #Okoye #StarLord #Gamorapic.twitter.com/TZqWOx1uh0",,@marvel_jp,#InfinityWar #Marvel #BlackPanther #Thanos #IronMan #Hulk #CaptainAmerica #WinterSoldier #Groot #RocketRaccoon #DrStrange #Spiderman #Thor #Loki #Vision #WakandaForever #AvengersInfinityWar #Avengers #Okoye #StarLord #Gamorapic,979505544590516225,https://twitter.com/MrDesignJunkie/status/979505544590516225
2018-03-29 23:48:01,MrDesignJunkie,marvel_jp,0,2,4,"Avengers Infinity War poster! #InfinityWar #Marvel #BlackPanther #Thanos #IronMan #Hulk #CaptainAmerica #WinterSoldier #Groot #RocketRaccoon #DrStrange #Spiderman #Thor #Loki #Vision #WakandaForever #AvengersInfinityWar #Avengers #Okoye #StarLord #Gamorapic.twitter.com/2FyjLpSOQv",,,#InfinityWar #Marvel #BlackPanther #Thanos #IronMan #Hulk #CaptainAmerica #WinterSoldier #Groot #RocketRaccoon #DrStrange #Spiderman #Thor #Loki #Vision #WakandaForever #AvengersInfinityWar #Avengers #Okoye #StarLord #Gamorapic,979505488755937281,https://twitter.com/MrDesignJunkie/status/979505488755937281
2018-03-29 23:47:30,MrDesignJunkie,,0,0,0,"@AVG_JP Avengers Infinity War poster! #InfinityWar #Marvel #BlackPanther #Thanos #IronMan #Hulk #CaptainAmerica #WinterSoldier #Groot #RocketRaccoon #DrStrange #Spiderman #Thor #Loki #Vision #WakandaForever #AvengersInfinityWar #Avengers #Okoye #StarLord #Gamorapic.twitter.com/s7GTGdjuDI",,@AVG_JP,#InfinityWar #Marvel #BlackPanther #Thanos #IronMan #Hulk #CaptainAmerica #WinterSoldier #Groot #RocketRaccoon #DrStrange #Spiderman #Thor #Loki #Vision #WakandaForever #AvengersInfinityWar #Avengers #Okoye #StarLord #Gamorapic,979505356975104001,https://twitter.com/MrDesignJunkie/status/979505356975104001
