date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2016-05-26 23:59:50,EEscovar23,,0,1,0,"It's dumb to think that the creators behind all this stupid #Hydra and #CaptainAmerica did it thinking that it's for good.",,,#Hydra #CaptainAmerica,735983818146975744,https://twitter.com/EEscovar23/status/735983818146975744
2016-05-26 23:59:09,Sci_Phile,,6,24,92,"Everyone calm down. #CaptainAmerica was just describing the weather and what he found in the rain drops. pic.twitter.com/c6HezzWjFq",,,#CaptainAmerica,735983645433856001,https://twitter.com/Sci_Phile/status/735983645433856001
2016-05-26 23:58:09,boturbotrader,,0,0,0,"5 Big, Unanswered Questions For Captain America: Civil War... http://dlvr.it/LPxlg3 #CaptainAmerica",,,#CaptainAmerica,735983393767182337,https://twitter.com/boturbotrader/status/735983393767182337
2016-05-26 23:57:34,amandsst,,0,0,0,"‘Captain America: Civil War’ Toy Image May Reveal... http://goo.gl/fb/TbuiZ1 #captainamerica",,,#captainamerica,735983247516176385,https://twitter.com/amandsst/status/735983247516176385
2016-05-26 23:57:34,amandsst,,0,0,0,"Huge ‘Captain America: Civil War’ Spoiler Revealed... http://goo.gl/fb/qgihfa #captainamerica",,,#captainamerica,735983246870208513,https://twitter.com/amandsst/status/735983246870208513
2016-05-26 23:57:34,amandsst,,0,0,0,"Captain America Civil War: Spider-Man’s been added to the... http://goo.gl/fb/WZeLio #captainamerica",,,#captainamerica,735983245133746178,https://twitter.com/amandsst/status/735983245133746178
2016-05-26 23:55:53,emilyredwood,,0,0,0,"This. #captainamerica #marvel #comics https://www.instagram.com/p/BF48GoIDbXS/",,,#captainamerica #marvel #comics,735982823581048832,https://twitter.com/emilyredwood/status/735982823581048832
2016-05-26 23:55:31,FreestateRadio,,0,0,0,"Special Thursday night episode of @VRWCRadio discussing #CaptainAmerica #FeelTheBern #MarcoRubio LIVE on YOUTUBE 8pm http://youtu.be/iVV0RsV8iMI",,@VRWCRadio,#CaptainAmerica #FeelTheBern #MarcoRubio,735982729620258816,https://twitter.com/FreestateRadio/status/735982729620258816
2016-05-26 23:55:12,StaniTravels,,6,0,5,"The plot twist that #CaptainAmerica is Hydra makes no sense to me. What's the point of tainting a cool superhero like Steve Rogers?",,,#CaptainAmerica,735982650305826816,https://twitter.com/StaniTravels/status/735982650305826816
2016-05-26 23:55:07,mtbaker1000,,0,0,5,"#CaptainAmerica is not HYDRA!",,,#CaptainAmerica,735982631028822016,https://twitter.com/mtbaker1000/status/735982631028822016
2016-05-26 23:54:05,edannunziata,,1,0,5,"Got mine! Hail hydrant! #CaptainAmerica pic.twitter.com/rlp5HZU7Iq",,,#CaptainAmerica,735982368670908418,https://twitter.com/edannunziata/status/735982368670908418
2016-05-26 23:53:45,RichTate,,0,0,0,"The embodiment of Americana is now a Nazi sympathizer?! What is @Marvel thinking?! I agree with @ChrisEvans #sayitaintso #CaptainAmerica",,@Marvel @ChrisEvans,#sayitaintso #CaptainAmerica,735982286152179712,https://twitter.com/RichTate/status/735982286152179712
2016-05-26 23:53:23,HampBrooks,,0,0,1,"Here's what I have to say about the #CaptainAmerica #Hydra situation:...",,,#CaptainAmerica #Hydra,735982194972327936,https://twitter.com/HampBrooks/status/735982194972327936
2016-05-26 23:52:17,VichusSmith,,0,0,1,"OHH, that's why #CaptainAmerica is trending. I thought it was for the movie. Dumb twist, though. I'm not reading it, but it sounds dumb.",,,#CaptainAmerica,735981918227996673,https://twitter.com/VichusSmith/status/735981918227996673
2016-05-26 23:51:20,mara1y,,0,0,0,"Watch: Captain America: Civil War Vision Featurette #CaptainAmerica http://dlvr.it/LPxg6s pic.twitter.com/hD40bBGNm8",,,#CaptainAmerica,735981677659328512,https://twitter.com/mara1y/status/735981677659328512
2016-05-26 23:50:35,1clevercupcake,,0,0,0,"#CaptainAmerica And he's delicious pic.twitter.com/7I4IHa3k1e",,,#CaptainAmerica,735981487338586113,https://twitter.com/1clevercupcake/status/735981487338586113
2016-05-26 23:50:24,JoeyPedras,,0,0,0,"Here's my review of Captain America: Civil War http://youtu.be/8gim8Q1Ly0E?a #CivilWar #CaptainAmerica pic.twitter.com/YwbTyXSiVL",,,#CivilWar #CaptainAmerica,735981443810267137,https://twitter.com/JoeyPedras/status/735981443810267137
2016-05-26 23:48:24,AndrewKaiko,,0,0,2,"Seeing #CaptainAmerica with @pilartoons and @emmettbigfoot ! :) https://itunes.apple.com/cn/app/id1048919894 …pic.twitter.com/uwtZFVZPam",,@pilartoons @emmettbigfoot,#CaptainAmerica,735980939378069504,https://twitter.com/AndrewKaiko/status/735980939378069504
2016-05-26 23:47:20,thunderwoot,,0,1,1,"if there's something you can count on it's the internet being quick to judge something before it's even finished #hailhydra #captainamerica",,,#hailhydra #captainamerica,735980670623883264,https://twitter.com/thunderwoot/status/735980670623883264
2016-05-26 23:46:11,tinhyeuxanhla,,0,0,0,"#news watch movie Online HD Free #Deadpool #captainAmerica #realDonaldtrump on http://Gomoviehd.com link..---->http://goo.gl/tL2Ix6",,,#news #Deadpool #captainAmerica #realDonaldtrump,735980380168331264,https://twitter.com/tinhyeuxanhla/status/735980380168331264
2016-05-26 23:45:29,Ettin64,,0,0,1,"Fucked up that #captainamerica was Andross all along #saynotohydracappic.twitter.com/CCjumkCJW3",,,#captainamerica #saynotohydracappic,735980207413202944,https://twitter.com/Ettin64/status/735980207413202944
2016-05-26 23:45:19,taylerhe,,0,0,0,"Viral video: Game of Thrones, Captain America: Civil War and... http://dlvr.it/LPxbH5 #CaptainAmerica",,,#CaptainAmerica,735980162978709504,https://twitter.com/taylerhe/status/735980162978709504
2016-05-26 23:45:17,shawnatrick,,0,0,0,"Exclusive: Russo Brothers Explain Approach To Captain America:... http://dlvr.it/LPxbDj #CaptainAmerica",,,#CaptainAmerica,735980157064732676,https://twitter.com/shawnatrick/status/735980157064732676
