date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-03-14 23:59:59,joshhayeswriter,,1,0,1,"The only thing I didn’t like about #CaptainMarvel was how Fury got his eye. Talk about anticlimactic.",,,#CaptainMarvel,1106344251821080576,https://twitter.com/joshhayeswriter/status/1106344251821080576
2019-03-14 23:59:36,andrewhackman,,0,0,0,"Remember when Marvel Studios used to make ""One-Shots""? We need one for Goose!!! #MarvelStud10s #MarvelStudios #CaptainMarvel #GooseTheCatpic.twitter.com/16u388JO9N",,,#MarvelStud10s #MarvelStudios #CaptainMarvel #GooseTheCatpic,1106344158187290624,https://twitter.com/andrewhackman/status/1106344158187290624
2019-03-14 23:58:36,ife_diran,,0,0,0,"Is there anyone that has seen #captainmarvel and actually liked it? Do comment below #Marvel",,,#captainmarvel #Marvel,1106343904629219329,https://twitter.com/ife_diran/status/1106343904629219329
2019-03-14 23:58:36,IAMPUERTOROCK,,0,0,0,"swipe.. Doing toddler hoodie sizes are more difficult than adult sizes. How did we do? This is a 5t shortsleeve hoodie. #UnitedApparel @IAMPUERTOROCK #CaptainMarvel #hoodie #lining… https://www.instagram.com/p/BvAg0WzFHBU/?utm_source=ig_twitter_share&igshid=q0jq9v6vwc98 …",,@IAMPUERTOROCK,#UnitedApparel #CaptainMarvel #hoodie #lining,1106343904117473280,https://twitter.com/IAMPUERTOROCK/status/1106343904117473280
2019-03-14 23:58:33,BHun1984,,0,7,6,"Back with a banger #Episode81 of @AFactsChicago as the team analyzes #NFLFreeAgency in depth + #StPatricksDay + #JayLeno + #CaptainMarvel & more! #Chicago Itunes: http://apple.co/2HlpUwe Spotify: http://spoti.fi/2T64chd pic.twitter.com/kC4jf2u2LN",,@AFactsChicago,#Episode81 #NFLFreeAgency #StPatricksDay #JayLeno #CaptainMarvel #Chicago,1106343890968289281,https://twitter.com/BHun1984/status/1106343890968289281
2019-03-14 23:58:30,UABStephenLong,,1,2,10,"Why all the dudes who hate on #CaptainMarvel on every social media comment section look like they finally lost the fight with hair loss and decided to direct their energy elsewhere?",,,#CaptainMarvel,1106343880906207232,https://twitter.com/UABStephenLong/status/1106343880906207232
2019-03-14 23:58:27,LinziLyn,vuecinemas,0,0,0,"3D glasses #GooseTheCat #CaptainMarvel",,,#GooseTheCat #CaptainMarvel,1106343867782230016,https://twitter.com/LinziLyn/status/1106343867782230016
2019-03-14 23:57:49,Maraness_Lara,,0,0,0,"I freacking loved #CaptainMarvel and @brielarson is so awsome. I have the same cat tho xD",,@brielarson,#CaptainMarvel,1106343706406326273,https://twitter.com/Maraness_Lara/status/1106343706406326273
2019-03-14 23:57:46,FPPodcast312,,0,1,3,"Listen to our latest! We talk #CaptainMarvel guest @EmansReviews @CriticsChicagohttp://www.nowplayingnetwork.net/freshperspective/episode53 …",,@EmansReviews @CriticsChicagohttp,#CaptainMarvel,1106343694486114305,https://twitter.com/FPPodcast312/status/1106343694486114305
2019-03-14 23:57:35,ramonaaaaxo,,0,0,1,"Captain Marvel was INCREDIBLE! I loved everything about it! All the characters were great, they meshed well together and the storyline was BRILLIANT! And the tribute to Stan Lee in the intro was PERFECT! THANK YOU STAN! #CaptainMarvel",,,#CaptainMarvel,1106343650978660353,https://twitter.com/ramonaaaaxo/status/1106343650978660353
