date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2016-12-08 23:26:29,sapw,,0,0,1,"Today is #NationalPretendToBeATimeTravelerDay #Sherlock #DoctorStrange #DoctorWhopic.twitter.com/9s8x6kU6pq",,,#NationalPretendToBeATimeTravelerDay #Sherlock #DoctorStrange #DoctorWhopic,807003444062064640,https://twitter.com/sapw/status/807003444062064640
2016-12-08 23:21:23,mjd13,,0,0,0,"Follow @gb_reviews for geeky TV & movie reviews and for your chance to WIN the #DoctorStrange Giveaway! Enter here: http://www.gbreviews.com/doctor-strange-giveaway/ …",,@gb_reviews,#DoctorStrange,807002161859166208,https://twitter.com/mjd13/status/807002161859166208
2016-12-08 23:21:22,LukeTG42,,0,0,0,"Holy crud, Doctor Strange was AMAZING! Aside from grossing me out a bit, it was FLAWLESS! #blockbuster #DoctorStrange pic.twitter.com/JKmv7FSKbb",,,#blockbuster #DoctorStrange,807002156700147712,https://twitter.com/LukeTG42/status/807002156700147712
2016-12-08 23:05:35,MikeyRocksLang,,0,0,0,"Having a cup of something strange! #DoctorStrange #funko #lookatthathair #Coffeepic.twitter.com/Gwgq9B4rpH",,,#DoctorStrange #funko #lookatthathair #Coffeepic,806998185994571776,https://twitter.com/MikeyRocksLang/status/806998185994571776
2016-12-08 23:02:19,SharpShooter993,,0,1,2,"Similarities between #ironman and #DoctorStrange @RobertDowneyJr #BenedictCumberbatch #Marvel #sherlockholmespic.twitter.com/VYyEQUEh6O",,@RobertDowneyJr,#ironman #DoctorStrange #BenedictCumberbatch #Marvel #sherlockholmespic,806997362166087680,https://twitter.com/SharpShooter993/status/806997362166087680
2016-12-08 22:44:37,Rrickard_Soul,,0,0,0,"currently watching #DoctorStrange the 2007 animated film :3 its 1 hour & 35 mins",,,#DoctorStrange,806992911380451332,https://twitter.com/Rrickard_Soul/status/806992911380451332
2016-12-08 22:20:45,Americancomic_7,,0,0,0,"Deadpool×Doctor Strange????? #Deadpool #DoctorStrange pic.twitter.com/qAvxLII33Z",,,#Deadpool #DoctorStrange,806986902775611392,https://twitter.com/Americancomic_7/status/806986902775611392
2016-12-08 22:12:15,StuffedBurritoE,,0,0,1,"Who needs drugs when you can trip out on #DoctorStrange? Finally saw it. Totally dug it. Had the whole theater to myself @CinepolisUSA",,@CinepolisUSA,#DoctorStrange,806984764313870336,https://twitter.com/StuffedBurritoE/status/806984764313870336
2016-12-08 22:01:15,TheEricButts,,0,0,1,"Today's #Funko #PopFigure #Unboxing is a bunch of #Marvel #Exclusives #DoctorStrange #Deadpool #Punisher #AntiVenom http://buff.ly/2gmLAXO",,,#Funko #PopFigure #Unboxing #Marvel #Exclusives #DoctorStrange #Deadpool #Punisher #AntiVenom,806981995070967808,https://twitter.com/TheEricButts/status/806981995070967808
2016-12-08 22:01:13,EricButts,,0,0,1,"Today's #Funko #PopFigure #Unboxing is a bunch of #Marvel #Exclusives #DoctorStrange #Deadpool #Punisher #AntiVenom http://buff.ly/2gmPP5s",,,#Funko #PopFigure #Unboxing #Marvel #Exclusives #DoctorStrange #Deadpool #Punisher #AntiVenom,806981989366632448,https://twitter.com/EricButts/status/806981989366632448
2016-12-08 21:59:52,Casheets,,0,0,1,"Doctor Strange kinda day #DoctorStrange pic.twitter.com/JBMlYfbosr",,,#DoctorStrange,806981646050152448,https://twitter.com/Casheets/status/806981646050152448
2016-12-08 21:58:21,cine31,,0,0,0,"ALL TEES $14 @TeePublic #doctorstrange #SanctumSanctorum #magic #xmas #gifts https://www.teepublic.com/t-shirt/844946-sanctum-sanctorum?store_id=28648 …pic.twitter.com/5ooHpBC7cF",,@TeePublic,#doctorstrange #SanctumSanctorum #magic #xmas #gifts,806981265161392128,https://twitter.com/cine31/status/806981265161392128
2016-12-08 21:57:05,NewsRemixBot,,0,0,0,"From #DoctorStrange to #LaLaLand, these are the 5 WORST movies of 2016: http://share.ew.com/3Y1zAqn pic.twitter.com/Y0Hutxsi1N",,,#DoctorStrange #LaLaLand,806980948772483072,https://twitter.com/NewsRemixBot/status/806980948772483072
2016-12-08 21:47:33,baritomn,,0,0,0,"With my pal! #comicconportugal #batman #statue #cosplay #doctorstrange #porto #comic #game… https://www.instagram.com/p/BNxZNuQFsPg/",,,#comicconportugal #batman #statue #cosplay #doctorstrange #porto #comic #game,806978548502241282,https://twitter.com/baritomn/status/806978548502241282
2016-12-08 21:47:00,DonMiviso,EW,0,0,1,"For me #DoctorStrange is a top ten movie and #NeonDemon would have been included in the listing",,,#DoctorStrange #NeonDemon,806978409293344768,https://twitter.com/DonMiviso/status/806978409293344768
2016-12-08 21:46:45,gracie_joymarie,,0,0,1,"If you have not seen #DoctorStrange you are not human... Thank you to whom took me to the… https://www.instagram.com/p/BNxZIJfjWBK/",,,#DoctorStrange,806978345221165056,https://twitter.com/gracie_joymarie/status/806978345221165056
2016-12-08 21:36:16,jdsherocomplex,,0,0,2,"Foe Show Issue 2 (video) - Terry and JD talk DOCTOR STRANGE. Because we have no sense of timing. #DoctorStrange https://youtu.be/0QtB85vTsuM",,,#DoctorStrange,806975706815143937,https://twitter.com/jdsherocomplex/status/806975706815143937
2016-12-08 21:35:26,robl_24,,0,0,0,"Movie Date @hard2guard1 #DoctorStrange",,@hard2guard1,#DoctorStrange,806975498559557639,https://twitter.com/robl_24/status/806975498559557639
2016-12-08 21:05:12,MindfulnessFX,,0,0,0,"#Video: 'Doctor Strange' stars talk #mindfulness, #meditation | #movie #doctorstrange http://ow.ly/bUu1306WstB",,,#Video #mindfulness #meditation #movie #doctorstrange,806967891031707648,https://twitter.com/MindfulnessFX/status/806967891031707648
2016-12-08 21:02:38,BoxOffice,,0,3,8,"DOCTOR STRANGE earned $0.514M on Wednesday and has grossed $217.231M to date domestically #DoctorStrange",,,#DoctorStrange,806967243095601152,https://twitter.com/BoxOffice/status/806967243095601152
2016-12-08 20:55:28,3BlackGeeks,,0,0,1,"Talking about the latest MCU flick, #DoctorStrange with guests @JustCallMeDjm @SuperSel0320 #Marvel http://dld.bz/feNMD pic.twitter.com/PSrJkk098i",,@JustCallMeDjm @SuperSel0320,#DoctorStrange #Marvel,806965441839173632,https://twitter.com/3BlackGeeks/status/806965441839173632
2016-12-08 20:51:07,mugsfrank_shirt,,0,0,0,"Check out Dr Doctor Strange The Magician Marvel Comics Cuff Knit Hat Nwt #DoctorStrange #Beanie http://www.ebay.com/itm/Dr-Doctor-Strange-The-Magician-Marvel-Comics-Cuff-Knit-Hat-Nwt-/361757632311?roken=cUgayN&soutkn=v4j8qO … via @eBay",,@eBay,#DoctorStrange #Beanie,806964346702200832,https://twitter.com/mugsfrank_shirt/status/806964346702200832
2016-12-08 20:48:12,AldoJMM_16,,0,1,3,"#BatmanVSuperman?? Seriously?! But not #DoctorStrange? Don't know what to say X-Men & Suicide Squad were cool. What's wrong with u @TIME?pic.twitter.com/WGRFj18EQg",,@TIME,#BatmanVSuperman #DoctorStrange,806963612619309057,https://twitter.com/AldoJMM_16/status/806963612619309057
2016-12-08 20:47:29,Strange_eternal,,0,2,5,"«I have fought to keep the world just the way it is....» Photo: @apromit #DoctorStrange #FemaleDoctorStrangeCosplay #losteps #лостыpic.twitter.com/snnBWf7AVl",,@apromit,#DoctorStrange #FemaleDoctorStrangeCosplay #losteps #лостыpic,806963429990928389,https://twitter.com/Strange_eternal/status/806963429990928389
2016-12-08 20:40:27,StephenMooneyJr,,0,0,1,"Gifts from my Secret Santa this week. #Deadpool #doctorstrange… https://www.instagram.com/p/BNxRil7jO1GlXJzyW3BfNgNN1_uYKYUQKMW9BU0/ …",,,#Deadpool #doctorstrange,806961660493791233,https://twitter.com/StephenMooneyJr/status/806961660493791233
2016-12-08 20:39:20,Kimthomasart,,0,1,2,"Finally finished my doctor strange fan art :) #DoctorStrange #Marvel #drawing #fanart #BenedictCumberbatch #fineart #art #realism #Magicpic.twitter.com/umFsDfC1xX",,,#DoctorStrange #Marvel #drawing #fanart #BenedictCumberbatch #fineart #art #realism #Magicpic,806961380104556544,https://twitter.com/Kimthomasart/status/806961380104556544
2016-12-08 20:00:04,thewhatnauts,,0,0,2,"Is this the end of Magic as we know it? We discuss #DoctorStrange v1-2 here http://bit.ly/2faCD3J #comics #comicbooks #Marvel #podcastpic.twitter.com/gsDLyTZwJ5",,,#DoctorStrange #comics #comicbooks #Marvel #podcastpic,806951497422385153,https://twitter.com/thewhatnauts/status/806951497422385153
2016-12-08 19:46:55,IC_Promenade,,0,0,0,"You still have time people! TODAY is your LAST CHANCE to see #DoctorStrange. Get tickets: http://ow.ly/psjR306WGJX pic.twitter.com/RVN8TNYqhu",,,#DoctorStrange,806948191233015809,https://twitter.com/IC_Promenade/status/806948191233015809
2016-12-08 19:39:13,NerdSwag9,,0,0,0,"Follow @gb_reviews for geeky TV & movie reviews and for your chance to WIN the #DoctorStrange Giveaway! Enter here: http://www.gbreviews.com/doctor-strange-giveaway/ …",,@gb_reviews,#DoctorStrange,806946250465497088,https://twitter.com/NerdSwag9/status/806946250465497088
2016-12-08 19:27:58,FakeNerdPodcast,,0,0,0,"Have you gotten a chance to see #DoctorStrange yet?? Want to know our in depth thoughts? Listen… https://www.instagram.com/p/BNxJPoOh4Ga/",,,#DoctorStrange,806943419440328704,https://twitter.com/FakeNerdPodcast/status/806943419440328704
2016-12-08 19:20:26,MaraStrega,,0,0,0,"Did you know that the miracles from #DoctorStrange film are possibly real? #holographic #universe #miracle #film",,,#DoctorStrange #holographic #universe #miracle #film,806941525653540864,https://twitter.com/MaraStrega/status/806941525653540864
2016-12-08 19:20:04,OEFilmClub,,0,0,1,"After you've seen #DoctorStrange, you should probably do yourself a favor and read @Marvel's monthly series written by @jasonaaron! Great!pic.twitter.com/EXRzmkwgRk",,@Marvel @jasonaaron,#DoctorStrange,806941433886167040,https://twitter.com/OEFilmClub/status/806941433886167040
2016-12-08 19:00:02,DisneyCareers,,0,3,8,"RT @ILMVFX Congratulations to the #DoctorStrange #vfx team on receiving a @CriticsChoice Award nomination! http://di.sn/60198JSfW",,@ILMVFX @CriticsChoice,#DoctorStrange #vfx,806936392869801985,https://twitter.com/DisneyCareers/status/806936392869801985
2016-12-08 18:44:36,denizgrandee,,0,0,0,"Did you love the movie? lezgin.sahin1 #doctorstrange https://www.instagram.com/p/BNxESF-BkCi/",,,#doctorstrange,806932508654768128,https://twitter.com/denizgrandee/status/806932508654768128
2016-12-08 18:43:12,gb_reviews,,0,1,1,"ONLY 4 DAYS LEFT to enter our #DoctorStrange giveaway! Remember, you can earn entries DAILY #Marvel #Funko #FunkoPop http://www.gbreviews.com/doctor-strange-giveaway/ …",,,#DoctorStrange #Marvel #Funko #FunkoPop,806932153619517440,https://twitter.com/gb_reviews/status/806932153619517440
2016-12-08 18:42:43,whatinasees,,0,0,0,"#DoctorStrange was filmed here. Have you seen the movie? The cloak was simply hilarious https://instagram.com/p/BNw_7UaAAzb/ #Marvel #Filmlocationpic.twitter.com/3g6uPQw9ET",,,#DoctorStrange #Marvel #Filmlocationpic,806932031615729664,https://twitter.com/whatinasees/status/806932031615729664
2016-12-08 18:33:56,rodrigo82ok,,0,0,1,"@scottderrickson yesterday I saw #DoctorStrange here in Argentina and it was awesome,funny,it captures the Strange comic in an very good way",,@scottderrickson,#DoctorStrange,806929822995935232,https://twitter.com/rodrigo82ok/status/806929822995935232
2016-12-08 18:30:44,yffar03,,0,0,0,"Low-Cost-Play #DoctorStrange http://fb.me/8ioiaYjGw",,,#DoctorStrange,806929016074682369,https://twitter.com/yffar03/status/806929016074682369
2016-12-08 18:06:35,eatsfrenchfries,,0,0,0,"WHAT IS THIS #DoctorStrange pic.twitter.com/y8ymqclskN",,,#DoctorStrange,806922938456875008,https://twitter.com/eatsfrenchfries/status/806922938456875008
2016-12-08 18:01:45,StrangerByThe12,,0,0,0,"Valkyrie! NOOOOOOOO!!!!!!!! For this and more listen to Stranger by the Dozen! Images from Defenders 107 #podcast #Marvel #DoctorStrange pic.twitter.com/i8jD4s57YK",,,#podcast #Marvel #DoctorStrange,806921723757137920,https://twitter.com/StrangerByThe12/status/806921723757137920
2016-12-08 18:01:22,sketch3ffect,,0,0,0,"So far so good... #doctorstrange #wip #art #artwork #artist #drawing #illustration #pokemon https://www.instagram.com/p/BNw_VevgKQt/",,,#doctorstrange #wip #art #artwork #artist #drawing #illustration #pokemon,806921625832660992,https://twitter.com/sketch3ffect/status/806921625832660992
2016-12-08 18:00:06,qvtheartist,,0,0,0,"I thought this was funny.... #ironman #doctorstrange #awesomefacialhairbros https://www.instagram.com/p/BNw_MMFjWT5/",,,#ironman #doctorstrange #awesomefacialhairbros,806921309657645056,https://twitter.com/qvtheartist/status/806921309657645056
2016-12-08 17:54:31,FOXCinemas,,0,0,0,"From #DoctorStrange to #LaLaLand, these are the BEST movies of the year: http://share.ew.com/BCZN2GY pic.twitter.com/MGwgOEmUxb",,,#DoctorStrange #LaLaLand,806919905589268480,https://twitter.com/FOXCinemas/status/806919905589268480
