date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-05-17 23:59:14,MasterWayne01,itsjustanx,0,0,0,"My favorite scene from #InfinityWar https://twitter.com/itsjustanx/status/996798377194065921 …",,,#InfinityWar,997265318786445312,https://twitter.com/MasterWayne01/status/997265318786445312
2018-05-17 23:58:30,ElConquistadork,,1,0,3,"Finally saw #InfinityWar... pic.twitter.com/gXpnjC2bbh",,,#InfinityWar,997265132836282368,https://twitter.com/ElConquistadork/status/997265132836282368
2018-05-17 23:58:13,WhovianTrev,,0,0,0,"My 10-year-old nephew telling me what he thought of #Avengers #InfinityWar: ""OMG, it was amazing, but that ending, WHAT... THE... HELL‽"" (I rarely punctuate sentences with an interrobang, but I assure you, the way he questioningly exclaimed those words fully warrants its use.)",,,#Avengers #InfinityWar,997265062241824768,https://twitter.com/WhovianTrev/status/997265062241824768
2018-05-17 23:57:53,debovko,,0,0,0,"Why didn't Starlord go on full god mode when they faced Thanos instead of those damn blasters. I thought he was part celestial #InfinityWar",,,#InfinityWar,997264977588244481,https://twitter.com/debovko/status/997264977588244481
2018-05-17 23:57:32,Tammykins1241,,0,0,0,"I just entered @AlertBot's Avengers: Infinity War contest to win @TheBlackPanther on Blu-Ray/DVD, as well as Avengers Funko Pop figures and a brand new @Amazon fireTV 4K player! Enter now at http://win.alertbot.com ! #Avengers #Marvel #InfinityWar #BlackPanther #FunkoPop",,@AlertBot @TheBlackPanther @Amazon,#Avengers #Marvel #InfinityWar #BlackPanther #FunkoPop,997264889038045184,https://twitter.com/Tammykins1241/status/997264889038045184
2018-05-17 23:56:49,3obad55,,0,0,0,"guess deadpool wasn't spared #Deadpool2 #InfinityWar pic.twitter.com/w6Jv5FpQcf",,,#Deadpool2 #InfinityWar,997264708725039107,https://twitter.com/3obad55/status/997264708725039107
2018-05-17 23:54:43,ttwinpeakss,,0,0,0,"Overall #InfinityWar left me: pic.twitter.com/2HVYqJImbU",,,#InfinityWar,997264179516948480,https://twitter.com/ttwinpeakss/status/997264179516948480
2018-05-17 23:54:07,Nath_ology,tariqnasheed,0,0,0,"#InfinityWar spoiler without context https://twitter.com/tariqnasheed/status/997135275762507777 …",,,#InfinityWar,997264027653951488,https://twitter.com/Nath_ology/status/997264027653951488
2018-05-17 23:53:07,Fanomapage,,0,0,0,"What A Ride This Season, It’s Almost Time For The S13 Finale Of #Supernatural @cw_spn #SPNFamily Tie Your Boots, Roll That Up & Lets Roll Out! It’s Time To Carry Onward! #Fanomapage #ThursdayMotivation #TVLand #NFL #MovieFightsLive #ThirstyThursday #InfinityWar pic.twitter.com/a48bfC7194",,@cw_spn,#Supernatural #SPNFamily #Fanomapage #ThursdayMotivation #TVLand #NFL #MovieFightsLive #ThirstyThursday #InfinityWar,997263777904013312,https://twitter.com/Fanomapage/status/997263777904013312
2018-05-17 23:51:15,CheezyHunnids,,0,0,1,"Deadass #timbs #InfinityWar #boipic.twitter.com/zp7ZlZ6AQr",,,#timbs #InfinityWar #boipic,997263309694013440,https://twitter.com/CheezyHunnids/status/997263309694013440
2018-05-17 23:51:03,SmashOTG,,0,2,9,"Movies with Awesome and Dash!!! Then hoping to be live by 11Eastern tonight for a few hours but heads up I'm exhausted lmfao maybe this is the night I get a regular sleep schedule!!! Finally #InfinityWar see you guys in a little!!!! Owww!!! #movies #family #Marvel #superhero – at AMC Loews New Brunswick 18",,,#InfinityWar #movies #family #Marvel #superhero,997263259458789376,https://twitter.com/SmashOTG/status/997263259458789376
2018-05-17 23:50:45,wsepulveda91,JoshuaGrubbsPhD,0,0,0,"Not if you haven’t seen #InfinityWar . Lol",,,#InfinityWar,997263183575306240,https://twitter.com/wsepulveda91/status/997263183575306240
2018-05-17 23:49:41,avengers27900,,0,0,0,"See if you can spot #Drax in this clip from Marvel Studios' ""Avengers: #InfinityWar ."" Get tickets and watch it again in theaters: http://fandango.com/infinitywar pic.twitter.com/Huxe8avBa5",,,#Drax #InfinityWar,997262913172836354,https://twitter.com/avengers27900/status/997262913172836354
2018-05-17 23:49:23,JosephScrimshaw,,4,1,24,"This would be a cool thing to add to the deluxe packaging release of #InfinityWar on blu-ray pic.twitter.com/f8lhx7LcRH",,,#InfinityWar,997262837247455232,https://twitter.com/JosephScrimshaw/status/997262837247455232
2018-05-17 23:47:26,US4310,,0,0,1,"Check out @AlertBot's Avengers: Infinity War contest to win @TheBlackPanther on Blu-Ray/DVD, and a brand new @Amazon fireTV 4K player! Enter now at http://win.alertbot.com ! #Avengers #Marvel #InfinityWar #BlackPanther #FunkoPop https://wn.nr/krmXKY",,@AlertBot @TheBlackPanther @Amazon,#Avengers #Marvel #InfinityWar #BlackPanther #FunkoPop,997262348216750080,https://twitter.com/US4310/status/997262348216750080
2018-05-17 23:46:44,1D5sosCrazy,,0,0,0,"Every time I think of #InfinityWar I want to scream & burst into tears. Waiting a year for the next movie is torture",,,#InfinityWar,997262171447816192,https://twitter.com/1D5sosCrazy/status/997262171447816192
2018-05-17 23:45:21,ThisIsSTONE,,0,0,1,"Whoa they leveled up this theatre. Finally seeing #InfinityWar (@Cinépolis Chelsea - @cinepolisusa for Avengers: Infinity War in New York, NY w/ @lalaontherun)https://www.swarmapp.com/c/2DaQEscpKeZ",,@Cinépolis @cinepolisusa @lalaontherun,#InfinityWar,997261821676544001,https://twitter.com/ThisIsSTONE/status/997261821676544001
2018-05-17 23:44:15,thekeganmelly,,0,0,2,"“Mr. Stark? I don’t feel so good...” @RobertDowneyJr #ironman #infinitywar #artepic.twitter.com/A6H8qSTUBZ",,@RobertDowneyJr,#ironman #infinitywar #artepic,997261546484060161,https://twitter.com/thekeganmelly/status/997261546484060161
2018-05-17 23:43:22,Driver_270,,0,0,0,"1000% Honesty? I'm looking forward to #Deadpool2 more than #InfinityWar (and stuff like this is why!) https://youtu.be/nlozE2m-NMc",,,#Deadpool2 #InfinityWar,997261321933647872,https://twitter.com/Driver_270/status/997261321933647872
