date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2010-06-10 23:49:40,yhbrandon,,0,0,0,"#ironman2 (@Derby Plaza Theatre) http://4sq.com/9MIR0l",,@Derby,#ironman2,15887500038,https://twitter.com/yhbrandon/status/15887500038
2010-06-10 23:04:31,meaghanmariaa,,0,0,0,"i kind of really wanna see #gethimtothegreek and #ironman2 cuz they're both supposed to be amazing.",,,#gethimtothegreek #ironman2,15884944945,https://twitter.com/meaghanmariaa/status/15884944945
2010-06-10 20:54:29,toky0_martian,,0,0,0,"Juz remembered I got #IronMan2 and #DeathAtAFuneral on my phone... :D",,,#IronMan2 #DeathAtAFuneral,15877938935,https://twitter.com/toky0_martian/status/15877938935
2010-06-10 20:19:54,RAnDy_Saavage,,0,0,0,"@georgianasimone naa i lie since #IronMan2...wen we get bak we in dere",,@georgianasimone,#IronMan2,15875829185,https://twitter.com/RAnDy_Saavage/status/15875829185
2010-06-10 20:07:28,yhbrandon,,0,0,0,"#ironman2 tonight",,,#ironman2,15875075544,https://twitter.com/yhbrandon/status/15875075544
2010-06-10 20:01:55,MarvelMistress,,0,0,0,"About #IronMan2 Download Iron Man 2 2010 TS XviD AC3 ViSiON 400mb HF from ... http://bit.ly/b0UFs1 #marvelcomics",,,#IronMan2 #marvelcomics,15874729108,https://twitter.com/MarvelMistress/status/15874729108
2010-06-10 18:45:00,mariola_zepeda,,0,0,0,"Robert Downey Jr. y Mickey Rourke son super cool en Iron Man 2!! You loose!! #IronMan2",,,#IronMan2,15870160471,https://twitter.com/mariola_zepeda/status/15870160471
2010-06-10 12:35:18,DubSnub21,,0,0,0,"i cant beleive i went to the mall to go see #Ironman2 its was realy good... just got out the shower, ima be late today",,,#Ironman2,15847185714,https://twitter.com/DubSnub21/status/15847185714
2010-06-10 09:23:20,youhoney,,0,0,0,"Iron Man 2 mission accomplished! Take the challenge at http://bit.ly/bIeIOL #ironman2 #oraclecloud",,,#ironman2 #oraclecloud,15838673298,https://twitter.com/youhoney/status/15838673298
2010-06-10 06:37:14,Risty1108,,0,0,0,"I was watching #Ironman2 yesterday for the 2nd time with my friend, & I hated the movie even more, what a waste of such a big cast!",,,#Ironman2,15832392116,https://twitter.com/Risty1108/status/15832392116
2010-06-10 05:11:35,AshleyHicks1891,,0,0,0,"I didn't like #ironman2 at all! Nothing's catching my attention after #avatar !!",,,#ironman2 #avatar,15828625365,https://twitter.com/AshleyHicks1891/status/15828625365
2010-06-10 04:26:41,jduff84,,0,0,0,"i know i'm a few week behind on this... but #ironman2 was a great movie!",,,#ironman2,15826384000,https://twitter.com/jduff84/status/15826384000
2010-06-10 04:22:18,corinnechesher,,0,0,0,"just saw #IronMan2 with @CareyMetcalfe hooray for explosions!!!!!! :D",,@CareyMetcalfe,#IronMan2,15826156466,https://twitter.com/corinnechesher/status/15826156466
2010-06-10 03:03:28,sebbasaur,,0,0,0,"action movies starring attractive middle aged men/aliens are my new favorite genre. #district9 #ironman2",,,#district9 #ironman2,15821546544,https://twitter.com/sebbasaur/status/15821546544
2010-06-10 02:32:10,MarianaRossellR,,0,0,0,"Con mi boyfriend @JCVelez86 en @CinesUnidos viendo #IronMan2",,@JCVelez86 @CinesUnidos,#IronMan2,15819704368,https://twitter.com/MarianaRossellR/status/15819704368
2010-06-10 01:08:48,KeyaraFoxx,,0,0,0,"#IronMan2 was pretti damn good. Kinda wish i had gone 2 see it earlier",,,#IronMan2,15814828045,https://twitter.com/KeyaraFoxx/status/15814828045
2010-06-10 00:09:00,jduff84,,0,0,0,"Celebrating our 3 year anniversary with dinner ( #copelands) & a movie ( #ironman2)!",,,#copelands #ironman2,15811310037,https://twitter.com/jduff84/status/15811310037
2010-06-10 00:01:29,TerranceA,,0,0,0,"Should I go see #IronMan2 is it good?",,,#IronMan2,15810873425,https://twitter.com/TerranceA/status/15810873425
2010-06-09 22:09:04,toky0_martian,,0,0,0,"dwnloading #IronMan2 to my #iPhone... ^^ #yeabuddy... lol",,,#IronMan2 #iPhone #yeabuddy,15804732688,https://twitter.com/toky0_martian/status/15804732688
2010-06-09 21:41:23,film_atic,,0,0,0,"""I hope you're ready""-Ivan Vanko #Ironman2",,,#Ironman2,15803694220,https://twitter.com/film_atic/status/15803694220
2010-06-09 21:14:54,TheMackKrew,,0,0,0,"at @katastrophe_sik crib watchn #ironman2 SHIT BETTA B GUD",,@katastrophe_sik,#ironman2,15802849308,https://twitter.com/TheMackKrew/status/15802849308
2010-06-09 20:50:33,WynonnaDerp,,0,0,0,"Randomy got an #IronMan2 poster at school. @Kat_Tokyo Thank you for telling me. http://twitpic.com/1vcqt1",,@Kat_Tokyo,#IronMan2,15801513407,https://twitter.com/WynonnaDerp/status/15801513407
2010-06-09 19:59:49,MarvelMistress,,0,0,0,"About #IronMan2 The Iron Man 2 Suitcase Suit Isn't Just for Tony Stark Anymore http://bit.ly/cKKQRa #marvelcomics",,,#IronMan2 #marvelcomics,15798739655,https://twitter.com/MarvelMistress/status/15798739655
2010-06-09 19:45:24,caseyayers,,0,1,0,"Wonder why Col. Rhodes looks different in #IronMan2 than in #IronMan? Here's why: http://bit.ly/90kC14",,,#IronMan2 #IronMan,15797984901,https://twitter.com/caseyayers/status/15797984901
2010-06-09 19:22:00,Gryfen_Z,,0,0,0,"I think it helps that the game takes place after the movie. #IronMan2",,,#IronMan2,15796791560,https://twitter.com/Gryfen_Z/status/15796791560
2010-06-09 17:47:01,joshwalkerlive,,0,0,0,"#ironman2 w/ @amyjwalker for our anniversary! (@Kerasotes Theatre Showplace 16) http://4sq.com/7GgKkD",,@amyjwalker @Kerasotes,#ironman2,15792020357,https://twitter.com/joshwalkerlive/status/15792020357
2010-06-09 17:02:30,KTurner50,,0,0,0,"Claire's blog on #Ironman2 http://bit.ly/cjAznG What are your thoughts?",,,#Ironman2,15789924596,https://twitter.com/KTurner50/status/15789924596
2010-06-09 17:01:12,manicpixiedane,,0,0,0,"Red Carpet Superheroine of the Night: Kate Mara http://tinyurl.com/2wfk5dd #cfda #zacposen #ironman2 #wondergirl",,,#cfda #zacposen #ironman2 #wondergirl,15789867986,https://twitter.com/manicpixiedane/status/15789867986
2010-06-09 16:50:54,jacobian64,,0,0,0,"Photo: tony stark sidekick. #ironman2 http://tumblr.com/xmrb97x6b",,,#ironman2,15789399212,https://twitter.com/jacobian64/status/15789399212
2010-06-09 05:05:09,MedianGuy,,0,0,0,"@TrueBeautyShows nothing over here. I'm just looking for work still. I seem #IronMan2 today. good stuff",,@TrueBeautyShows,#IronMan2,15759959236,https://twitter.com/MedianGuy/status/15759959236
2010-06-09 03:46:49,atronic,,0,0,0,"RT @MiszButtaCup24: Mad the bad guy from #IronMan2 is rockinq true religion jeans smh>lol with the ed Hardy sweater, N the toothpick chillen",,@MiszButtaCup24,#IronMan2,15755682417,https://twitter.com/atronic/status/15755682417
2010-06-09 03:03:35,Soulprncs3,,0,0,0,"Waiting for the credits to end, bc husband swears there is something to wait for. I have to pee. #Ironman2",,,#Ironman2,15752893554,https://twitter.com/Soulprncs3/status/15752893554
2010-06-09 02:38:14,itsjustjada,,0,0,0,"Going to shower and go watch #Ironman2 finally!",,,#Ironman2,15751342607,https://twitter.com/itsjustjada/status/15751342607
2010-06-09 02:33:30,ramblingsreport,,0,0,0,"Hottie pics of Scarlett Johansson have been added to The Hottie Blog: http://stevemike08066.livejournal.com #hotties #ironman2",,,#hotties #ironman2,15751058427,https://twitter.com/ramblingsreport/status/15751058427
2010-06-09 00:45:25,jenspirko,,0,0,0,"You know Mickey Rourke's truly a scary dude because even his hands are wicked scary. #IronMan2",,,#IronMan2,15744492381,https://twitter.com/jenspirko/status/15744492381
2010-06-08 22:57:30,I_AM_MUCHLOVE,,0,0,0,"#true...much love RT @Avukile: #Ironman2 The Audi R8 Spyder is hot but #ScarlettJohansson steals the show *purrs*",,@Avukile,#true #Ironman2 #ScarlettJohansson,15738379504,https://twitter.com/I_AM_MUCHLOVE/status/15738379504
2010-06-08 22:51:23,I_AM_MUCHLOVE,,0,0,0,"Failed to mention watched #ironman2...ending predictable...story line abit confusing...generaly well --->my popcorn wasnt burned!!!much love",,,#ironman2,15738036580,https://twitter.com/I_AM_MUCHLOVE/status/15738036580
2010-06-08 21:42:40,NickMendoza,,0,1,1,"How 6 Big Summer Films Are Using Facebook For Marketing: http://to.pbs.org/9Iwu9i #Twilight #DespicableMe #IronMan2 #ToyStory3 #ATeam #SATC2",,,#Twilight #DespicableMe #IronMan2 #ToyStory3 #ATeam #SATC2,15734256269,https://twitter.com/NickMendoza/status/15734256269
2010-06-08 21:27:05,slicktalkscorch,,0,0,0,"Jus saw #ironman2 thas shyt was #bullshyt I never wanna see it again",,,#ironman2 #bullshyt,15733441110,https://twitter.com/slicktalkscorch/status/15733441110
2010-06-08 21:11:32,MsRabanne,,0,0,0,"Omg This Russian Man With His Electric Wip Gets Me Sooo Scared Lool #IronMan2",,,#IronMan2,15732614377,https://twitter.com/MsRabanne/status/15732614377
2010-06-08 21:08:44,whataboutken,lizponce,0,0,0,"@lizponce I still haven't seen #IronMan2 wasn't overly excited to see it...*shrugs*",,@lizponce,#IronMan2,15732467892,https://twitter.com/whataboutken/status/15732467892
2010-06-08 20:56:47,Avukile,,0,0,0,"#Ironman2 The Audi R8 Spyder is hot but #ScarlettJohansson steals the show *purrs*",,,#Ironman2 #ScarlettJohansson,15731853221,https://twitter.com/Avukile/status/15731853221
2010-06-08 20:49:49,Scarlito_1017,,0,0,0,"Watching #IRONMAN2",,,#IRONMAN2,15731498105,https://twitter.com/Scarlito_1017/status/15731498105
2010-06-08 20:43:00,__deerussy,,0,0,0,"Watching #IronMan2 : Bbl :)",,,#IronMan2,15731146762,https://twitter.com/__deerussy/status/15731146762
2010-06-08 19:50:48,singinsteven,,0,0,0,"So I just finished watching #IronMan2 >>> Turned out to be pretty good. #ScarJo was killing in it, i know that! U 2, #DonCheadle!!!",,,#IronMan2 #ScarJo #DonCheadle,15728346667,https://twitter.com/singinsteven/status/15728346667
2010-06-08 19:03:55,MarvelMistress,,0,0,0,"About #IronMan2 Iron Man 2 TELESYNC 720p HDRip x264-PrisM - Rapidshare Forums http://bit.ly/azOSLl #marvelcomics",,,#IronMan2 #marvelcomics,15725824517,https://twitter.com/MarvelMistress/status/15725824517
2010-06-08 18:43:57,shadowknight505,,0,0,0,"Beat #godofwar3 today, now I'm taking Matty and Eric with me to go see #ironman2 (second time for me!)",,,#godofwar3 #ironman2,15724762867,https://twitter.com/shadowknight505/status/15724762867
2010-06-08 17:04:55,giannivt,,0,0,0,"listening ""AC/DC – Highway To Hell"" #IronMan2 ♫ http://blip.fm/~rqcpv",,,#IronMan2,15719185512,https://twitter.com/giannivt/status/15719185512
2010-06-08 13:00:07,tweet_robs,,0,0,0,"@RealJaeCee Be ready for #IronMan2. Nice t-shirt. http://bit.ly/cVBzeJ",,@RealJaeCee,#IronMan2,15704423714,https://twitter.com/tweet_robs/status/15704423714
2010-06-08 13:00:06,tweet_robs,,0,0,0,"@BobafetSVK Be ready for #IronMan2. Nice t-shirt. http://bit.ly/cVBzeJ",,@BobafetSVK,#IronMan2,15704422977,https://twitter.com/tweet_robs/status/15704422977
2010-06-08 13:00:06,tweet_robs,,0,0,0,"@JazyCoutureBoss Be ready for #IronMan2. Nice t-shirt. http://bit.ly/cVBzeJ",,@JazyCoutureBoss,#IronMan2,15704422943,https://twitter.com/tweet_robs/status/15704422943
2010-06-08 13:00:06,tweet_robs,,0,0,0,"@esther__coleman ) Be ready for #IronMan2. Nice t-shirt. http://bit.ly/cVBzeJ",,@esther__coleman,#IronMan2,15704422942,https://twitter.com/tweet_robs/status/15704422942
2010-06-08 13:00:06,tweet_robs,,0,0,0,"@GabyS_T Be ready for #IronMan2. Nice t-shirt. http://bit.ly/cVBzeJ",,@GabyS_T,#IronMan2,15704422727,https://twitter.com/tweet_robs/status/15704422727
2010-06-08 13:00:06,tweet_robs,,0,0,0,"@firdackidd Be ready for #IronMan2. Nice t-shirt. http://bit.ly/cVBzeJ",,@firdackidd,#IronMan2,15704422553,https://twitter.com/tweet_robs/status/15704422553
2010-06-08 13:00:06,tweet_robs,,0,0,0,"@PurpleBean Be ready for #IronMan2. Nice t-shirt. http://bit.ly/cVBzeJ",,@PurpleBean,#IronMan2,15704422245,https://twitter.com/tweet_robs/status/15704422245
2010-06-08 13:00:06,tweet_robs,,0,0,0,"@lovelyslyons Be ready for #IronMan2. Nice t-shirt. http://bit.ly/cVBzeJ",,@lovelyslyons,#IronMan2,15704422067,https://twitter.com/tweet_robs/status/15704422067
