date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-08-12 23:55:11,maggiesticker,,0,0,1,"Props to the little girl who screamed 'ew!!!' whenever there was a kiss scene in #SpiderManFarFromHome",,,#SpiderManFarFromHome,1161063610862493697,https://twitter.com/maggiesticker/status/1161063610862493697
2019-08-12 23:51:00,RunFoxDrawFox,,0,0,0,"Got to see #SpiderManFarFromHome and damn what a fine movie it was.",,,#SpiderManFarFromHome,1161062560415830016,https://twitter.com/RunFoxDrawFox/status/1161062560415830016
2019-08-12 23:45:28,Teddy309,,0,0,0,"Imma gonna watch #SpiderManFarFromHome again today just because of @Zendaya in it",,@Zendaya,#SpiderManFarFromHome,1161061165767618561,https://twitter.com/Teddy309/status/1161061165767618561
2019-08-12 23:36:01,catray,bluelabpro,0,0,2,"And I’m going to talk about #SpiderManFarFromHome so I guess we’re just a pop culture podcast now lol",,,#SpiderManFarFromHome,1161058789539192832,https://twitter.com/catray/status/1161058789539192832
2019-08-12 23:35:19,amycwang,,0,0,1,"I vow to protect Tom Holland at all costs omg so cute #SpiderManFarFromHome #SpiderMan",,,#SpiderManFarFromHome #SpiderMan,1161058612548165632,https://twitter.com/amycwang/status/1161058612548165632
2019-08-12 23:27:58,SimranFangirl,,0,1,2,"Should go see 7th time tomorrow #SpiderManFarFromHome @TomHolland1996 Lol I am 19 adult well spending on this moviepic.twitter.com/xmJ2LK1ub5",,@TomHolland1996,#SpiderManFarFromHome,1161056763258527746,https://twitter.com/SimranFangirl/status/1161056763258527746
2019-08-12 23:06:45,FontaniliMarco,,0,1,2,"Last page of my ""Spider-Man"" short comic! #SpiderMan #SpiderManFarFromHome #Marvel #marvelcomics #art #artistsontwitter #comics #comicbookspic.twitter.com/kjwsGkPuWm",,,#SpiderMan #SpiderManFarFromHome #Marvel #marvelcomics #art #artistsontwitter #comics #comicbookspic,1161051422651293696,https://twitter.com/FontaniliMarco/status/1161051422651293696
2019-08-12 23:00:01,PapaJohns,,3,11,39,"If we could web-sling, we’d use our power to pull in pizza. Then maybe save the world or something. Scan our Snapcode to take the power into your own hands. And be sure to check out #SpiderManFarFromHome, now in theaters. pic.twitter.com/J6hg40kuD1",,,#SpiderManFarFromHome,1161049728462852096,https://twitter.com/PapaJohns/status/1161049728462852096
2019-08-12 22:57:38,LoreoftheCards,,1,0,5,"Finally saw #SpiderManFarFromHome tonight. Bloody great, couldn't ask for a better portrayal of my favourite #marvel villain #Mysterio",,,#SpiderManFarFromHome #marvel #Mysterio,1161049131613347840,https://twitter.com/LoreoftheCards/status/1161049131613347840
2019-08-12 22:54:54,thatshowidoughi,,0,0,1,"For Sale Signed https://rover.ebay.com/rover/0/0/0?mpre=https%3A%2F%2Fwww.ebay.com%2Fulk%2Fitm%2F303156323885 … #intothespiderverse #SpiderManDay #SpiderManFarFromHome #SpiderMan #art #comics #marvel #stanlee",,,#intothespiderverse #SpiderManDay #SpiderManFarFromHome #SpiderMan #art #comics #marvel #stanlee,1161048440270405637,https://twitter.com/thatshowidoughi/status/1161048440270405637
2019-08-12 22:45:08,THollandNews,,0,16,106,"Vote #SpiderManFarFromHome | 2019 Best of Summer Tournament: Vote for Your Favorite Movie https://www.eonline.com/au/shows/peoples_choice_awards/news/1063796/2019-best-of-summer-tournament-vote-for-the-movie-that-had-you-obsessed … via @EOnlineAU",,@EOnlineAU,#SpiderManFarFromHome,1161045985713426433,https://twitter.com/THollandNews/status/1161045985713426433
2019-08-12 22:36:54,FeelYo_ou,,0,0,1,"Just saw #SpiderManFarFromHome and I’m exided for the sequel. Really good movie. And it’s kind of funny that they put square from Liberec in the middle of Prague, but I’m okay with it cause it was such a good movie",,,#SpiderManFarFromHome,1161043910434705408,https://twitter.com/FeelYo_ou/status/1161043910434705408
2019-08-12 22:33:31,wtrobinson92,SpiderManMovie,0,0,0,"This would actually be awesome #SpiderManFarFromHome https://twitter.com/SpiderManMovie/status/1161041988658982912 …",,,#SpiderManFarFromHome,1161043059045388288,https://twitter.com/wtrobinson92/status/1161043059045388288
2019-08-12 22:01:58,DiscipleX1,Vince_Vizard89,0,0,0,"Beat me to it. This drone swarm definitely has shades of #SpiderManFarFromHome Cool film BTW.",,,#SpiderManFarFromHome,1161035122071756800,https://twitter.com/DiscipleX1/status/1161035122071756800
2019-08-12 21:53:42,jthdae,,1,0,2,"~ News, Tom Holland on his stories saying thank you to everyone who voted to him for the Teen Choice Awards 2019! Congratulations Tom, you deserve it so much! . #TomHolland #SpiderManFarFromHome #TeenChoiceAwards2019pic.twitter.com/ht6zP7uuj1",,,#TomHolland #SpiderManFarFromHome #TeenChoiceAwards2019pic,1161033040371625984,https://twitter.com/jthdae/status/1161033040371625984
2019-08-12 21:34:25,KaylaQuinn_9,,0,0,1,"Flash Thompson in #SpiderManFarFromHome looks like Michael Cera, but sounds like Jonah Hill. There. I said it. pic.twitter.com/18UhOkUR9i",,,#SpiderManFarFromHome,1161028187012390912,https://twitter.com/KaylaQuinn_9/status/1161028187012390912
2019-08-12 21:29:53,MovieBurners,,0,1,0,"MBE Box Office (UK) #FastAndFuriousPresentsHobbsAndShaw #TheLionKing #ToyStory4 #SpiderManFarFromHome #TheAngryBirdsMovie2 #Yesterday #CasinoRoyale #AnnabelleComesHome #HorribleHistoriesTheMovieRottenRomans #TheMagicFluteGlyndebourne2019 https://youtu.be/evhXJ_jmxfA pic.twitter.com/GfiqIgIll7",,,#FastAndFuriousPresentsHobbsAndShaw #TheLionKing #ToyStory4 #SpiderManFarFromHome #TheAngryBirdsMovie2 #Yesterday #CasinoRoyale #AnnabelleComesHome #HorribleHistoriesTheMovieRottenRomans #TheMagicFluteGlyndebourne2019,1161027047197741062,https://twitter.com/MovieBurners/status/1161027047197741062
2019-08-12 21:25:58,ZendayaSite,,0,2,5,"ICYMI: Photos: 2019 Teen Choice Awards -- see more photos at 'Zendaya Coleman Network' (a fansite supporting @Zendaya): https://zendayacoleman.net/2019/08/12/photos-2019-teen-choice-awards/ … Nearly 150 HQ photos have been added to the gallery. Enjoy! #Zendaya #TeenChoiceAwards #SpiderManFarFromHome #Euphoriapic.twitter.com/R2EI1R6VGF",,@Zendaya,#Zendaya #TeenChoiceAwards #SpiderManFarFromHome #Euphoriapic,1161026061359964160,https://twitter.com/ZendayaSite/status/1161026061359964160
2019-08-12 21:16:38,WAYSHAK,,0,1,5,"The new episode of Making Faces by Miles Ritchie is live on @YouTube This time he's making a portrait of The Amazing Spider-Man! Check it out! https://m.youtube.com/watch?feature=youtu.be&v=r7L-YjfSJr8 … #SpiderManFarFromHome #SpiderVerse #SpiderManpic.twitter.com/jpam9JnPUa",,@YouTube,#SpiderManFarFromHome #SpiderVerse #SpiderManpic,1161023713266896896,https://twitter.com/WAYSHAK/status/1161023713266896896
2019-08-12 21:13:59,TreacherousObs1,,0,1,1,"Watch part 4 here https://youtu.be/BwdrRX6_Av4 #spidey #spiderman #marvel #peterparker #tomholland #marvelcomics #spidermanhomecoming #avengers #mcu #spiderverse #comics #spidermanfarfromhome #cosplay #spidermancosplay #farfromhome #spidermanps #ps #avengersendgame #webhead #ironmanpic.twitter.com/4f5RcegnPp",,,#spidey #spiderman #marvel #peterparker #tomholland #marvelcomics #spidermanhomecoming #avengers #mcu #spiderverse #comics #spidermanfarfromhome #cosplay #spidermancosplay #farfromhome #spidermanps #ps #avengersendgame #webhead #ironmanpic,1161023045810737152,https://twitter.com/TreacherousObs1/status/1161023045810737152
2019-08-12 21:04:20,BSReviews2,,0,1,1,"2019 TOP Domestic Box Office(so far) 1) #AvengersEndgame -857M 2) #TheLionKing -473M 3) #CaptainMarvel -426M 4) #ToyStory4 -419M 5) #SpiderManFarFromHome -370M 6) #Aladdin -352M 7) #Us -175M 8) #JohnWick3 -170M 9) #HowtoTrainYourDragonTheHiddenWorld -160M 10) #TheSecretLifeofPets2 -156M",,,#AvengersEndgame #TheLionKing #CaptainMarvel #ToyStory4 #SpiderManFarFromHome #Aladdin #Us #JohnWick3 #HowtoTrainYourDragonTheHiddenWorld #TheSecretLifeofPets2,1161020617459736576,https://twitter.com/BSReviews2/status/1161020617459736576
