date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2017-07-27 23:57:27,kingprawnball,,0,0,0,"#SpiderManHomecoming is worth watching for @MichaelKeaton alone! What a beast!",,@MichaelKeaton,#SpiderManHomecoming,890722837463543808,https://twitter.com/kingprawnball/status/890722837463543808
2017-07-27 23:57:19,jenni104,,0,0,0,"@SpiderManMovie #SpiderManHomecoming #EnterToWin @OriginalFunko Pop! #Party String #Lights #Giveaway to celebrate! https://wn.nr/gKfE3t",,@SpiderManMovie @OriginalFunko,#SpiderManHomecoming #EnterToWin #Party #Lights #Giveaway,890722800155205633,https://twitter.com/jenni104/status/890722800155205633
2017-07-27 23:51:01,VicVic13_13,,0,0,0,"Totally love #SpiderManHomecoming but keep thinkng the whole Batman is fightng Spiderman, no wait! Beetlejuice is tryng 2 kill Spiderman",,,#SpiderManHomecoming,890721216704729089,https://twitter.com/VicVic13_13/status/890721216704729089
2017-07-27 23:43:16,DegenerateJay,OriginalFunko,0,0,2,"Ok well it's pretty much double confirmed I'm getting this. #FunkoPOP #Funko #SpiderManHomecoming #Marvelhttps://twitter.com/OriginalFunko/status/890648023700656128 …",,,#FunkoPOP #Funko #SpiderManHomecoming #Marvelhttps,890719267817213953,https://twitter.com/DegenerateJay/status/890719267817213953
2017-07-27 23:42:51,SteveStillStand,,0,0,0,"Spider-man: Homecoming. A Review. https://stevestillstanding.com/2017/07/27/spider-man-homecoming-a-review/ … #spidermanhomecoming #marvel #moviereview #spiderman",,,#spidermanhomecoming #marvel #moviereview #spiderman,890719159998234624,https://twitter.com/SteveStillStand/status/890719159998234624
2017-07-27 23:39:52,YBLTV,,0,0,0,"DIY @OriginalFunko has lots of cool @Marvel products! #EnterToWin our #Giveaway if you love #SpiderManHomecoming! http://wp.me/p6TW7J-98E pic.twitter.com/Jd23xxNR9e",,@OriginalFunko @Marvel,#EnterToWin #Giveaway #SpiderManHomecoming,890718411889750016,https://twitter.com/YBLTV/status/890718411889750016
2017-07-27 23:38:35,JanieImSorry,,0,2,2,"Hahahaha #SpiderManHomecoming #spiderman #TomHolland #AndrewGarfield #peterparker #Marvel #TobeyMaguire #amazingspidermanpic.twitter.com/UEMNcIZ7kW",,,#SpiderManHomecoming #spiderman #TomHolland #AndrewGarfield #peterparker #Marvel #TobeyMaguire #amazingspidermanpic,890718087279812608,https://twitter.com/JanieImSorry/status/890718087279812608
2017-07-27 23:38:24,TheBoxOfficeGuy,,0,0,1,"Wed BO: #Dunkirk $5.2 #GirlsTrip $3.2 #SpiderManHomecoming $2.8 #WarForThePlanet $2.1 #DespicableMe3 $1.9 #Valerian $1.4 #BabyDriver $823kpic.twitter.com/fcRqaTJmV4",,,#Dunkirk #GirlsTrip #SpiderManHomecoming #WarForThePlanet #DespicableMe3 #Valerian #BabyDriver,890718041243176960,https://twitter.com/TheBoxOfficeGuy/status/890718041243176960
2017-07-27 23:38:18,GothamTitan,,0,0,2,"Finally going to see #SpiderManHomecoming tonight before it leaves theaters tomorrow, yeah I'm know I'm super late lol",,,#SpiderManHomecoming,890718018032087040,https://twitter.com/GothamTitan/status/890718018032087040
2017-07-27 23:37:20,cxnstantnxthing,,0,0,0,"Forgot to post earlier lol but here is a page full of Spiderman Homecoming drawings #SpiderManHomecoming pic.twitter.com/hLNT9i8WJr",,,#SpiderManHomecoming,890717773340475392,https://twitter.com/cxnstantnxthing/status/890717773340475392
2017-07-27 23:36:48,gvanice,,0,0,0,"I just entered @AlertBot's contest to win a @RokuPlayer + @SpiderManMovie Prize Pack! http://win.alertbot.com #spidermanhomecoming",,@AlertBot @RokuPlayer @SpiderManMovie,#spidermanhomecoming,890717640125272064,https://twitter.com/gvanice/status/890717640125272064
