date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2017-08-17 23:50:18,ImThatDoug,,0,0,1,"OFFICIAL: Through 41 days domestic, #SpiderManHomecoming now beginning to track +ahead of SuicideSquad at the same point.",,,#SpiderManHomecoming,898331182378532864,https://twitter.com/ImThatDoug/status/898331182378532864
2017-08-17 23:48:49,hoopangel007,,0,0,2,"I was skeptical at first, but it was AMAZING! #TomHolland made an awesome Spiderman! #SpiderManHomecoming",,,#TomHolland #SpiderManHomecoming,898330806564683776,https://twitter.com/hoopangel007/status/898330806564683776
2017-08-17 23:46:47,IlluminatiCmx,,0,0,0,"RARE Ultimate Comics All-New #SpiderMan #1 Pichelli #Variant! #SpiderManHomecoming #MilesMorales #ComicBooks http://www.ebay.com/itm/-/162612054691?roken=cUgayN&soutkn=o5Omi1 …",,,#SpiderMan #1 #Variant #SpiderManHomecoming #MilesMorales #ComicBooks,898330298068287488,https://twitter.com/IlluminatiCmx/status/898330298068287488
2017-08-17 23:45:11,MyTrackingBoard,,0,1,2,"#SpiderManHomecoming scribes Jonathan Goldstein & @JohnFDaley tapped to adapt ""Vacation Guide to the Solar System"" http://bit.ly/2wkbrKy pic.twitter.com/qquvb9pojX",,@JohnFDaley,#SpiderManHomecoming,898329892600766465,https://twitter.com/MyTrackingBoard/status/898329892600766465
2017-08-17 23:39:35,YBLTV,,0,1,1,"FINAL DAYS! For all you #SpiderManHomecoming #movie #fans! #EnterToWin our @OriginalFunko Pop! #Giveaway! http://wp.me/p6TW7J-98E CELEBRATE!pic.twitter.com/qaYbjq1QM0",,@OriginalFunko,#SpiderManHomecoming #movie #fans #EnterToWin #Giveaway,898328483394240512,https://twitter.com/YBLTV/status/898328483394240512
2017-08-17 23:37:25,petenicholls_,,0,0,1,"ONE MORE TIME! Tonight's entertainment: #SpiderManHomecoming!! pic.twitter.com/yzExG1C2h7",,,#SpiderManHomecoming,898327937530814464,https://twitter.com/petenicholls_/status/898327937530814464
2017-08-17 23:33:47,craig_lindsay,,0,0,1,"#SpidermanHomecoming rocked my world.",,,#SpidermanHomecoming,898327025932353536,https://twitter.com/craig_lindsay/status/898327025932353536
2017-08-17 23:33:28,RingLady,,0,0,0,"@JohnFDaley just watched #SpidermanHomecoming again. Noticed your name. Good job. I now recognize the 'bones' of it",,@JohnFDaley,#SpidermanHomecoming,898326944214798336,https://twitter.com/RingLady/status/898326944214798336
2017-08-17 23:19:28,3BlackGeeks,,0,1,0,"#SpidermanHomecoming Spoiler Talk...Check it out! http://dld.bz/fUDgd pic.twitter.com/9Ge5DlVW7q",,,#SpidermanHomecoming,898323423914577924,https://twitter.com/3BlackGeeks/status/898323423914577924
2017-08-17 23:06:41,Marichka_Besse,,0,0,1,"#SpiderManHomecoming by Ichigo Takano! Unexpecting but so cool, I love it https://twitter.com/ichigo_takano/status/898167886786646016 …",,,#SpiderManHomecoming,898320206119919616,https://twitter.com/Marichka_Besse/status/898320206119919616
2017-08-17 23:04:10,Daphy1331,,0,2,13,"Me:*buys a pack of Spider-Man stickers at the dollar store* Mom: you're being childish Me: #TomHolland #SpiderManHomecoming pic.twitter.com/ewf3czgqNy",,,#TomHolland #SpiderManHomecoming,898319572268462080,https://twitter.com/Daphy1331/status/898319572268462080
2017-08-17 22:57:00,Moviefanatic10,PopCorn_Media,0,0,2,"That's hard! Uh, probably #SpiderManHomecoming, #GotGVol2, and Winter Soldier.",,,#SpiderManHomecoming #GotGVol2,898317768268722177,https://twitter.com/Moviefanatic10/status/898317768268722177
2017-08-17 22:34:31,GeekAWA,,0,3,2,"3rd gem of the week :) #SpiderMan #SpiderManHomecoming #marvel #funny #Memes #meme #avengers #comics #InfinityWarpic.twitter.com/8vVVMXtMIv",,,#SpiderMan #SpiderManHomecoming #marvel #funny #Memes #meme #avengers #comics #InfinityWarpic,898312108592422914,https://twitter.com/GeekAWA/status/898312108592422914
2017-08-17 22:29:59,sawilkinson14,,0,0,0,"I just entered @AlertBot's contest to win a @RokuPlayer + @SpiderManMovie Prize Pack! http://win.alertbot.com #spidermanhomecoming",,@AlertBot @RokuPlayer @SpiderManMovie,#spidermanhomecoming,898310970736427008,https://twitter.com/sawilkinson14/status/898310970736427008
2017-08-17 22:21:12,REBECCA3133,,0,0,3,"Got off work today with enough time to spare to be able to make the early showing for #SpiderManHomecoming so glad I finally went to see it! pic.twitter.com/tSUeK6bOWo",,,#SpiderManHomecoming,898308760266973184,https://twitter.com/REBECCA3133/status/898308760266973184
