date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2013-11-21 23:50:39,GabrielCarati,,0,0,0,"So finally I watched #Thor #TheDarkWorld, and only for saw @ZacharyLevi as #Fandral already paid off! I love all his performances!",,@ZacharyLevi,#Thor #TheDarkWorld #Fandral,403671831686557696,https://twitter.com/GabrielCarati/status/403671831686557696
2013-11-21 22:48:59,sandragough,UniMusicIreland,0,0,0,"@UniMusicIreland @DisneyMoviesIrl -Would love to see this most anticipated film. Fingers crossed and here's a wishing. #Thor #TheDarkWorld",,@UniMusicIreland @DisneyMoviesIrl,#Thor #TheDarkWorld,403656314573713408,https://twitter.com/sandragough/status/403656314573713408
2013-11-21 22:22:48,Garciayaffal,,0,0,0,"Photo: #Cinema #on #thorII #ThorTheDarkWorld #TheDarkWorld #distraction #eyes #me #face #lol #movie #cine... http://tmblr.co/ZhR6au-2rsnr",,,#Cinema #on #thorII #ThorTheDarkWorld #TheDarkWorld #distraction #eyes #me #face #lol #movie #cine,403649723917422592,https://twitter.com/Garciayaffal/status/403649723917422592
2013-11-21 22:07:23,Cetoria,,0,0,0,"Loki was my favorite #thor #thedarkworld",,,#thor #thedarkworld,403645845733928960,https://twitter.com/Cetoria/status/403645845733928960
2013-11-21 21:47:09,dannyearls16,,0,0,0,"M'lady @4theloveofjess as THORA!!!! #thor #thedarkworld #girlfran #girlfriend http://instagram.com/p/g_gV24tW4w/",,@4theloveofjess,#thor #thedarkworld #girlfran #girlfriend,403640752783507456,https://twitter.com/dannyearls16/status/403640752783507456
2013-11-21 20:35:02,Curlsandpigeons,,0,0,0,"Just seen #thedarkworld. SO GOOD",,,#thedarkworld,403622605590372352,https://twitter.com/Curlsandpigeons/status/403622605590372352
2013-11-21 20:03:37,PauseMovieNews,,0,0,1,"#TimMiller, who's attached to direct the long gestating #Deadpool film, created the prologue for #Thor #TheDarkWorld http://bit.ly/1jnxQWq",,,#TimMiller #Deadpool #Thor #TheDarkWorld,403614700182577152,https://twitter.com/PauseMovieNews/status/403614700182577152
2013-11-21 19:58:00,BoxOffice,,0,1,0,"THOR: THE DARK WORLD: $2.004M Wednesday / $152.04M Domestic Total / 3,841 Locations / $522 Location Avg. #Thor #TheDarkWorld",,,#Thor #TheDarkWorld,403613283317714944,https://twitter.com/BoxOffice/status/403613283317714944
2013-11-21 18:24:10,DerrickDeane,,0,0,0,"#Thor #TheDarkWorld has crossed the $500 million mark worldwide. #Marvel #money",,,#Thor #TheDarkWorld #Marvel #money,403589670694440960,https://twitter.com/DerrickDeane/status/403589670694440960
2013-11-21 16:37:59,ladymultifandom,,1,0,1,"Off to the cinema! Chris Hemsworth and Tom Hiddleston await me in #Thor2 #TheDarkWorld",,,#Thor2 #TheDarkWorld,403562949727768577,https://twitter.com/ladymultifandom/status/403562949727768577
2013-11-21 16:34:02,TanieredeCyber,,0,0,0,"#Thor : #TheDarkWorld - Dark Elf Mothership - #ConceptArt by @Atomhawk #marvel http://tmblr.co/Za5SFx-1DwhO",,@Atomhawk,#Thor #TheDarkWorld #ConceptArt #marvel,403561956826963968,https://twitter.com/TanieredeCyber/status/403561956826963968
2013-11-21 12:04:40,DoctorNvrmore,,0,0,0,"Video: Playing with new app… #Thor #TheDarkWorld… Need to fine tune it… Seen @dirtreynolds13 used it an... http://tmblr.co/Z8qFCx-0Os4r",,@dirtreynolds13,#Thor #TheDarkWorld,403494165751021568,https://twitter.com/DoctorNvrmore/status/403494165751021568
2013-11-21 07:16:15,KISSTHEV0ID,,1,0,0,"That's my #Thor shirt! #thortee #thorshirt #chrishemsworth #thedarkworld #drool http://instagram.com/p/g98pIKGOQD/",,,#Thor #thortee #thorshirt #chrishemsworth #thedarkworld #drool,403421582762467328,https://twitter.com/KISSTHEV0ID/status/403421582762467328
2013-11-21 07:12:31,JediMike1128,,0,0,0,"Check out my #THOR #TheDarkWorld 3.75"" Action Figure Review! https://www.youtube.com/watch?v=2nf68a9dNg8 … @ThorMovies @HasbroNews @Marvel #FilmakerMike",,@ThorMovies @HasbroNews @Marvel,#THOR #TheDarkWorld #FilmakerMike,403420642726256640,https://twitter.com/JediMike1128/status/403420642726256640
2013-11-21 06:10:51,happykidsinc,,0,0,0,"A Mom's review of Thor: The Dark World. Yep, I loved it! http://ow.ly/qTL3l #thor #avengers #thedarkworld #superheroes",,,#thor #avengers #thedarkworld #superheroes,403405127345659904,https://twitter.com/happykidsinc/status/403405127345659904
2013-11-21 05:18:35,halfhyny,,2,0,0,"Now that's betrayal of tha highest order. #lugi #thor #thedarkworld",,,#lugi #thor #thedarkworld,403391972653531136,https://twitter.com/halfhyny/status/403391972653531136
2013-11-21 04:53:02,r2d2grrl,,0,0,0,"#Loki, Loki everywhere.... #thor2 #thedarkworld #disneyland @AMC Downtown Disney 12 http://instagram.com/p/g9sPunt7sR/",,@AMC,#Loki #thor2 #thedarkworld #disneyland,403385543284621314,https://twitter.com/r2d2grrl/status/403385543284621314
2013-11-21 03:06:47,JustinGoulet21,,0,0,0,"I saw #Thor today and it was AWESOME! Just as awesome as this picture right hurr! #TheDarkWorld #ElDorado #Lokipic.twitter.com/gNJUO1dSxB",,,#Thor #TheDarkWorld #ElDorado #Lokipic,403358804907003904,https://twitter.com/JustinGoulet21/status/403358804907003904
2013-11-21 03:02:13,elvaldemort,,0,0,0,"My newest, and obviously coolest, cinema cup! :D #Thor #thedarkworld #marvel http://instagram.com/p/g9fbGlo7xn/",,,#Thor #thedarkworld #marvel,403357655650947072,https://twitter.com/elvaldemort/status/403357655650947072
2013-11-21 02:14:57,KYaeger,,0,0,0,"Finally got to see the new #Thor movie. it's awesome. #thedarkworld",,,#Thor #thedarkworld,403345757656190976,https://twitter.com/KYaeger/status/403345757656190976
2013-11-21 02:12:34,EnnyRiera,,0,0,0,"Finally I watched Thor #thedarkworld. It was amazing! #funny #action #loki #captainamerica http://instagram.com/p/g9ZxQ4D2gU/",,,#thedarkworld #funny #action #loki #captainamerica,403345158113988608,https://twitter.com/EnnyRiera/status/403345158113988608
2013-11-21 02:10:29,thewasofshall,,0,0,0,"I love that @Marvel knows it can air an @AgentsofSHIELD/ #Thor crossover less than two weeks after #TheDarkWorld came out.",,@Marvel @AgentsofSHIELD,#Thor #TheDarkWorld,403344634086031360,https://twitter.com/thewasofshall/status/403344634086031360
2013-11-21 01:18:16,AlexRespess,,0,0,1,"This is about to go down! #Thor #TheDarkWorld #Marvel #Avengers http://instagram.com/p/g9TycQmUXR/",,,#Thor #TheDarkWorld #Marvel #Avengers,403331493507760128,https://twitter.com/AlexRespess/status/403331493507760128
2013-11-20 22:51:43,DownTownukkk,,0,0,0,"@ThorMovies thanks for making perfect & incredible movies #1 movies ever especially #TheDarkWorld",,@ThorMovies,#1 #TheDarkWorld,403294613969973249,https://twitter.com/DownTownukkk/status/403294613969973249
2013-11-20 22:03:05,youlittlepoofer,,0,1,0,"My Thor looks really depressed #thor #thedarkworld http://instagram.com/p/g89YB1R7Qu/",,,#thor #thedarkworld,403282375045812224,https://twitter.com/youlittlepoofer/status/403282375045812224
2013-11-20 22:01:31,D_Christianson,,0,0,0,"It was a @Marvel Tuesday. I enjoyed #AgentsOfShield while my wife took our 3 oldest daughters to see #TheDarkWorld.",,@Marvel,#AgentsOfShield #TheDarkWorld,403281981825224704,https://twitter.com/D_Christianson/status/403281981825224704
2013-11-20 21:05:07,BankyArt,,0,1,0,"Inks!!! #thor #thedarkworld http://instagram.com/p/g820KziHOY/",,,#thor #thedarkworld,403267786790961154,https://twitter.com/BankyArt/status/403267786790961154
2013-11-20 21:03:25,Harri124,,0,0,0,"Going to ask for all things Thor for Christmas #favouriteMarvelCharacter #InLove #TheDarkWorld",,,#favouriteMarvelCharacter #InLove #TheDarkWorld,403267360179888128,https://twitter.com/Harri124/status/403267360179888128
2013-11-20 19:57:29,ChristineFryar,,0,0,0,"It's weird to drive a car different from your own... I feel like Thor on the dark elvs' ship... #Isaidhowhardcanitbe #thedarkworld",,,#Isaidhowhardcanitbe #thedarkworld,403250765596065792,https://twitter.com/ChristineFryar/status/403250765596065792
2013-11-20 19:09:50,potatoing,,0,0,0,"Seeing Thor with this biatch thebiggestsloth #doingtheashton #5sos #thor2 #thedarkworld @Cinema… http://instagram.com/p/g8pUTJFjod/",,@Cinema,#doingtheashton #5sos #thor2 #thedarkworld,403238776488869890,https://twitter.com/potatoing/status/403238776488869890
2013-11-20 19:06:59,Olla93,,0,0,0,"Thor #thedarkworld !! :D",,,#thedarkworld,403238059652947968,https://twitter.com/Olla93/status/403238059652947968
2013-11-20 18:34:23,aliawaiss,,0,0,0,"Such a flop movie THOR-2. #THOR #hollywood #thedarkworld",,,#THOR #hollywood #thedarkworld,403229853291651073,https://twitter.com/aliawaiss/status/403229853291651073
2013-11-20 17:29:06,ItsmeStacie,,0,0,0,"Oh Loki, you look good from there. #thor #thedarkworld #loki #tomhiddleston http://instagram.com/p/g8eCeLM5YS/",,,#thor #thedarkworld #loki #tomhiddleston,403213423640838144,https://twitter.com/ItsmeStacie/status/403213423640838144
2013-11-20 17:11:02,happykidsinc,,0,0,0,"A Mom's review of Thor: The Dark World. Yep, I loved it! http://ow.ly/qTKUY #thor #avengers #thedarkworld #superheroes",,,#thor #avengers #thedarkworld #superheroes,403208878013546496,https://twitter.com/happykidsinc/status/403208878013546496
2013-11-20 16:58:02,tjmont,CMortMA,1,0,1,"@whorepaldi Bad times for worthy cause though. Btw, loved #TheDarkWorld laughed-out-loud so much! Excellent movie.",,@whorepaldi,#TheDarkWorld,403205604720017409,https://twitter.com/tjmont/status/403205604720017409
2013-11-20 16:11:03,happykidsinc,,0,0,0,"A Mom's review of Thor: The Dark World. Yep, I loved it! http://ow.ly/qTL1L #thor #avengers #thedarkworld #superheroes",,,#thor #avengers #thedarkworld #superheroes,403193783824961537,https://twitter.com/happykidsinc/status/403193783824961537
2013-11-20 15:50:11,_ANNABELL_,,0,0,0,"#loki #thor OMG!!! :( T_T #thorki #tomhiddleston #tomhiddlestonthough #thedarkworld #theavengers… http://instagram.com/p/g8SXnLJPyj/",,,#loki #thor #thorki #tomhiddleston #tomhiddlestonthough #thedarkworld #theavengers,403188530073313280,https://twitter.com/_ANNABELL_/status/403188530073313280
2013-11-20 15:05:25,jhndryl,,0,0,0,"It's THORiffic Wednesday! #thor #thedarkworld #movies #theatre #video #TagsForLikes #movie #film… http://instagram.com/p/g8NWjBMysX/",,,#thor #thedarkworld #movies #theatre #video #TagsForLikes #movie #film,403177267851194369,https://twitter.com/jhndryl/status/403177267851194369
2013-11-20 13:58:20,leeeyahferil,,0,0,0,"#HungerGamesCatchingFire is showing tomorrow. And I haven't watched #Thor #TheDarkWorld yet :(",,,#HungerGamesCatchingFire #Thor #TheDarkWorld,403160382144929794,https://twitter.com/leeeyahferil/status/403160382144929794
2013-11-20 12:02:09,aldhiprtama,,0,1,0,"watch #TheDarkWorld of Thor w/ @yuliartn",,@yuliartn,#TheDarkWorld,403131144733876224,https://twitter.com/aldhiprtama/status/403131144733876224
2013-11-20 09:19:11,ShinnApocrypha,,0,0,0,"Finally this day has come! @ThorMovies #TheDarkWorld pic.twitter.com/7ZP4a9idiS",,@ThorMovies,#TheDarkWorld,403090134708412416,https://twitter.com/ShinnApocrypha/status/403090134708412416
2013-11-20 08:38:32,fatecomevipare,,0,0,0,"Thor 2 The Dark World: trailer e trama film Marvel in uscita oggi - http://spettacoli.blogosfere.it/2013/11/thor-2-the-dark-world-trailer-e-trama-del-film-marvel-in-uscita-oggi-al-cinema.html … via @blogosfere #thor #thedarkworld #marvel",,@blogosfere,#thor #thedarkworld #marvel,403079905274908672,https://twitter.com/fatecomevipare/status/403079905274908672
2013-11-20 08:01:08,imchristiankarl,,0,0,0,"Photo: Double stingers, huh. #amc #amctheatres #thor #thedarkworld #hollywoodrecords #marvel #disney... http://tmblr.co/ZI73px_w95Lb",,,#amc #amctheatres #thor #thedarkworld #hollywoodrecords #marvel #disney,403070489532588032,https://twitter.com/imchristiankarl/status/403070489532588032
2013-11-20 07:46:09,vdazzan,,0,1,1,"#Thor2 #TheDarkWorld also known as ""Loki is a badass motherfucker"".",,,#Thor2 #TheDarkWorld,403066720937447424,https://twitter.com/vdazzan/status/403066720937447424
2013-11-20 07:15:01,JediMike1128,,0,0,0,"OMG! Did THAT just really happen?!?!? Watch my @ThorMovies #TheDarkWorld SPOILERIFIC Movie Review! http://www.youtube.com/watch?v=XoqM_uQztuI … @Marvel #Thor",,@ThorMovies @Marvel,#TheDarkWorld #Thor,403058887433003008,https://twitter.com/JediMike1128/status/403058887433003008
2013-11-20 06:57:04,RhysParton,,0,0,0,"#Thor #TheDarkWorld's soundtrack is absolutely bloody awesome, I'm listening over & over again! Wanna do it with #AgentsofSHIELD's (hint...)",,,#Thor #TheDarkWorld #AgentsofSHIELD,403054368099823617,https://twitter.com/RhysParton/status/403054368099823617
2013-11-20 05:04:45,FanboyReporter,,0,0,0,"#AgentsOfSHIELD deals with the aftermath of #TheDarkWorld in tonght's episode ""The Well."" http://tmblr.co/ZIgE7r_vZXfX",,,#AgentsOfSHIELD #TheDarkWorld,403026104673665024,https://twitter.com/FanboyReporter/status/403026104673665024
2013-11-20 04:58:52,JacksonF_34,,0,0,0,"might go watch thor tonight, seems like a decent movie to see! #thedarkworld",,,#thedarkworld,403024621605113856,https://twitter.com/JacksonF_34/status/403024621605113856
2013-11-20 04:47:49,Laurie_Gandon,,0,0,0,"Such awesome mainstream movies made in the USA like that, I want more !!!!! #Thor #TheDarkWorld #Marvel",,,#Thor #TheDarkWorld #Marvel,403021841939197952,https://twitter.com/Laurie_Gandon/status/403021841939197952
2013-11-20 04:29:35,Iron_Lr,,0,0,0,"Okay, great tie-in episode to @ThorMovies #TheDarkWorld @AgentsofSHIELD Last moments were unexpected! @clarkgregg @IMBrettDalton @MingNa !!!",,@ThorMovies @AgentsofSHIELD @clarkgregg @IMBrettDalton @MingNa,#TheDarkWorld,403017254414999552,https://twitter.com/Iron_Lr/status/403017254414999552
2013-11-20 04:28:05,pollyprissypant,,0,0,2,"Loving the movie posters outside the main lobby right now. That is good trio. #thor #thedarkworld… http://instagram.com/p/g7DN4alV3o/",,,#thor #thedarkworld,403016874650501120,https://twitter.com/pollyprissypant/status/403016874650501120
2013-11-20 04:13:00,fanatixteam,,0,0,0,"You gotta love Loki. He made Thor the Dark World entertaining. #LokiLove #Loki #MarvelComics #Thor #TheDarkWorld #movie #fantasy #comics",,,#LokiLove #Loki #MarvelComics #Thor #TheDarkWorld #movie #fantasy #comics,403013080818274305,https://twitter.com/fanatixteam/status/403013080818274305
2013-11-20 04:04:53,fanatixteam,,0,0,0,"Who knew The Collector would be so androgynous. #Thor #TheDarkWorld #MarvelComics #TheCollector #movie #SciFi #fantasy #ComicBooks",,,#Thor #TheDarkWorld #MarvelComics #TheCollector #movie #SciFi #fantasy #ComicBooks,403011035637895169,https://twitter.com/fanatixteam/status/403011035637895169
2013-11-20 03:10:48,LRahuuul,,0,0,1,"They can't do that #Thor #TheDarkWorld",,,#Thor #TheDarkWorld,402997427634176000,https://twitter.com/LRahuuul/status/402997427634176000
2013-11-20 02:48:45,RoQstarrChellc,,0,0,0,"Thor is so hot #TheDarkWorld",,,#TheDarkWorld,402991875986296833,https://twitter.com/RoQstarrChellc/status/402991875986296833
2013-11-20 02:40:58,Tuxii10,,0,0,0,""" @VickyAlonzo13: Movie Time #TheDarkWorld @angelvalle15 @Tuxii10"" #Danny haha",,@VickyAlonzo13 @angelvalle15 @Tuxii10,#TheDarkWorld #Danny,402989918630469632,https://twitter.com/Tuxii10/status/402989918630469632
2013-11-20 02:01:14,MythicFletch,,0,0,0,"By the way, in case you were wondering, #Thor #TheDarkWorld is really, really enjoyable. Even better than the first.",,,#Thor #TheDarkWorld,402979921409998848,https://twitter.com/MythicFletch/status/402979921409998848
2013-11-20 01:59:39,CandissNicole,,0,0,0,"@ThorMovies Tonight's @AgentsofSHIELD episode makes me think of Loki's line: ""Trust My Rage"" in #TheDarkWorld",,@ThorMovies @AgentsofSHIELD,#TheDarkWorld,402979520874967040,https://twitter.com/CandissNicole/status/402979520874967040
2013-11-20 01:25:37,jdizzz9,,0,0,0,"I love all the ties to #thedarkworld on #agentsofshield tonight",,,#thedarkworld #agentsofshield,402970954344972288,https://twitter.com/jdizzz9/status/402970954344972288
2013-11-20 01:22:34,msargent,jasonpbriley,0,0,0,"“ @jasonpbriley: Nuff said! pic.twitter.com/9wuqcrleht” #Thor #TheDarkWorld #sightings",,@jasonpbriley,#Thor #TheDarkWorld #sightings,402970189815218178,https://twitter.com/msargent/status/402970189815218178
2013-11-20 01:10:35,justinlosacco,,0,0,0,"This is my first Tuesday not working since @AgentsofSHIELD started. Don't have to DVR it this week! Luckily I saw #TheDarkWorld on Friday.",,@AgentsofSHIELD,#TheDarkWorld,402967174887006208,https://twitter.com/justinlosacco/status/402967174887006208
2013-11-20 00:37:59,resistance0101,,0,0,0,"The special episode tonight of @AgentsofSHIELD which ties in with @ThorMovies #TheDarkWorld! Excited to watch!",,@AgentsofSHIELD @ThorMovies,#TheDarkWorld,402958968617574400,https://twitter.com/resistance0101/status/402958968617574400
2013-11-20 00:00:13,iamAndrewMay,,0,0,0,"Italian Premiere... Team Loki ! #teamloki #thor #thedarkworld #2013",,,#teamloki #thor #thedarkworld #2013,402949465247875072,https://twitter.com/iamAndrewMay/status/402949465247875072
2013-11-19 23:47:04,DJHOWARD1982,,0,2,0,"Will be going to see @ThorMovies #TheDarkWorld tomorrow at #BlaenavonCinema #SupportYourCinema",,@ThorMovies,#TheDarkWorld #BlaenavonCinema #SupportYourCinema,402946154356568064,https://twitter.com/DJHOWARD1982/status/402946154356568064
2013-11-19 23:41:04,koolmovies1,,0,0,0,"See the Fallout of #Thor: #TheDarkWorld in #New #AgentsofSHIELD #Clip http://ift.tt/1jgZIvB #marvel #marveltv #marvelmovie #marvelshow",,,#Thor #TheDarkWorld #New #AgentsofSHIELD #Clip #marvel #marveltv #marvelmovie #marvelshow,402944646617530368,https://twitter.com/koolmovies1/status/402944646617530368
2013-11-19 23:10:28,Flora_9110,,1,0,0,"#Thor #TheDarkWorld was absolutely AMAZING! Holy moly, definitely shed a few #nerdtears ...and OMG how… http://instagram.com/p/g6gMJUHhdH/",,,#Thor #TheDarkWorld #nerdtears,402936944587702272,https://twitter.com/Flora_9110/status/402936944587702272
2013-11-19 20:39:34,GeekyNerfherder,,1,0,1,"Just watched #Thor #TheDarkWorld. Not bad, felt a little like a #SciFi #LOTR though. All good. #Thor2… http://instagram.com/p/g6O7CaOvuU/",,,#Thor #TheDarkWorld #SciFi #LOTR #Thor2,402898970156216321,https://twitter.com/GeekyNerfherder/status/402898970156216321
2013-11-19 20:10:54,happykidsinc,,0,0,0,"A Mom's review of Thor: The Dark World. Yep, I loved it! http://ow.ly/qTL12 #thor #avengers #thedarkworld #superheroes",,,#thor #avengers #thedarkworld #superheroes,402891757383610368,https://twitter.com/happykidsinc/status/402891757383610368
2013-11-19 20:08:05,SundayGirl1991,,0,0,0,"Only saw #thedarkworld yesterday but already having Loki withdrawal symptoms. Something magical about seeing @twhiddleston bring him to life",,@twhiddleston,#thedarkworld,402891047468277760,https://twitter.com/SundayGirl1991/status/402891047468277760
2013-11-19 20:04:40,Sasha_Bartocci,,0,0,0,"Going to #thor #thedarkworld Italy #premiere @Marvel @ChrisHemswort12",,@Marvel @ChrisHemswort12,#thor #thedarkworld #premiere,402890188642209792,https://twitter.com/Sasha_Bartocci/status/402890188642209792
2013-11-19 19:49:29,Trini_Taurus,,0,0,0,"Gonna see #thor #thedarkworld again.",,,#thor #thedarkworld,402886365702275072,https://twitter.com/Trini_Taurus/status/402886365702275072
2013-11-19 18:20:12,JBJNovels,,0,0,2,"I'm exited to see #TheDarkWorld even more now! Can I be a fan of both Thor and Loki? :D http://bit.ly/17FO3q6 The artist is @derlaine.",,@derlaine,#TheDarkWorld,402863896999886848,https://twitter.com/JBJNovels/status/402863896999886848
2013-11-19 17:51:29,GeekyNerfherder,,0,0,1,"Another week, another day at the cinema. This week #Thor #TheDarkWorld @vuecinemas #TuesdaySaver #Thor2",,@vuecinemas,#Thor #TheDarkWorld #TuesdaySaver #Thor2,402856668708732928,https://twitter.com/GeekyNerfherder/status/402856668708732928
2013-11-19 17:06:48,SoyCarlosStark,,0,0,0,"Thor the dark world! #Thor #thorthedarkworld #movie #thedarkworld #odin #asgard #marvel #instagood… http://instagram.com/p/g52bHoTMB0/",,,#Thor #thorthedarkworld #movie #thedarkworld #odin #asgard #marvel #instagood,402845426409570305,https://twitter.com/SoyCarlosStark/status/402845426409570305
2013-11-19 16:07:31,LondonFilmRev,,0,0,0,"James gives us the low down on Thor: The Dark World http://wp.me/p2vR8U-6N9 #thor #marvel #thedarkworld",,,#thor #marvel #thedarkworld,402830504069566464,https://twitter.com/LondonFilmRev/status/402830504069566464
2013-11-19 14:59:03,LewisPavlovic,,0,0,0,"#Thor 2: #TheDarkWorld was very good. Actually added to the rare list of sequels that were better than the original.",,,#Thor #TheDarkWorld,402813275693658112,https://twitter.com/LewisPavlovic/status/402813275693658112
2013-11-19 13:12:25,gcfagan86,,0,0,0,"Definitely rate #Thor #TheDarkWorld great movie can't wait for the next one to be released.",,,#Thor #TheDarkWorld,402786440855052288,https://twitter.com/gcfagan86/status/402786440855052288
2013-11-19 12:58:43,_ANNABELL_,,0,0,0,"thorki lol #lol #funny #loki #tomhiddleston #thor #thorki #hiddlesworth #lokisarmy #thedarkworld… http://instagram.com/p/g5aFZaJP7N/",,,#lol #funny #loki #tomhiddleston #thor #thorki #hiddlesworth #lokisarmy #thedarkworld,402782992571334657,https://twitter.com/_ANNABELL_/status/402782992571334657
2013-11-19 10:56:10,ShinnApocrypha,,0,0,0,"-1 days @ThorMovies #TheDarkWorld",,@ThorMovies,#TheDarkWorld,402752150637277184,https://twitter.com/ShinnApocrypha/status/402752150637277184
