date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2013-12-19 23:25:35,HemsworthsFans,,1,12,12,"Another wee bit of #ChrisHemsworth news. Amazon have released the official dvd cover for #Thor #TheDarkWorld RT! pic.twitter.com/YZlO3bh22N",,,#ChrisHemsworth #Thor #TheDarkWorld,413812385229832192,https://twitter.com/HemsworthsFans/status/413812385229832192
2013-12-19 21:22:08,Votesaxon07,,0,0,0,"I review the #Thor #TheDarkWorld #Marvel Select figure in my latest video... http://youtu.be/bsDWcxnfdQY?a",,,#Thor #TheDarkWorld #Marvel,413781319743975424,https://twitter.com/Votesaxon07/status/413781319743975424
2013-12-19 18:31:13,comicbooklive,,0,0,0,"Latest #HISHE goes to #TheDarkWorld: http://youtu.be/cmhEg-nDGJA Warning contains #THORDarkWorld spoilers!",,,#HISHE #TheDarkWorld #THORDarkWorld,413738304040083456,https://twitter.com/comicbooklive/status/413738304040083456
2013-12-19 09:07:53,Ahmedinho7878,,0,1,0,"How Thor #TheDarkWorld Should Have Ended http://youtu.be/cmhEg-nDGJA #Marvel #BahrainCinema",,,#TheDarkWorld #Marvel #BahrainCinema,413596536439050240,https://twitter.com/Ahmedinho7878/status/413596536439050240
2013-12-19 03:44:33,hmbrtoguzman,,0,0,0,"Ha. Awesome. I really did hate Thor 2 though. How #Thor #TheDarkWorld Should Have Ended: http://youtu.be/cmhEg-nDGJA via @youtube #HISHE #movies",,@youtube,#Thor #TheDarkWorld #HISHE #movies,413515170275524608,https://twitter.com/hmbrtoguzman/status/413515170275524608
2013-12-19 00:42:56,CharredAznable,,0,0,0,"""You're blowing my mind, Lok!"" How #Thor #TheDarkWorld Should Have Ended #HISHE http://youtu.be/cmhEg-nDGJA",,,#Thor #TheDarkWorld #HISHE,413469464181477376,https://twitter.com/CharredAznable/status/413469464181477376
2013-12-18 22:25:55,curlyagnes,,0,0,0,"AfterThor with #Cabeki and my Irish cousin ilaria_mina #thor #thedarkworld #music #film #night… http://instagram.com/p/iFGSWAF8en/",,,#Cabeki #thor #thedarkworld #music #film #night,413434980573143040,https://twitter.com/curlyagnes/status/413434980573143040
2013-12-18 20:23:06,Channel019,,0,1,0,"Do you reckon on #TheDarkWorld #PeterEcc ever said ""I want to return to this scifi TV show for a special episode, what would you do Mr Eko?""",,,#TheDarkWorld #PeterEcc,413404071639281664,https://twitter.com/Channel019/status/413404071639281664
2013-12-18 20:22:25,Mmadikgale,,0,0,0,"#thedarkworld. So many ""Loki moments"". He is mosdef my kinda villain. #TomHiddleston",,,#thedarkworld #TomHiddleston,413403900155555841,https://twitter.com/Mmadikgale/status/413403900155555841
2013-12-18 07:51:40,1DATLHustler,,0,0,0,"Finally saw it #Thor #TheDarkWorld and was fangirling over Loki the entire time #Loki #Thor… http://instagram.com/p/iDhs6Utxgm/",,,#Thor #TheDarkWorld #Loki #Thor,413214967572471808,https://twitter.com/1DATLHustler/status/413214967572471808
