date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2011-08-04 22:24:47,iamlightbulb,,0,0,0,"Went to see #TheFirstAvenger tonight, was class! #CaptainAmerica #Marvel",,,#TheFirstAvenger #CaptainAmerica #Marvel,99244417252208640,https://twitter.com/iamlightbulb/status/99244417252208640
2011-08-04 20:14:46,GaganM92,,0,0,0,"Let's see what Captain America is saying!! #TheFirstAvenger",,,#TheFirstAvenger,99211698476552193,https://twitter.com/GaganM92/status/99211698476552193
2011-08-04 14:06:51,JohnMonaghan24,,0,0,0,"I am watching The First Avenger: Captain America http://bit.ly/efQ3Jv @GetGlue #TheFirstAvenger",,@GetGlue,#TheFirstAvenger,99119107563192320,https://twitter.com/JohnMonaghan24/status/99119107563192320
2011-08-04 13:55:14,AxelLoudgas,JetsSlim,1,0,0,"@Slim_SHA I'm jelous man, looks frickin awesome! #thefirstavenger the Avengers trailer is after the credits man",,@Slim_SHA,#thefirstavenger,99116183202177024,https://twitter.com/AxelLoudgas/status/99116183202177024
2011-08-04 13:49:12,iamlightbulb,,0,0,0,"Going to try and get round to seeing #CaptainAmerica today. Can't wait to see it any longer. #TheFirstAvenger.",,,#CaptainAmerica #TheFirstAvenger,99114666759958528,https://twitter.com/iamlightbulb/status/99114666759958528
2011-08-04 04:54:07,iamsugat,,0,0,0,"so can't watch #TheFirstAvenger movie #CaptainAmerica yesterday night due to ''TV reasons''",,,#TheFirstAvenger #CaptainAmerica,98980009439539200,https://twitter.com/iamsugat/status/98980009439539200
2011-08-03 20:01:24,tltrice40,,0,0,0,"Captain America #ThefirstAvenger",,,#ThefirstAvenger,98845943838945281,https://twitter.com/tltrice40/status/98845943838945281
2011-08-03 15:13:29,rihonni,,0,0,0,"Just watched #TheFirstAvenger. Stan Lee and Samuel L. Jackson are the best characters of the movie, seriously.",,,#TheFirstAvenger,98773487094730752,https://twitter.com/rihonni/status/98773487094730752
2011-08-03 05:44:10,TheColemonster,,0,0,0,"captain america was amazing!!! #thefirstavenger",,,#thefirstavenger,98630216125128705,https://twitter.com/TheColemonster/status/98630216125128705
2011-08-02 17:00:56,Talitatwoshoes,,2,0,0,"About to go and see #captainamerica #thefirstavenger but #ihate3D its crap. Movie better be worth ticket & another pair of nhs 3D glasses!",,,#captainamerica #thefirstavenger #ihate3D,98438141123362816,https://twitter.com/Talitatwoshoes/status/98438141123362816
2011-08-02 15:17:04,ellstar,,0,0,0,"Captain America, fuck yeah! A post proving I don't hate everything I see. Next up, Attack the Block. http://househippo.org/?p=522 #thefirstavenger",,,#thefirstavenger,98412002980007936,https://twitter.com/ellstar/status/98412002980007936
2011-08-02 11:49:30,_MuanJiguel,,0,0,0,"OK, I've read the comics, seen the old cartoons of it. Here's for the director of #TheFirstAvenger movie: CAPTAIN AMERICA DOESN'T USE A GUN.",,,#TheFirstAvenger,98359766946033664,https://twitter.com/_MuanJiguel/status/98359766946033664
