date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2011-06-16 23:50:43,m1k378,,0,0,0,"I am watching Thor w/20 others http://bit.ly/cIrnni @GetGlue #Thor",,@GetGlue,#Thor,81509035685314560,https://twitter.com/m1k378/status/81509035685314560
2011-06-16 23:39:17,Lyrical_Gangsta,,0,0,0,"He's a DOG! He has feelings too! ;D RT @Pinup6_2 @Lyrical_Gangsta @hansonmusic awww I know...they are such innocent creatures.... #THOR lol",,@Pinup6_2 @Lyrical_Gangsta @hansonmusic,#THOR,81506160427016194,https://twitter.com/Lyrical_Gangsta/status/81506160427016194
2011-06-16 23:38:59,RikerDonegal,,0,0,0,"#Thor 202 is epic stuff. In Asgard, Odin ponders the threads of his plotting while, on Earth, the series' many... http://fb.me/P9rZLOTL",,,#Thor,81506083763531776,https://twitter.com/RikerDonegal/status/81506083763531776
2011-06-16 23:26:21,NikiReagan,,0,0,0,"People are in the theatre with me. No live tweet updates of #Thor. Boo.",,,#Thor,81502907115110400,https://twitter.com/NikiReagan/status/81502907115110400
2011-06-16 23:21:59,NikiReagan,,1,0,0,"Since I'm the only person in the theatre, I might live tweet #Thor as it happens.",,,#Thor,81501806609432576,https://twitter.com/NikiReagan/status/81501806609432576
2011-06-16 23:19:42,LisaGangi,,0,0,0,"Sunshine, kid-laughter, my ipod: these gifts have been soothing my soul this week. #Thor",,,#Thor,81501229926191104,https://twitter.com/LisaGangi/status/81501229926191104
2011-06-16 23:15:09,mr_itger,,0,0,1,"Taking my 12yo brother to see. #Thor. ""What's on your face, nerd turd?"" You mean my Oliver Peoples hornrimmed literary slutgoggles? Ihateyou",,,#Thor,81500085363552257,https://twitter.com/mr_itger/status/81500085363552257
2011-06-16 23:12:36,carlacsp,,0,0,0,"the antagonist/s from last night's #greenlantern weirded me out a bit,there were some slow parts,cheesy lines... liked #thor better.",,,#greenlantern #thor,81499445971259393,https://twitter.com/carlacsp/status/81499445971259393
2011-06-16 23:11:54,twindy5,ScrappyFe,1,0,0,"@falisha What are you seeing? I still want to go to #Thor.",,@falisha,#Thor,81499268644470785,https://twitter.com/twindy5/status/81499268644470785
2011-06-16 23:06:31,UnknownPinson,,0,0,0,"I am watching Thor w/12 others http://bit.ly/jbiJYY @GetGlue #Thor",,@GetGlue,#Thor,81497912277872640,https://twitter.com/UnknownPinson/status/81497912277872640
2011-06-16 22:56:02,courtz08,,0,0,0,"X-Men: First Class was brilliant. And Magneto was yummy! Hmmm who would I pick in a #Thor vs #Magneto handsomeness battle",,,#Thor #Magneto,81495275587371009,https://twitter.com/courtz08/status/81495275587371009
2011-06-16 22:46:36,S_tage,,1,0,0,"finally, watching #Thor",,,#Thor,81492899803574272,https://twitter.com/S_tage/status/81492899803574272
2011-06-16 22:34:53,CEs_Mustache,,0,0,0,"Perfect. RT @paulidin RT @dduane: Absolutely charming: #Kermit and #Thor. And a bit more. http://bit.ly/j6m7z7",,@paulidin @dduane,#Kermit #Thor,81489953313394691,https://twitter.com/CEs_Mustache/status/81489953313394691
2011-06-16 22:08:48,southdat,,0,0,0,"Y aint nobody tell me #thor was the shit!!!",,,#thor,81483387642195968,https://twitter.com/southdat/status/81483387642195968
2011-06-16 22:04:50,asbernpyrate,,0,0,0,"The mortal,She searches for you...... #Thor",,,#Thor,81482388923875328,https://twitter.com/asbernpyrate/status/81482388923875328
2011-06-16 21:56:59,MarkJabroni,,0,0,0,"RT @EloiNation: How #THOR should of ended. LOL! http://bit.ly/lEoDYy",,@EloiNation,#THOR,81480415323492352,https://twitter.com/MarkJabroni/status/81480415323492352
2011-06-16 21:56:34,EloiNation,,0,0,1,"How #THOR should of ended. LOL! http://bit.ly/lEoDYy",,,#THOR,81480312357519360,https://twitter.com/EloiNation/status/81480312357519360
2011-06-16 21:53:27,CaptainCape,,0,0,0,"#Thor was actually a damn good movie! Not been this happily surprised in a long time. Fave: Heimdoll. Awesome, stoic, badass motherfucker!",,,#Thor,81479526323990528,https://twitter.com/CaptainCape/status/81479526323990528
2011-06-16 21:51:29,raisedbymoogles,,0,0,0,"RT @dduane Absolutely charming: #Kermit and #Thor. And a bit more. http://bit.ly/j6m7z7",,@dduane,#Kermit #Thor,81479032398548993,https://twitter.com/raisedbymoogles/status/81479032398548993
2011-06-16 21:48:24,dj_frijoles,,0,0,0,"Nothing like a day at walmart with @DannyMasino #Thor http://yfrog.com/kikn3kj",,@DannyMasino,#Thor,81478255982551041,https://twitter.com/dj_frijoles/status/81478255982551041
2011-06-16 21:44:08,paulidin,,0,0,0,"Started smiling, then laughed, then cried. <3 RT @dduane: Absolutely charming: #Kermit and #Thor. And a bit more. http://bit.ly/j6m7z7",,@dduane,#Kermit #Thor,81477183067009024,https://twitter.com/paulidin/status/81477183067009024
