date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2017-11-09 23:59:05,PittsburghNerd,,0,3,5,"This week we discuss #ThorRagnarok and where it fits in our rankings of Marvel movies #PodernFamily #PodEchohttps://buff.ly/2zqlD3P",,,#ThorRagnarok #PodernFamily #PodEchohttps,928773973424463872,https://twitter.com/PittsburghNerd/status/928773973424463872
2017-11-09 23:58:48,laurenshippen,,4,1,53,"Wait, was that ACTUALLY Matt Damon playing Actor Loki in #ThorRagnarok?!?! Oh my god, what a stunt casting. Amazing.",,,#ThorRagnarok,928773899856240640,https://twitter.com/laurenshippen/status/928773899856240640
2017-11-09 23:58:44,pkm1965,,0,0,0,"Enter to win a #marvel #ThorRagnarok Prize Pack worth $250+! #THBGiveaway #Giveaway #Thor #Loki https://www.fitdisneymom.com/thor-ragnarok-giveaway/ …",,,#marvel #ThorRagnarok #THBGiveaway #Giveaway #Thor #Loki,928773884526067713,https://twitter.com/pkm1965/status/928773884526067713
2017-11-09 23:58:25,JailinBalz,,0,0,0,"Watched the Thor; ragnarok today! I loved it so much. Rate it 10/10 #ThorRagnarok #MarvelStudios",,,#ThorRagnarok #MarvelStudios,928773803991236618,https://twitter.com/JailinBalz/status/928773803991236618
2017-11-09 23:57:50,MeBeforeMomBert,,0,5,2,"Buy all the THOR: RAGNAROK Things! Products my little THOR fan needs to have. #ThorRagnarok #ThorRagnarokEvent http://bit.ly/2AkhZsq",,,#ThorRagnarok #ThorRagnarokEvent,928773656125362183,https://twitter.com/MeBeforeMomBert/status/928773656125362183
2017-11-09 23:57:41,Patricia_vvf,,0,0,5,"#ThorRagnarok - Chris Hemsworth @thorofficialpic.twitter.com/GwUu5lXimN",,@thorofficialpic,#ThorRagnarok,928773621430083585,https://twitter.com/Patricia_vvf/status/928773621430083585
2017-11-09 23:57:29,danielpgrote,,0,0,1,"About to do a live chat @FarpointToys on FB talking #ThorRagnarok",,@FarpointToys,#ThorRagnarok,928773569399742466,https://twitter.com/danielpgrote/status/928773569399742466
2017-11-09 23:57:10,StaticRiftRadio,,0,2,3,"Tonight @Mitch_Hallock joins John to talk @ItsTerrifiCon #ThorRagnarok and all the lastest news in comic books and television pic.twitter.com/77Tuow4xvJ",,@Mitch_Hallock @ItsTerrifiCon,#ThorRagnarok,928773489238200320,https://twitter.com/StaticRiftRadio/status/928773489238200320
2017-11-09 23:56:56,_calzylicious,,2,0,2,"free tickets for #ThorRagnarok just for buying wine",,,#ThorRagnarok,928773432497590272,https://twitter.com/_calzylicious/status/928773432497590272
2017-11-09 23:56:41,ThatAshleyErin,BuzzFeed,0,0,0,"This is probably my favorite @BuzzFeed article ever #ThorRagnarok https://twitter.com/buzzfeed/status/927950091679346689 …",,@BuzzFeed,#ThorRagnarok,928773367158755328,https://twitter.com/ThatAshleyErin/status/928773367158755328
