Film,Release,week2,week3,week4,week5,week6
ironman2,2010-05-07,-0.59,-0.48,-0.27,-0.55,-0.42
thor,2011-05-06,-0.47,-0.55,-0.29,-0.56,-0.41
avengers,2012-05-04,-0.51,-0.43,-0.25,-0.49,-0.41
ironman3,2013-05-03,-0.58,-0.48,-0.38,-0.59,-0.31
thedarkworld,2013-11-08,-0.58,-0.52,-0.39,-0.51,-0.39
guardiansofthegalaxy,2014-08-01,-0.53,-0.42,-0.35,0.09,-0.48
ageofultron,2015-05-01,-0.59,-0.49,-0.34,-0.53,-0.41
antman,2015-07-17,-0.53,-0.48,-0.38,-0.33,-0.32
doctorstrange,2016-11-04,-0.51,-0.48,-0.4,-0.47,-0.29
guardiansofthegalaxy2,2017-05-05,-0.54,-0.44,-0.3,-0.56,-0.32
spidermanhomecoming,2017-07-07,-0.59,-0.47,-0.4,-0.33,-0.34
thorragnarok,2017-11-03,-0.54,-0.5,-0.4,-0.37,-0.35
blackpanther,2018-02-16,-0.51,-0.4,-0.33,-0.38,-0.3
infinitywar,2018-04-27,-0.56,-0.46,-0.52,-0.3,-0.44
antmanandwasp,2018-07-06,-0.57,-0.41,-0.45,-0.3,-0.38
captainmarvel,2019-03-08,-0.55,-0.48,-0.4,-0.42,-0.21
endgame,2019-04-26,-0.61,-0.57,-0.51,-0.34,-0.55
spidermanfarfromhome,2019-07-02,0.48,-0.49,-0.52,-0.4,-0.36
