date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-10-11 23:52:01,crimsong19,,1,0,2,"But I made relatively good time on weekly report & other emails, had a good veggie Chinese lunch & made it to a (comped) screening of #ParasiteMovie. Also had a nice chat with a NBC Page while waiting to (not) get into tonight's @allinwithchris. I'll be back, though ... #inners",,@allinwithchris,#ParasiteMovie #inners,1182806086014984192,https://twitter.com/crimsong19/status/1182806086014984192
2019-10-11 23:42:06,kleetampa,MattDentler,0,0,0,"Who needs a #film review? This kinda says it all. #ParasiteMovie https://twitter.com/MattDentler/status/1182686913133592576 …",,,#film #ParasiteMovie,1182803593579126785,https://twitter.com/kleetampa/status/1182803593579126785
2019-10-11 23:30:16,Lainey9S,,0,0,0,"Three best movies so far this year 1. #ParasiteMovie 2. #Joker 3. #OnceUponATimeInHollywoodpic.twitter.com/OyUh3wZ3v8",,,#ParasiteMovie #Joker #OnceUponATimeInHollywoodpic,1182800614759288833,https://twitter.com/Lainey9S/status/1182800614759288833
2019-10-11 23:30:14,MTimonez,quiethandfilms,0,0,0,"Amazing movie , I was gripped from start to finish . #ParasiteMovie",,,#ParasiteMovie,1182800605733117952,https://twitter.com/MTimonez/status/1182800605733117952
2019-10-11 23:28:59,adubats,TomiLaffly,0,0,3,"I want to see #ParasiteMovie https://twitter.com/TomiLaffly/status/1182633647293243393 …",,,#ParasiteMovie,1182800290145329152,https://twitter.com/adubats/status/1182800290145329152
2019-10-11 23:28:21,_PhongLe,,1,3,11,". @ParasiteMovie might just be the best film of the year. If it's playing near you, go out and see this masterful film this weekend. Even better if you go in blind. #Parasite #ParasiteMovie",,@ParasiteMovie,#Parasite #ParasiteMovie,1182800130581258242,https://twitter.com/_PhongLe/status/1182800130581258242
2019-10-11 23:27:07,dan_something,,0,2,6,"I went into #Parasite without knowing anything about it and was blown away. Most critics feel the same way. Yowza! --> http://bit.ly/324RBjE @ParasiteMovie #ParasiteMovie pic.twitter.com/AaczCK9kiZ",,@ParasiteMovie,#Parasite #ParasiteMovie,1182799820811059201,https://twitter.com/dan_something/status/1182799820811059201
2019-10-11 23:24:27,JustDeeSousa,,0,0,0,"Watching #ParasiteMovie and...this is so good!!!!",,,#ParasiteMovie,1182799151710588933,https://twitter.com/JustDeeSousa/status/1182799151710588933
2019-10-11 23:19:43,Lainey9S,,1,0,1,"Just saw #ParasiteMovie @#IFC...A Must See (if you can score a ticket) Class Struggle/Discrimination and Greed perpetrated by a family of Con Artists.Tightly woven direction by #BoonJongHo Winner of Palme d'Or at Cannes..only playing in NYC and L.A.https://youtu.be/isOGD_7hNIY",,@,#ParasiteMovie #IFC #BoonJongHo,1182797958129029120,https://twitter.com/Lainey9S/status/1182797958129029120
2019-10-11 23:17:08,BobDiddict,,0,0,0,"Hyped to see #ParasiteMovie this weekend. https://youtu.be/isOGD_7hNIY",,,#ParasiteMovie,1182797308158713856,https://twitter.com/BobDiddict/status/1182797308158713856
2019-10-11 23:15:55,madamyez,jadabird,0,0,0,"I am soooo eager to see this movie. #Parasite #ParasiteMovie https://twitter.com/jadabird/status/1182677149804830720 …",,,#Parasite #ParasiteMovie,1182797002280722433,https://twitter.com/madamyez/status/1182797002280722433
2019-10-11 22:41:54,baphometx,,0,3,1,"#ParasiteMovie - The director #BongJoonHo Reveals Five Films That Inspired His Masterpiece https://theplaylist.net/parasite-five-films-bong-joon-ho-20191011/ …pic.twitter.com/0WBEwCaa1z",,,#ParasiteMovie #BongJoonHo,1182788442306031616,https://twitter.com/baphometx/status/1182788442306031616
2019-10-11 22:39:08,cantw8tobeking,,1,0,0,"Parasite completely sold out in NYC @Gio_Insignares #ParasiteMovie",,@Gio_Insignares,#ParasiteMovie,1182787747267915777,https://twitter.com/cantw8tobeking/status/1182787747267915777
2019-10-11 21:59:48,NextBestPicture,,4,9,95,"At least one thing is right in this unjust world #ParasiteMovie #FilmTwitterpic.twitter.com/sor3xJ5iK3",,,#ParasiteMovie #FilmTwitterpic,1182777847708028928,https://twitter.com/NextBestPicture/status/1182777847708028928
2019-10-11 21:42:35,LSmeenk,,0,0,1,"#Parasite is now playing in select theaters. Go see if it's playing near you, or look up when it will be. Can't wait to see it again. #Bonghive @ParasiteMovie #parasitemovie #bongjoonho #bestpicture #imdeadlyseriouspic.twitter.com/KK1hdaKMNp",,@ParasiteMovie,#Parasite #Bonghive #parasitemovie #bongjoonho #bestpicture #imdeadlyseriouspic,1182773516803989504,https://twitter.com/LSmeenk/status/1182773516803989504
2019-10-11 21:26:23,jonathanwatches,laughmatician,1,0,0,"Same! I’ve heard Gemini Man is a mess! Parasite is only playing in LA & NYC this weekend! I can’t wait to watch it! It expands after that. It comes out near me October 25th in Austin, Texas. @drafthouse #ParasiteMovie",,@drafthouse,#ParasiteMovie,1182769436962578433,https://twitter.com/jonathanwatches/status/1182769436962578433
