date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-08-27 23:57:22,eatplayrock,,0,0,0,"Paul Rudd At The #AntMan Pre-Screening In New York City #sponsored - @eatplayrock http://tinyurl.com/q92ah5s",,@eatplayrock,#AntMan #sponsored,637051307673522176,https://twitter.com/eatplayrock/status/637051307673522176
2015-08-27 23:37:18,InformationMelt,,0,0,0,"#antman ""shrinks"" by ""stretching into other dimensions""? This is an awesome article. Check it out! http://www.wired.com/2015/07/ant-man-shrinks-by-stretching-into-other-dimensions/ …",,,#antman,637046259644174336,https://twitter.com/InformationMelt/status/637046259644174336
2015-08-27 23:25:15,beautyboxreport,,0,0,0,"#AntMan @Marvel @CollectorCorps Box Review @subboxreport #marvelcollectorcorps #comics http://www.subscriptionboxreport.com/2015/06/subscription-box-report-marvel.html …pic.twitter.com/62wGSqcaHY",,@Marvel @CollectorCorps @subboxreport,#AntMan #marvelcollectorcorps #comics,637043224775913473,https://twitter.com/beautyboxreport/status/637043224775913473
2015-08-27 23:19:38,TheBeardedUnion,beardoholic,0,0,0,"If you haven't seen #antman, do it. (spoiler alert) He doesn't have a beard in it....but we forgive him. https://twitter.com/beardoholic/status/636979517022597120 …",,,#antman,637041814340419584,https://twitter.com/TheBeardedUnion/status/637041814340419584
2015-08-27 23:11:59,Zer0_Superz,,0,0,1,"#Hawkeye has a new suit! So good! #CivilWar #AntMan pic.twitter.com/oOewAYNW72",,,#Hawkeye #CivilWar #AntMan,637039888769097728,https://twitter.com/Zer0_Superz/status/637039888769097728
2015-08-27 23:01:12,roinetworksllc,,0,0,0,"It takes a big man to apologize #AntMan pic.twitter.com/o8dRv6mpUd",,,#AntMan,637037173166993408,https://twitter.com/roinetworksllc/status/637037173166993408
2015-08-27 22:59:01,mrquick007,,0,1,1,"Yellowjacket catching a ride! #marveluniverse #marvelcomics #antman #yellowjacket #bugs #comics #art #inkpic.twitter.com/iHhj5YtWAC",,,#marveluniverse #marvelcomics #antman #yellowjacket #bugs #comics #art #inkpic,637036623474003968,https://twitter.com/mrquick007/status/637036623474003968
2015-08-27 22:51:01,SawyerSandlot,,0,1,1,"hey @TheRealStanLee how about a rt for my 4 yr old son! https://youtu.be/gSjViNfLnygthanks … sir! #Marvel #collectorcorps #AntMan #unboxing",,@TheRealStanLee,#Marvel #collectorcorps #AntMan #unboxing,637034610355011584,https://twitter.com/SawyerSandlot/status/637034610355011584
2015-08-27 22:46:53,THTeamLeader,,0,0,0,"Looks like all my favourite Marvel characters are #TeamCaptainAmerica so that was an easy decision. #CivilWar #hawkeye #AntMan #bucky #falcon",,,#TeamCaptainAmerica #CivilWar #hawkeye #AntMan #bucky #falcon,637033571635605504,https://twitter.com/THTeamLeader/status/637033571635605504
2015-08-27 22:45:32,SuperHeroStuff,,0,4,10,"Some kind soul was nice enough to put this online. Thank you good sir #Antman #Marvel http://bit.ly/1MYga7m pic.twitter.com/Pf5rlczTN0",,,#Antman #Marvel,637033229346807809,https://twitter.com/SuperHeroStuff/status/637033229346807809
