date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-07-19 22:20:00,RadioTimes,,0,2,5,"Evangeline Lilly confirms that the Wasp WILL be in Avengers 4 https://www.radiotimes.com/news/film/2018-07-19/avengers-4-the-wasp-confirmed-evangeline-lilly/ … #TheWasp #AntManAndTheWasp #AntManAndWasp pic.twitter.com/sk24ewRPaq",,,#TheWasp #AntManAndTheWasp #AntManAndWasp,1020070779050897409,https://twitter.com/RadioTimes/status/1020070779050897409
2018-07-19 21:30:09,difrango11,,1,0,1,"Really enjoyed #AntmanAndWasp though the Wife is mildly annoyed that I made her stick around for an ant playing drums",,,#AntmanAndWasp,1020058232302325763,https://twitter.com/difrango11/status/1020058232302325763
2018-07-19 21:15:38,sbhousewords,,0,0,1,"Movie night :) #AntManAndWasp",,,#AntManAndWasp,1020054581282320385,https://twitter.com/sbhousewords/status/1020054581282320385
2018-07-19 21:09:18,johnnycl44,,0,0,1,"#AntManAndWasp was so fresh! Been a while since I've enjoyed #MarvelStudios so much.",,,#AntManAndWasp #MarvelStudios,1020052988952444930,https://twitter.com/johnnycl44/status/1020052988952444930
2018-07-19 21:08:25,johnnycl44,,0,0,1,"Oh my gosh yes, kid size Paul Rudd. So good. #AntManAndWasp",,,#AntManAndWasp,1020052763449987072,https://twitter.com/johnnycl44/status/1020052763449987072
2018-07-19 19:45:24,Gho2t407,,0,0,0,"Hey guys I have a new episode of my podcast now available on #iTunes #Googleplay and iHeartradio with my #Review of #Marvel #Antmanandwasp and #Sicario2! Check it out! https://twitter.com/cki2017/status/1019389104121942016?s=21 …pic.twitter.com/MkyeM4GcI6",,,#iTunes #Googleplay #Review #Marvel #Antmanandwasp #Sicario2,1020031872942977025,https://twitter.com/Gho2t407/status/1020031872942977025
2018-07-19 19:37:45,Butternutgouach,,2,6,36,"Little early preview of the wasp gouache painting I did that I’ll be putting up for insta auction later on my instagram idk about you but @EvangelineLilly is by far one of my fave super heroes. Disney’s new fairy kicks butt! #TheWasp #AntManAndWasp pic.twitter.com/8l7xwdLnGm",,@EvangelineLilly,#TheWasp #AntManAndWasp,1020029948474642432,https://twitter.com/Butternutgouach/status/1020029948474642432
2018-07-19 19:14:38,Simply_ILona,,0,0,0,"Finally.. Mommy & Daughter day! #AntmanAndWasp @Amc Loews Theatre Mountainside Rt. 22 https://www.instagram.com/p/BlbLHjPHUlF1nxtdH4-0Yk20-c1XUzh6n_TJxE0/?utm_source=ig_twitter_share&igshid=1qsndv1f9nt68 …",,@Amc,#AntmanAndWasp,1020024129146109953,https://twitter.com/Simply_ILona/status/1020024129146109953
2018-07-19 18:48:03,Stuntgranny,,0,0,0,"Finally getting around to #AntmanAndWasp There are some upsides to the deal not going down this week",,,#AntmanAndWasp,1020017441865428996,https://twitter.com/Stuntgranny/status/1020017441865428996
2018-07-19 17:56:05,amandhayal,,0,0,0,"Just back to home after watching #AntManAndWasp . Good to go movie. Enjoyed. Have a great time. @wavecinemas thanks for cheaper tickets. Small feedback: please don't keep screen black into interval. We love watching trailers",,@wavecinemas,#AntManAndWasp,1020004363924672512,https://twitter.com/amandhayal/status/1020004363924672512
2018-07-19 17:43:58,AndorianIP,MarvelStudios,0,0,0,"And worth every second! #AntManAndWasp https://twitter.com/MarvelStudios/status/1019997800967360513 …",,,#AntManAndWasp,1020001314476969984,https://twitter.com/AndorianIP/status/1020001314476969984
2018-07-19 17:27:11,RadioTimes,,0,0,2,"#Avengers4 WILL include The Wasp after all #AntManAndWasp https://www.radiotimes.com/news/film/2018-07-19/avengers-4-the-wasp-confirmed-evangeline-lilly/ …pic.twitter.com/EVRoPuBVnj",,,#Avengers4 #AntManAndWasp,1019997089730834433,https://twitter.com/RadioTimes/status/1019997089730834433
2018-07-19 17:26:13,thecountdownpc,,5,5,8,"Okay, time to settle our argument in our latest Ep @http://goo.gl/AJ3uwL . What's YOUR perspective on #AntManAndWasp? #PodernFamily",,@http,#AntManAndWasp #PodernFamily,1019996848436596737,https://twitter.com/thecountdownpc/status/1019996848436596737
2018-07-19 17:07:05,Jerseyfamilyfun,,0,1,0,"The Ant-Man and the Wasp's Laurence Fishburne TV & Movie Star & Comic Book Geek - @Antman #NEW #AntManandWasp #AntManandtheWaspEvent #LaurenceFishburne http://bit.ly/2tWTEay pic.twitter.com/eIbysSQ3NX",,@Antman,#NEW #AntManandWasp #AntManandtheWaspEvent #LaurenceFishburne,1019992032545255424,https://twitter.com/Jerseyfamilyfun/status/1019992032545255424
2018-07-19 17:00:36,The_GWW,,1,6,24,"We all know who the best character in #AntManAndWasp was! Preorder The Wasp now from @hottoysofficial http://mf.tt/D1yRsh pic.twitter.com/i3ChXIUeQF",,@hottoysofficial,#AntManAndWasp,1019990398402514944,https://twitter.com/The_GWW/status/1019990398402514944
