date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2012-06-07 23:58:44,savannahhrama,,0,0,0,"My lunchbox is cooler than yours. #Avengers @Avengerspic.twitter.com/Aa1gm9nU",,@Avengerspic,#Avengers,210883515875725312,https://twitter.com/savannahhrama/status/210883515875725312
2012-06-07 23:54:39,PequenaHobbit,,0,0,0,"I'm thinking about Avengers http://bit.ly/KSkF2M @GetGlue #Avengers",,@GetGlue,#Avengers,210882493023399937,https://twitter.com/PequenaHobbit/status/210882493023399937
2012-06-07 23:54:32,Habituallylame,,1,0,0,"Just saw the #avengers for the fourth time.",,,#avengers,210882466687365121,https://twitter.com/Habituallylame/status/210882466687365121
2012-06-07 23:54:13,derprah,,0,0,0,"All we need is a banner #avengers @Avengers http://instagr.am/p/Ll4AVjorB4/",,@Avengers,#avengers,210882385942818817,https://twitter.com/derprah/status/210882385942818817
2012-06-07 23:51:22,whale__sharky,,1,1,0,"Got this today!! @Mruff221 @twhiddleston @chrisevans @_jeremyrenner_ #johansson #Hemsworth #RDJ @clarkgregg #Avengers pic.twitter.com/VA2OUjuM",,@Mruff221 @twhiddleston @chrisevans @_jeremyrenner_ @clarkgregg,#johansson #Hemsworth #RDJ #Avengers,210881665579483136,https://twitter.com/whale__sharky/status/210881665579483136
2012-06-07 23:50:19,madisonn_rene,,0,0,1,"Going to see the #avengers again!",,,#avengers,210881403825561602,https://twitter.com/madisonn_rene/status/210881403825561602
2012-06-07 23:49:59,ColorOfSilence_,,0,0,0,"I'm reading Hulk Smash Avengers (20 others checked-in) http://bit.ly/JurHXY @GetGlue #Avengers",,@GetGlue,#Avengers,210881322686754816,https://twitter.com/ColorOfSilence_/status/210881322686754816
2012-06-07 23:49:44,_MARCELO_PM,,0,0,0,"I'm reading Dark Avengers (178 others checked-in) http://bit.ly/KSkft9 @GetGlue #Avengers",,@GetGlue,#Avengers,210881256001515523,https://twitter.com/_MARCELO_PM/status/210881256001515523
2012-06-07 23:49:04,johnstayfresh,,0,0,0,"obsessed! #boss #avengers #hulk #hulksmash :D http://instagr.am/p/Ll3aGlr5r7/",,,#boss #avengers #hulk #hulksmash,210881090104201216,https://twitter.com/johnstayfresh/status/210881090104201216
2012-06-07 23:48:43,ColorOfSilence_,,0,0,0,"I'm reading Dark Avengers (178 others checked-in) http://bit.ly/KLWxQw @GetGlue #Avengers",,@GetGlue,#Avengers,210881003496026113,https://twitter.com/ColorOfSilence_/status/210881003496026113
2012-06-07 23:47:57,kngmerriweather,,0,0,0,"Watching #Avengers with my lil cuz",,,#Avengers,210880810121834499,https://twitter.com/kngmerriweather/status/210880810121834499
2012-06-07 23:47:12,Stormviking010,,0,0,0,"Soo I hope we can expect a bomb #Avengers video game... :) #fb",,,#Avengers #fb,210880619373277184,https://twitter.com/Stormviking010/status/210880619373277184
2012-06-07 23:47:10,Jazz_1225,,0,0,0,"#shoutouts to my only bathroom pic in my phone #avengers all day pic.twitter.com/oQwRnxzl",,,#shoutouts #avengers,210880597109911552,https://twitter.com/Jazz_1225/status/210880597109911552
2012-06-07 23:46:51,Jazz_1225,,0,0,0,"#shoutouts to my only bathroom pic in my phone #avengers all day pic.twitter.com/jV3VcthI",,,#shoutouts #avengers,210880520186372097,https://twitter.com/Jazz_1225/status/210880520186372097
2012-06-07 23:46:06,Jazz_1225,,0,0,0,"#shoutouts to my only bathroom pic in my phone #avengers all day pic.twitter.com/XH9Bp6jH",,,#shoutouts #avengers,210880309867196420,https://twitter.com/Jazz_1225/status/210880309867196420
2012-06-07 23:45:49,Jazz_1225,,0,1,0,"#shoutouts to my only bathroom pic in my phone #avengers all day pic.twitter.com/4evexk3e",,,#shoutouts #avengers,210880250635227137,https://twitter.com/Jazz_1225/status/210880250635227137
2012-06-07 23:45:35,DenjuGonzales,,0,0,0,"A #cool #wallpaper of #Wolverine working together with the #Avengers .. See it here: http://www.redgage.com/c-rhgdej",,,#cool #wallpaper #Wolverine #Avengers,210880211993116672,https://twitter.com/DenjuGonzales/status/210880211993116672
2012-06-07 23:44:46,MagicalBaker,,1,1,0,"Been wanting to see #Avengers again! Can't get enough Tony Stark ",,,#Avengers,210880006048595968,https://twitter.com/MagicalBaker/status/210880006048595968
