date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-03-01 23:59:38,FormerNewspaper,,2,2,8,"I’m going to see #BlackPanther tonight. Any suggestions on which civil rights organization I should donate to and how much is appropriate given the amount of time that has passed from opening weekend?",,,#BlackPanther,969361552913698816,https://twitter.com/FormerNewspaper/status/969361552913698816
2018-03-01 23:59:18,ginacharlesown,,0,0,0,"I want to see Black Panther again. It was that unforgettable. #BlackPanther",,,#BlackPanther,969361469547704320,https://twitter.com/ginacharlesown/status/969361469547704320
2018-03-01 23:59:17,LannahBanana_,FallonTonight,0,0,1,"Omg I love him Wakanda Forever!! RT @nikangel39: This is the coolest thing ever!! @LannahBanana_ your man giving people joy!! @chadwickboseman @FallonTonight @jimmyfallon #blackpanther https://twitter.com/fallontonight/status/969071212197396480 …",,@nikangel39 @LannahBanana_ @chadwickboseman @FallonTonight @jimmyfallon,#blackpanther,969361462870278148,https://twitter.com/LannahBanana_/status/969361462870278148
2018-03-01 23:59:06,terryacarter75,,0,0,3,"Black Panther was simply awesome! #BlackPanther",,,#BlackPanther,969361419358691328,https://twitter.com/terryacarter75/status/969361419358691328
2018-03-01 23:59:04,Tombenson1,,0,0,0,"The latest Media Shuffle! https://paper.li/Tombenson1/1345859931?edition_id=82b831d0-1dac-11e8-aae6-0cc47a0d1609 … #oscars #blackpanther",,,#oscars #blackpanther,969361409019703297,https://twitter.com/Tombenson1/status/969361409019703297
2018-03-01 23:59:01,SoapBoxMuse,IGN,0,0,0,"To ride the wave of #BlackPanther of course. https://twitter.com/IGN/status/969310069702606848 …",,,#BlackPanther,969361397909016576,https://twitter.com/SoapBoxMuse/status/969361397909016576
2018-03-01 23:59:01,najahcasimir,jennydeluxe,0,1,0,"Additional great news as I head to use my #MoviePass to see #BlackPanther for the 3rd time. https://twitter.com/jennydeluxe/status/969076836218089472 …",,,#MoviePass #BlackPanther,969361395333697536,https://twitter.com/najahcasimir/status/969361395333697536
2018-03-01 23:58:51,tonyj_19,,1,0,3,"Bruh I was in #BlackPanther, and a white lady just said “this movie is very Afro-centric”",,,#BlackPanther,969361353394724864,https://twitter.com/tonyj_19/status/969361353394724864
2018-03-01 23:58:47,niiprymez,,0,0,0,"Kente represented in the wakanda distin #blackpanther #wakandaforever",,,#blackpanther #wakandaforever,969361335921324033,https://twitter.com/niiprymez/status/969361335921324033
2018-03-01 23:58:26,LeeSheilaa,,0,0,3,"2nd round of #BlackPanther this weekend!",,,#BlackPanther,969361250785349633,https://twitter.com/LeeSheilaa/status/969361250785349633
2018-03-01 23:58:25,HoneyBeeCMNDR,,4,0,54,"Watching #BlackPanther right now! I think I've waited long enough",,,#BlackPanther,969361245630590976,https://twitter.com/HoneyBeeCMNDR/status/969361245630590976
2018-03-01 23:58:13,VonDecarlo,,0,0,2,"Did you listen to my #BlackPanther review yet? #MichaelBJordan #SkittlesPox #TasteTheRainbow… https://www.instagram.com/p/Bfy8RNalp3j/",,,#BlackPanther #MichaelBJordan #SkittlesPox #TasteTheRainbow,969361197060378624,https://twitter.com/VonDecarlo/status/969361197060378624
2018-03-01 23:58:03,RachelChoto,jimmyfallon,0,0,0,"I’ve never cried so much at press tour and promotion for a movie. I hav no problem with this. #blackpanther https://twitter.com/jimmyfallon/status/969209331819384832 …",,,#blackpanther,969361155406823425,https://twitter.com/RachelChoto/status/969361155406823425
2018-03-01 23:57:23,scottcdanielson,,0,0,0,"Scott's Self-Indulgent Movie Podcast Episode 8: #BlackPanther with Jumario Simmons #WakandaForever …https://scottsself-indulgentmoviereviewblog.blogspot.com/2018/03/episode-8-black-panther-with-jumario.html …",,,#BlackPanther #WakandaForever,969360983855689729,https://twitter.com/scottcdanielson/status/969360983855689729
2018-03-01 23:57:03,DaynaJai,itsgabrielleu,0,0,0,"ITA. The inner group conflict was troubling. Was especially disturbed by the elder generation(s) who abandoned their own family & global race. The new king has an enormous remediation challenge. #BlackPanther",,,#BlackPanther,969360902460985345,https://twitter.com/DaynaJai/status/969360902460985345
2018-03-01 23:56:57,CEODavidH,,0,0,0,"#BlackPanther WAS FIRST.. #AWrinkleInTime IS NEXT!! IN THEATERS MARCH 9! Oprah is back!! #Oprah2020 http://movies.disney.com/a-wrinkle-in-time …",,,#BlackPanther #AWrinkleInTime #Oprah2020,969360878037594112,https://twitter.com/CEODavidH/status/969360878037594112
2018-03-01 23:56:46,cjkel,chadwickboseman,0,0,1,"Black Panther fans, this is worth seeing! #BlackPanther #JimmyFallonhttps://twitter.com/chadwickboseman/status/969171356783955968 …",,,#BlackPanther #JimmyFallonhttps,969360830243405825,https://twitter.com/cjkel/status/969360830243405825
2018-03-01 23:56:44,AERMontclair,,0,0,6,"We don't know about you, but these are our top 4 Marvel movies. What's your absolute favorite Marvel movie? Did we forget your fave? #AmazingEscapeRoom #Montclair #GoodTimes #EscapeRoom #Marvel #MCU #CaptainAmerica #CATWS #ThorRagnarok #GuardiansOfTheGalaxy #Thor #BlackPanther",,,#AmazingEscapeRoom #Montclair #GoodTimes #EscapeRoom #Marvel #MCU #CaptainAmerica #CATWS #ThorRagnarok #GuardiansOfTheGalaxy #Thor #BlackPanther,969360821276069888,https://twitter.com/AERMontclair/status/969360821276069888
2018-03-01 23:56:28,sassyhalsteadx,,0,0,0,"Finally watched #BlackPanther and it was AMAZING!!! Loved it!!",,,#BlackPanther,969360754158661632,https://twitter.com/sassyhalsteadx/status/969360754158661632
2018-03-01 23:56:24,Freak_Boy186,Avengers,0,1,2,"Good news: #InfinityWar is coming one week early! Bad news: my timeline as been ruined. Good news: I already saw #BlackPanther, so I'm already a week ahead! #WakandaForeverpic.twitter.com/z8Vwjin7f9",,,#InfinityWar #BlackPanther #WakandaForeverpic,969360737926696960,https://twitter.com/Freak_Boy186/status/969360737926696960
2018-03-01 23:56:19,JoKwonnection,FallonTonight,0,0,0,"THAT WAS TOTALLY AWESOME #BlackPanther https://twitter.com/fallontonight/status/969071212197396480 …",,,#BlackPanther,969360715243929600,https://twitter.com/JoKwonnection/status/969360715243929600
2018-03-01 23:56:13,ImYesify,,0,0,0,"Going to watch black panther movie tonight dressed in black lol. #BlackPanther",,,#BlackPanther,969360691860770816,https://twitter.com/ImYesify/status/969360691860770816
2018-03-01 23:56:01,RolandoMolina71,,0,0,0,"Feeling my new t-shirt. #BlackPanther @Los Angeles, California https://www.instagram.com/p/BfzL_CVHfRadQFcrtWdx0JeB3zC7Qig9UskbGI0/ …",,@Los,#BlackPanther,969360641294307330,https://twitter.com/RolandoMolina71/status/969360641294307330
2018-03-01 23:56:00,ReelinRealPod,,0,0,0,"What If Everyone Dressed Up Like A Cat? #BlackPanther #Marvel #iTunes: https://itunes.apple.com/us/podcast/what-if-everyone-dressed-up-like-a-cat/id1149642274?i=1000402407136&mt=2 … #Podbean: https://reelinrealpod.podbean.com/e/what-if-everyone-dressed-up-like-a-cat/ … #Soundcloud: https://soundcloud.com/reelinrealpod/what-if-everyone-dressed-up-like-a-cat …",,,#BlackPanther #Marvel #iTunes #Podbean #Soundcloud,969360637016014849,https://twitter.com/ReelinRealPod/status/969360637016014849
2018-03-01 23:54:56,BeatFassbender,,0,16,43,"""We spent a long time hugging. And we did a lot of dancing. We partied hard. It was really great."" - #LupitaNyongo on filming ""12 Years A Slave"" with #MichaelFassbender (2015) Happy birthday to the beautiful and talented Lupita! #BlackPanther #Xmenpic.twitter.com/kxqOsrbQKD",,,#LupitaNyongo #MichaelFassbender #BlackPanther #Xmenpic,969360370027630592,https://twitter.com/BeatFassbender/status/969360370027630592
2018-03-01 23:54:50,MrBuckley98,,0,0,0,"That first post credits scene... Damn. #BlackPanther",,,#BlackPanther,969360344228487169,https://twitter.com/MrBuckley98/status/969360344228487169
2018-03-01 23:54:45,YorkRice,,0,0,0,"Shout out to @BarackObama for being the first #BlackPanther Winning the presidency and becoming the first black president helped millions of black children see someone who looked like them in media in the biggest seat in America #ThankYoupic.twitter.com/Yt0yRR68RH",,@BarackObama,#BlackPanther #ThankYoupic,969360321436700672,https://twitter.com/YorkRice/status/969360321436700672
2018-03-01 23:54:42,Team_PeterKash,,0,0,4,"We're here! What an awesome theatre. VIP is the way to go! #blackpanther #freemovie… https://www.instagram.com/p/BfzL3e6nX_i/",,,#blackpanther #freemovie,969360311508783105,https://twitter.com/Team_PeterKash/status/969360311508783105
2018-03-01 23:54:29,jazzyokami,,0,0,3,"A quick painting I did of @chadwickboseman ! #wakandaforver #fanart #artist #blackpanther #chadwickboseman #illustration #disney #marvel #drawingpic.twitter.com/hC4hosChGc",,@chadwickboseman,#wakandaforver #fanart #artist #blackpanther #chadwickboseman #illustration #disney #marvel #drawingpic,969360257842544641,https://twitter.com/jazzyokami/status/969360257842544641
