date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-03-15 23:58:53,Erick_Dv,,0,0,2,"Princess Made with crayola brand colored pencils #Shuri #BlackPanther #Marvel #LetitiaWright #Drawing #Portrait #coloredpencil #Crayola @letitiawright http://ift.tt/2Gv9oq8 pic.twitter.com/63XZ8tvFEs",,@letitiawright,#Shuri #BlackPanther #Marvel #LetitiaWright #Drawing #Portrait #coloredpencil #Crayola,974434794946924544,https://twitter.com/Erick_Dv/status/974434794946924544
2018-03-15 23:58:48,Erick_Dv,,0,0,0,"Princess Made with crayola brand colored pencils #Shuri #BlackPanther #Marvel #LetitiaWright… https://www.instagram.com/p/BgXPfRJFp6Y/",,,#Shuri #BlackPanther #Marvel #LetitiaWright,974434774143074305,https://twitter.com/Erick_Dv/status/974434774143074305
2018-03-15 23:58:26,UnlockYoPhone,,0,0,0,"""I NEVER freeze"" -King T'Challa #BlackPanther #Marvel #WakandaForever #SpokenHearteD #WYAL… https://www.instagram.com/p/BgXPSqyAtbw/",,,#BlackPanther #Marvel #WakandaForever #SpokenHearteD #WYAL,974434679964172289,https://twitter.com/UnlockYoPhone/status/974434679964172289
2018-03-15 23:58:10,orangeismedia,,0,0,0,"Heyyyyy Auntie #blackpanther #blackpantherchallenge #killmonger #angelabassett https://www.instagram.com/p/BgXPWKkA4v6/",,,#blackpanther #blackpantherchallenge #killmonger #angelabassett,974434611081240578,https://twitter.com/orangeismedia/status/974434611081240578
2018-03-15 23:57:03,Brorob27,,0,0,2,"It wasn't easy with the designs, but it's finished. #BlackPanther pic.twitter.com/sk2kxYDgnu",,,#BlackPanther,974434333749661696,https://twitter.com/Brorob27/status/974434333749661696
2018-03-15 23:56:48,chrstnalxndra,,0,0,0,"Catching up on @ThisIsTheRead and @crissles and I had the same assessment of Nakia. Literally the unsung hero of #blackpanther. I know @michaelb4jordan aka Erik K. is ZADDY but @Lupita_Nyongo was the most logical character in the movie. The medium between two different kings.pic.twitter.com/1Uf3J8uzTF",,@ThisIsTheRead @crissles @michaelb4jordan @Lupita_Nyongo,#blackpanther,974434270289653760,https://twitter.com/chrstnalxndra/status/974434270289653760
2018-03-15 23:56:38,MsTiTiTalks,,0,0,0,"The homie @zulusoul1 is killing this shit out here!! #BlackPanther #WakandaForever #Killmonger #BlackExcellence #BlackPantherMovie #BlackArt #Blackartists #Africa @michaelb4jordanpic.twitter.com/CUjpMMLqnh",,@zulusoul1 @michaelb4jordanpic,#BlackPanther #WakandaForever #Killmonger #BlackExcellence #BlackPantherMovie #BlackArt #Blackartists #Africa,974434228178956288,https://twitter.com/MsTiTiTalks/status/974434228178956288
2018-03-15 23:56:13,MouthShut_com,,0,0,0,"5/5 #Review on #BlackPanther by Balia1996 https://www.mouthshut.com/review/Black-Panther-review-rtmssllslqn …",,,#Review #BlackPanther,974434122881028098,https://twitter.com/MouthShut_com/status/974434122881028098
2018-03-15 23:56:13,pathoulihan,,1,2,11,"@MrJayWashington Just watched #BlackPanther for the first time and it was..... pic.twitter.com/pKqzPjFJNk",,@MrJayWashington,#BlackPanther,974434120297271296,https://twitter.com/pathoulihan/status/974434120297271296
2018-03-15 23:55:57,alissa_mj_,,1,0,0,"""But those resources are still there, and as an African, I'm basically here to do all I can to get [Africa] to be seen in the right way, and ultimately come to a place whereby it is the best it can be. #BlackPanther is a beautiful depiction of how I see that continent.""",,,#BlackPanther,974434053171511296,https://twitter.com/alissa_mj_/status/974434053171511296
