date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-03-21 23:59:23,marcusaroberts,ScreenJunkiesU,0,0,0,"Most geeks are good. Most nerds are nice. Some sadly are not - as the #CaptainMarvel sexism has shown. @MurrellDan here gives a full-on take-down of #FakeNews against Thanos’s biggest threathttps://twitter.com/ScreenJunkiesU/status/1107817810002997248 …",,@MurrellDan,#CaptainMarvel #FakeNews,1108880816329973760,https://twitter.com/marcusaroberts/status/1108880816329973760
2019-03-21 23:58:14,ericnfuhs,,0,0,0,"About to watch Captain Marvel. #marvel #captainmarvel https://www.instagram.com/ericfuhs/p/BvSiV2mDLbg/?utm_source=ig_twitter_share&igshid=mimtf5c2mhx7 …",,,#marvel #captainmarvel,1108880526256078854,https://twitter.com/ericnfuhs/status/1108880526256078854
2019-03-21 23:58:12,p3comic,,0,0,2,"#captainmarvel work In progress. #marvel #marvelfanart #captainmarvelfanart #fanart #artistsoninstagram #artofinstagram #caroldanvers #digitalart #digitalink #workinprogress… https://www.instagram.com/inkycharland/p/BvSiVsvlimi/?utm_source=ig_twitter_share&igshid=b6v40z0xuu6d …",,,#captainmarvel #marvel #marvelfanart #captainmarvelfanart #fanart #artistsoninstagram #artofinstagram #caroldanvers #digitalart #digitalink #workinprogress,1108880518609690624,https://twitter.com/p3comic/status/1108880518609690624
2019-03-21 23:57:45,Ledesma_Gomz,dennishegstad,0,0,0,"Hey there #CaptainMarvel @brielarsonhttps://twitter.com/dennishegstad/status/1108556301947174912 …",,@brielarsonhttps,#CaptainMarvel,1108880407192391680,https://twitter.com/Ledesma_Gomz/status/1108880407192391680
2019-03-21 23:55:08,timooee,,0,1,5,"Hey hey it's Captain Marvel! #captainmarvel #AvengersEndgame #marvelcomics #MarvelCinematicUniverse @brielarsonpic.twitter.com/PqDPx5fAsH",,@brielarsonpic,#captainmarvel #AvengersEndgame #marvelcomics #MarvelCinematicUniverse,1108879746920841216,https://twitter.com/timooee/status/1108879746920841216
2019-03-21 23:52:32,ShadowBat115,,1,1,1,"oh my god! oh my god! oh my god! oh my god! IS THIS THE REAL LIFE?? #CaptainMarvel⁠ ⁠ #Thor #Marvel #PhaseFour #OMG #Valkyrie #BlackPantherpic.twitter.com/OvK15YjZGO",,,#CaptainMarvel #Thor #Marvel #PhaseFour #OMG #Valkyrie #BlackPantherpic,1108879094815440897,https://twitter.com/ShadowBat115/status/1108879094815440897
2019-03-21 23:50:55,UniKokoro,,0,0,2,"#HigherFurtherFaster #inRealD3D! #CaptainMarvel viewing number 2, on a day I saw it twice! First, I saw #CarolDanvers take full flight of her powers in @RealD3D! #BrieLarson #NickFury #SamuelLJackson #GooseTheCat @CaptainMarvel @MarvelStudiospic.twitter.com/dFRJwgaFQb",,@RealD3D @CaptainMarvel @MarvelStudiospic,#HigherFurtherFaster #inRealD3D #CaptainMarvel #CarolDanvers #BrieLarson #NickFury #SamuelLJackson #GooseTheCat,1108878687838048260,https://twitter.com/UniKokoro/status/1108878687838048260
2019-03-21 23:50:51,musicmaintenant,,0,0,0,"billboard: Two '90s classics featured in #CaptainMarvel leap in sales &amp; streams following film's premiere… https://twitter.com/i/web/status/1108878470753460224 …",,,#CaptainMarvel,1108878668661735424,https://twitter.com/musicmaintenant/status/1108878668661735424
2019-03-21 23:50:04,billboard,,1,28,302,"Two '90s classics featured in #CaptainMarvel leap in sales & streams following film's premiere https://blbrd.cm/AQ4alF pic.twitter.com/ABjJyB4uLz",,,#CaptainMarvel,1108878470753460224,https://twitter.com/billboard/status/1108878470753460224
2019-03-21 23:49:57,myway070,,0,0,0,"I want to #win a @captainmarvel Prize Pack from @Lovesmytwoboys. Thx for #CaptainMarvel #giveaway!https://www.myboysandtheirtoys.com/superhero-women-tips-captain-marvel/ …",,@captainmarvel @Lovesmytwoboys,#win #CaptainMarvel #giveaway,1108878441569374209,https://twitter.com/myway070/status/1108878441569374209
