date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-04-11 23:59:43,DannyToy23,,0,0,0,"The @ShazamMovie was great. However, #Shazam should not be his name; he needs a new name. I will continue to call him #CaptainMarvel. @ZacharyLevi @ponysmasher",,@ShazamMovie @ZacharyLevi @ponysmasher,#Shazam #CaptainMarvel,1116491045288710144,https://twitter.com/DannyToy23/status/1116491045288710144
2019-04-11 23:59:07,TheTayCarrott,,1,1,1,"@OriginalFunko thank you so much for our new Flerken! We introduced him to our resident Flerken to make him feel better! Jonesy the cat, meet Goose the Flerken! @captainmarvel #CaptainMarvel @brielarson #GooseTheCat #flerkenpic.twitter.com/ngZOzav7NC",,@OriginalFunko @captainmarvel @brielarson,#CaptainMarvel #GooseTheCat #flerkenpic,1116490896130756608,https://twitter.com/TheTayCarrott/status/1116490896130756608
2019-04-11 23:56:54,POPMYFLASH,,0,0,0,"Folks seem to be inspired by Captain Marvel in the new Shazam movie. Found more new art. #superhero #dccomics #shazam #billybatson #gaygeek #captainmarvel #comicbooks https://www.instagram.com/p/BwIm4lplziL/?utm_source=ig_twitter_share&igshid=flvei4g9xruy …",,,#superhero #dccomics #shazam #billybatson #gaygeek #captainmarvel #comicbooks,1116490339173453824,https://twitter.com/POPMYFLASH/status/1116490339173453824
2019-04-11 23:56:48,tamingofthepru,,0,0,2,"My #CAPTAINMARVEL tattoo is all finished @brielarson #tattoodesign #traditionaltattoos #inspired #Marvelpic.twitter.com/yXoFjGbh9m",,@brielarson,#CAPTAINMARVEL #tattoodesign #traditionaltattoos #inspired #Marvelpic,1116490310790434816,https://twitter.com/tamingofthepru/status/1116490310790434816
2019-04-11 23:51:08,TheDancingGeek_,Disney,0,0,0,"This pertains to my interests. #HigherFurtherFasterMore #CaptainMarvel #DisneyPlushttps://twitter.com/Disney/status/1116469656762617857 …",,,#HigherFurtherFasterMore #CaptainMarvel #DisneyPlushttps,1116488884613996546,https://twitter.com/TheDancingGeek_/status/1116488884613996546
2019-04-11 23:50:04,Jetta_Jameson,Disney,0,1,0,"Sold! #CaptainMarvel https://twitter.com/Disney/status/1116469656762617857 …",,,#CaptainMarvel,1116488617432682497,https://twitter.com/Jetta_Jameson/status/1116488617432682497
2019-04-11 23:49:20,6ril06,RobertIger,0,0,1,"This is the first look of Disney+ !! #streaming #technology #media #disney #DisneyPlus #video #cinema #movies #web #webdesign #website #marvel #NationalGeographic #pixar #StarWars #mandalorian #CaptainMarvel https://twitter.com/RobertIger/status/1116468755180036096 …",,,#streaming #technology #media #disney #DisneyPlus #video #cinema #movies #web #webdesign #website #marvel #NationalGeographic #pixar #StarWars #mandalorian #CaptainMarvel,1116488434531610624,https://twitter.com/6ril06/status/1116488434531610624
2019-04-11 23:46:09,LuliQwQ,,1,2,3,"Say the magic word #Shazam #CaptainMarvel #DCComics #Billy #BillyBatson #Myartpic.twitter.com/TGxzPyMEDO",,,#Shazam #CaptainMarvel #DCComics #Billy #BillyBatson #Myartpic,1116487634224857088,https://twitter.com/LuliQwQ/status/1116487634224857088
2019-04-11 23:43:48,GamingfreakThe,,0,0,0,"""Some people move on.... not us"" #AvengersEndgame #CaptainMarvel #IronMan #CaptainAmericapic.twitter.com/3tTFj1rVWH",,,#AvengersEndgame #CaptainMarvel #IronMan #CaptainAmericapic,1116487041171230722,https://twitter.com/GamingfreakThe/status/1116487041171230722
2019-04-11 23:42:47,CantadaForce,,2,1,33,"MARVEL or DC? — Can’t we love both though? Because I do! Here are some of the characters and actors that I featured on my channel over the years. #Avengers #JusticeLeague #Shazam #PowerRangers #CaptainMarvel pic.twitter.com/x7aitcV70e",,,#Avengers #JusticeLeague #Shazam #PowerRangers #CaptainMarvel,1116486784240635905,https://twitter.com/CantadaForce/status/1116486784240635905
2019-04-11 23:42:23,WatchRayWork,,0,0,0,"The #Disney streaming service, #DisneyPlus is gearing up & they announce new #MCU shows & #CaptainMarvel will be on it On Day 1 #RayReport - Follow @RayReport for more… https://www.instagram.com/p/BwIlN9OHkjr/?utm_source=ig_twitter_share&igshid=1ghogai58p5xo …",,@RayReport,#Disney #DisneyPlus #MCU #CaptainMarvel #RayReport,1116486682784796673,https://twitter.com/WatchRayWork/status/1116486682784796673
2019-04-11 23:42:15,WooksRN,,0,0,0,"Jacket and #Shield hat are on their way and this is my favorite low-key #cosplay she's picked yet. This little #CaptainMarvel is almost all ready for #fanxspring19 next weekend and… https://www.instagram.com/p/BwIlMc-B3kz/?utm_source=ig_twitter_share&igshid=1mt0uvkc36efl …",,,#Shield #cosplay #CaptainMarvel #fanxspring19,1116486649016397825,https://twitter.com/WooksRN/status/1116486649016397825
2019-04-11 23:40:22,alexxtholden,,1,0,0,"What the fuck is with all this @brielarson hate? People in places of power are actively deconstructing our way of life, demoralizing our citizens, and demonizing entire segments of our society but #CaptainMarvel and the director of #UnicornStore is the battle we’ve chosen? #gtfo",,@brielarson,#CaptainMarvel #UnicornStore #gtfo,1116486177073311744,https://twitter.com/alexxtholden/status/1116486177073311744
2019-04-11 23:28:17,wdmeghan,,0,0,1,"#CaptainMarvel is even more amazing the second time. I can’t wait to be able to watch this whenever I want to. Everyone involved with this film did a SUPERB job. #HigherFurtherFaster pic.twitter.com/UT8fuBXK03",,,#CaptainMarvel #HigherFurtherFaster,1116483134470672385,https://twitter.com/wdmeghan/status/1116483134470672385
2019-04-11 23:27:55,AntoZun,,0,0,0,"Gosh doesn’t it suck Captain Marvel won’t be on Netflix #CaptainMarvel #AvengersEndgame",,,#CaptainMarvel #AvengersEndgame,1116483042002870272,https://twitter.com/AntoZun/status/1116483042002870272
