date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2014-08-28 23:57:35,siekpm81,,0,0,1,"Drive-in date night to see #TMNT & #GuardiansOfTheGalaxy @TransitDriveIn",,@TransitDriveIn,#TMNT #GuardiansOfTheGalaxy,505142179200000000,https://twitter.com/siekpm81/status/505142179200000000
2014-08-28 23:55:59,DandyShipper,,0,0,0,"About to watch #GuardiansOfTheGalaxy",,,#GuardiansOfTheGalaxy,505141779092766720,https://twitter.com/DandyShipper/status/505141779092766720
2014-08-28 23:54:14,andreuground,,0,0,0,"So #GuardiansOfTheGalaxy was finally released in Germany... and it was THE SHIT!!! When can I watch this again!?!?",,,#GuardiansOfTheGalaxy,505141339072495617,https://twitter.com/andreuground/status/505141339072495617
2014-08-28 23:53:38,MegWid96,,0,1,0,"#GuardiansOfTheGalaxy with the roomie #NeverStudy #ThursdayNight #Popcorn @sammieratz",,@sammieratz,#GuardiansOfTheGalaxy #NeverStudy #ThursdayNight #Popcorn,505141185124376576,https://twitter.com/MegWid96/status/505141185124376576
2014-08-28 23:52:28,Hellshield,,0,0,0,"@LittleTomboy7 He must poop tiny acorns http://www.deviantart.com/art/baby-groot-478690126 … #guardiansofthegalaxy #groot #IAmGroot",,@LittleTomboy7,#guardiansofthegalaxy #groot #IAmGroot,505140892034805761,https://twitter.com/Hellshield/status/505140892034805761
2014-08-28 23:48:43,kezlycheese,,0,0,0,"See the full image on http://www.facebook.com/kezly.beads #guardiansofthegalaxy #gotg #groot #drax #gamora… http://instagram.com/p/sQs6vllHA-/",,,#guardiansofthegalaxy #gotg #groot #drax #gamora,505139948404883456,https://twitter.com/kezlycheese/status/505139948404883456
2014-08-28 23:46:46,isnurulaini,,0,0,0,"new vocabulary :D@CBR: ""Grooting"" Has Entered the Lexicon #Grooting #GuardiansOfTheGalaxy http://on.cbr.cc/1AYQeQb pic.twitter.com/D2LdLRP5wd""",,@CBR,#Grooting #GuardiansOfTheGalaxy,505139460053291008,https://twitter.com/isnurulaini/status/505139460053291008
2014-08-28 23:41:41,DougMLocke,,0,0,0,"@Guardians is back in #DBox at @CobbTheatres in Leesburg VA. Try and stop me! #GuardiansOfTheGalaxy",,@Guardians @CobbTheatres,#DBox #GuardiansOfTheGalaxy,505138177410338817,https://twitter.com/DougMLocke/status/505138177410338817
2014-08-28 23:39:52,RileyandKimmy,,0,0,0,"#RobertDowneyJr Calls #GuardiansOfTheGalaxy the Best #Marvel #Movie Yet http://rileyandkimmyshow.blogspot.com/2014/08/robert-downey-jr-calls-guardians-of.html …",,,#RobertDowneyJr #GuardiansOfTheGalaxy #Marvel #Movie,505137720197263360,https://twitter.com/RileyandKimmy/status/505137720197263360
2014-08-28 23:37:43,jeannelking,,0,0,1,"Hmm, I face a dilemma. My guy's heading out to catch a university lecture. What to do, what to do... #GuardiansOfTheGalaxy #onemoretime?",,,#GuardiansOfTheGalaxy #onemoretime,505137182466912256,https://twitter.com/jeannelking/status/505137182466912256
