date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2017-06-01 23:52:42,RissaWatkins,,0,0,0,"We are groot! #groot #guardiansofthegalaxy #disneyworld #hollywoodstudios @Hollywood Studios https://www.instagram.com/p/BU0OpZ9FAkl/",,@Hollywood,#groot #guardiansofthegalaxy #disneyworld #hollywoodstudios,870427918106755072,https://twitter.com/RissaWatkins/status/870427918106755072
2017-06-01 23:46:34,fargenbastich60,,0,0,0,"#guardiansofthegalaxy #rockit #groot @Guardians of the Galaxy Premiere https://www.instagram.com/p/BU0N82YjFGKvuJzvmRX2eJ5QR2lkk1gftCpB-w0/ …",,@Guardians,#guardiansofthegalaxy #rockit #groot,870426378197454848,https://twitter.com/fargenbastich60/status/870426378197454848
2017-06-01 23:22:37,TheProtagoNES,,0,0,0,"Drax from #guardiansofthegalaxy has his own washcloth design. https://www.instagram.com/p/BU0LNgFg0cJ/",,,#guardiansofthegalaxy,870420350693191681,https://twitter.com/TheProtagoNES/status/870420350693191681
2017-06-01 23:18:29,BrandK87,,0,0,0,"Great Ride ! #firsttime #missionbreakout #guardiansofthegalaxy @… https://www.instagram.com/p/BU0KvEIDMLEP4gifOsBsfxDFqFLrKOLk0QmN2c0/ …",,@,#firsttime #missionbreakout #guardiansofthegalaxy,870419307196551169,https://twitter.com/BrandK87/status/870419307196551169
2017-06-01 23:15:11,shirtoid,,0,0,1,"""Trash Panda"" by @mitchludwig1 is $15.95 for a limited time http://buff.ly/2qLOWrx #groot #guardiansofthegalaxy #rocketraccoon #trashpandapic.twitter.com/vpcMfbgJth",,@mitchludwig1,#groot #guardiansofthegalaxy #rocketraccoon #trashpandapic,870418479500980224,https://twitter.com/shirtoid/status/870418479500980224
2017-06-01 22:58:13,WesSager,,0,2,8,"finally finished #GuardiansoftheGalaxyVol2 #fanart #illustration #marvel #guardiansofthegalaxy #ComicArt #marvel #nerdlifepic.twitter.com/syXsx55raf",,,#GuardiansoftheGalaxyVol2 #fanart #illustration #marvel #guardiansofthegalaxy #ComicArt #marvel #nerdlifepic,870414207119835136,https://twitter.com/WesSager/status/870414207119835136
2017-06-01 22:56:00,MoparFinch,,0,0,0,"Are these worth anything this week? LOL #DCA #MissionBreakout #guardiansofthegalaxy #FastPass… https://www.instagram.com/p/BU0IKh8AfMc/",,,#DCA #MissionBreakout #guardiansofthegalaxy #FastPass,870413651768999936,https://twitter.com/MoparFinch/status/870413651768999936
2017-06-01 22:45:25,Star1013,,0,0,0,"Win tickets at 4p to @Disneyland & Disney CA Adventure to check out #GuardiansoftheGalaxy- Mission Breakout! http://1013.com/listen",,@Disneyland,#GuardiansoftheGalaxy,870410987719053313,https://twitter.com/Star1013/status/870410987719053313
2017-06-01 22:26:15,zenmart,,0,0,0,"Let's dance! #guardiansofthegalaxy #disneycaliforniaadventurepic.twitter.com/K9y1sG6Xrm",,,#guardiansofthegalaxy #disneycaliforniaadventurepic,870406162662825984,https://twitter.com/zenmart/status/870406162662825984
2017-06-01 22:23:35,msausretrogamer,,1,1,4,"Licence to Quill https://entertainmeweakly.tumblr.com/ #guardiansofthegalaxyvol2 #jamesbond #guardiansofthegalaxy pic.twitter.com/ZmCRXe2IPR",,,#guardiansofthegalaxyvol2 #jamesbond #guardiansofthegalaxy,870405494493421568,https://twitter.com/msausretrogamer/status/870405494493421568
2017-06-01 22:08:09,DankwaBrooks,,1,0,1,"#nfotd ( #ncfotd) #GuardiansOfTheGalaxy: Vol. 2 was good and fun! Pretty much what I expected and delivered. pic.twitter.com/d16fmsJJEi",,,#nfotd #ncfotd #GuardiansOfTheGalaxy,870401607510380544,https://twitter.com/DankwaBrooks/status/870401607510380544
2017-06-01 22:05:48,JasonMuhr,,0,1,5,"Daily Sketch: Mary Poppins, Ya'll #GuardiansoftheGalaxyVol2 #GuardiansOfTheGalaxy #yondu #immarypoppinsyall #marvel #jasonmuhr #dailysketchpic.twitter.com/uK2NHh58YY",,,#GuardiansoftheGalaxyVol2 #GuardiansOfTheGalaxy #yondu #immarypoppinsyall #marvel #jasonmuhr #dailysketchpic,870401015786332162,https://twitter.com/JasonMuhr/status/870401015786332162
2017-06-01 22:05:46,delightfulcast,,0,3,3,"Episode 11 is easily 11 times better than episode 1! http://bit.ly/2qH09yt #podcast #news #podernfamily #Covfefe #guardiansofthegalaxy",,,#podcast #news #podernfamily #Covfefe #guardiansofthegalaxy,870401009733914624,https://twitter.com/delightfulcast/status/870401009733914624
2017-06-01 21:42:38,Nightwingpdp,,0,0,1,"New @CapesLunatics! http://traffic.libsyn.com/flasharrowpowerhour/Capes__Lunatics_1_with_metadata_FINAL.mp3?dest-id=228802 … . @LilithHellfire, @CharlieEsser & I review #GuardiansoftheGalaxyVol2! #GuardiansoftheGalaxy pic.twitter.com/xY6JcCRTmZ",,@CapesLunatics @LilithHellfire @CharlieEsser,#GuardiansoftheGalaxyVol2 #GuardiansoftheGalaxy,870395187801075712,https://twitter.com/Nightwingpdp/status/870395187801075712
2017-06-01 21:33:43,LorneThomson,,0,0,1,"Rooker! #MichaelRooker #Yondu #GuardiansOfTheGalaxy #TheWalkingDead #MerleDixon #HereosAndVilliansLondon #Canon http://ift.tt/2rguhzE pic.twitter.com/VmWshPhhvZ",,,#MichaelRooker #Yondu #GuardiansOfTheGalaxy #TheWalkingDead #MerleDixon #HereosAndVilliansLondon #Canon,870392943101784064,https://twitter.com/LorneThomson/status/870392943101784064
2017-06-01 21:29:13,BassimStory,BassimStory,0,0,0,"I bring up #GuardiansOfTheGalaxy because fact that WB couldn't make #WonderWoman work but Marvel turned *Groot into a star* is a disgrace",,,#GuardiansOfTheGalaxy #WonderWoman,870391811491205121,https://twitter.com/BassimStory/status/870391811491205121
2017-06-01 21:25:13,mogway,,0,0,0,"Rank 1 only 19 more to go listening to #guardiansofthegalaxy makes it all better #teamaltador #altadorcup",,,#guardiansofthegalaxy #teamaltador #altadorcup,870390803541184517,https://twitter.com/mogway/status/870390803541184517
2017-06-01 21:17:33,BassimStory,BassimStory,1,0,0,"#GuardiansOfTheGalaxy was a script ready-to-go Marvel took a chance on. #WonderWoman was written as it was filmed, with directors changing.",,,#GuardiansOfTheGalaxy #WonderWoman,870388876757655552,https://twitter.com/BassimStory/status/870388876757655552
2017-06-01 21:16:06,_iaia___,,0,0,1,"Star Lord #chrispratt #bestactor @prattprattpratt #StarLord #peterquill #guardiansofthegalaxy… https://www.instagram.com/p/BUz8upCjjy0/",,@prattprattpratt,#chrispratt #bestactor #StarLord #peterquill #guardiansofthegalaxy,870388509722505217,https://twitter.com/_iaia___/status/870388509722505217
2017-06-01 21:05:56,FeistyLvL,,0,0,0,"#buddies for life #deadpool #groot #guardiansofthegalaxy pic.twitter.com/3ZNwRCQipI",,,#buddies #deadpool #groot #guardiansofthegalaxy,870385951629078528,https://twitter.com/FeistyLvL/status/870385951629078528
2017-06-01 21:04:38,UrbanLevel06,,0,0,0,"Guardians of the Galaxy Jacket http://www.ebay.com/itm/-/222446447577?roken=cUgayN&soutkn=s8l8oP … via @eBay #guardiansofthegalaxy #GuardiansoftheGalaxyVol2 #GUARDIANSOFTHEGALAXY2",,@eBay,#guardiansofthegalaxy #GuardiansoftheGalaxyVol2 #GUARDIANSOFTHEGALAXY2,870385626108968960,https://twitter.com/UrbanLevel06/status/870385626108968960
2017-06-01 21:01:20,MrSchoenbart,,0,1,1,"Have Fun and Save the Galaxy: 7 Lessons for Teachers From #GuardiansoftheGalaxy at http://www.aschoenbart.com/2017/05/have-fun-and-save-galaxy-7-lessons-for.html … #edtechafterdarkpic.twitter.com/2ZozMHKkoB",,,#GuardiansoftheGalaxy #edtechafterdarkpic,870384793145540608,https://twitter.com/MrSchoenbart/status/870384793145540608
2017-06-01 20:52:48,dibulau33,,0,0,0,"Mantis (Guardians of the Galaxy 2) #dibulau #mantis #guardiansofthegalaxy… https://www.instagram.com/p/BUz6EF5Dfsv/",,,#dibulau #mantis #guardiansofthegalaxy,870382645024350208,https://twitter.com/dibulau33/status/870382645024350208
2017-06-01 20:45:33,VideoGame52,,0,0,0,"Guardians of the Galaxy Vol. 2 (2017) #Movie Fan #Poster #guardiansofthegalaxy… https://www.instagram.com/p/BUz5O_IApmv/",,,#Movie #Poster #guardiansofthegalaxy,870380821198327808,https://twitter.com/VideoGame52/status/870380821198327808
