date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2017-06-15 23:57:12,ArntComedy,,0,0,0,"#LEAKED Guardians of the Galaxy Volume 3: Rise of the Racoons #guardiansofthegalaxy… https://www.instagram.com/p/BVYSTBoBtXq/",,,#LEAKED #guardiansofthegalaxy,875502483052740608,https://twitter.com/ArntComedy/status/875502483052740608
2017-06-15 23:54:51,Shallow_Graves,,0,0,0,"Foxwoods ComiCONN 2017, Live with Spencer Wilding ... http://wp.me/p4rRDj-43A #DarthVader #GuardiansOfTheGalaxy #SpencerWilding #StarWars",,,#DarthVader #GuardiansOfTheGalaxy #SpencerWilding #StarWars,875501889147633664,https://twitter.com/Shallow_Graves/status/875501889147633664
2017-06-15 23:52:39,DIGITALidTWEETS,,0,0,0,"This picture was take on Opening Day #GuardiansOfTheGalaxy Mission: Breakout RIP #TowerOfTerror… https://www.instagram.com/p/BVYRxjnBuJW/",,,#GuardiansOfTheGalaxy #TowerOfTerror,875501337756160000,https://twitter.com/DIGITALidTWEETS/status/875501337756160000
2017-06-15 23:42:41,drewpewpew12,,0,2,2,"A small motion graphic that I made for @clubcosplaydenv make sure to check them out after @DenverComicCon on the 30th! #GuardiansOfTheGalaxy pic.twitter.com/kTeVffGKs3",,@clubcosplaydenv @DenverComicCon,#GuardiansOfTheGalaxy,875498828216119298,https://twitter.com/drewpewpew12/status/875498828216119298
2017-06-15 23:34:38,valdan,,0,0,0,"Classical? I’ll take it. And a sha la la la la thing. #marvel #guardiansofthegalaxy #soundtrack https://www.instagram.com/p/BVYPta-HLji/",,,#marvel #guardiansofthegalaxy #soundtrack,875496804523134976,https://twitter.com/valdan/status/875496804523134976
2017-06-15 23:26:41,RegularVince,,0,0,0,"The new lootwear shirt is pretty rad #lootcrate #lootwear #starlord #groot #guardiansofthegalaxy… https://www.instagram.com/p/BVYOzWWl5Ds/",,,#lootcrate #lootwear #starlord #groot #guardiansofthegalaxy,875494803194208258,https://twitter.com/RegularVince/status/875494803194208258
2017-06-15 23:24:25,GabyMargutti,,0,0,0,"#Marvel #GuardiansoftheGalaxy Fans win a grown up dot-to-dot book today on @reviewedbymom and @thunderbaypress http://reviewedbymom.blogspot.com.br/2017/06/marvel-guardians-of-galaxy-1000-dot-to.html …",,@reviewedbymom @thunderbaypress,#Marvel #GuardiansoftheGalaxy,875494231934201859,https://twitter.com/GabyMargutti/status/875494231934201859
2017-06-15 23:02:05,WhoaRyanjob62,,0,1,0,"Time For A New Series #GuardiansOfTheGalaxy http://youtu.be/meuaWA9qnnA?a",,,#GuardiansOfTheGalaxy,875488612858687488,https://twitter.com/WhoaRyanjob62/status/875488612858687488
2017-06-15 22:48:01,PIFGames,,0,0,0,"@telltalegames playing through ep 2 of #guardiansofthegalaxy - is there supposed to be music in the last segment when Pete wears headphones?",,@telltalegames,#guardiansofthegalaxy,875485072912076800,https://twitter.com/PIFGames/status/875485072912076800
2017-06-15 22:43:49,MariaJscomp4,,0,0,1,"Check Out #MichaelRosenbaum As Pre-CG #Martinex http://screen.st/AF9KziR #Guardiansofthegalaxy",,,#MichaelRosenbaum #Martinex #Guardiansofthegalaxy,875484014492176384,https://twitter.com/MariaJscomp4/status/875484014492176384
2017-06-15 22:40:11,Grandmaljj,,0,0,0,"#Marvel #GuardiansoftheGalaxy Fans win a grown up dot-to-dot book today on @reviewedbymom and @thunderbaypress http://reviewedbymom.blogspot.com/2017/06/marvel-guardians-of-galaxy-1000-dot-to.html …",,@reviewedbymom @thunderbaypress,#Marvel #GuardiansoftheGalaxy,875483099961978881,https://twitter.com/Grandmaljj/status/875483099961978881
2017-06-15 22:37:34,PaoloMRivera,,0,1,8,"Instagram video: #RocketRaccoon and #Groot #GuardiansoftheGalaxy http://ift.tt/2t7sWK2 pic.twitter.com/8C2985jo0U",,,#RocketRaccoon #Groot #GuardiansoftheGalaxy,875482441565302785,https://twitter.com/PaoloMRivera/status/875482441565302785
2017-06-15 22:11:11,David_visseux,,0,0,0,"What #Marvel #GuardiansOfTheGalaxy took over #Mission:Space in #EPCOTCenter at #WaltDisneyWorld ? http://plussingthepark.over-blog.com/2017/04/guardiansofthegalaxymission-spacetoxandar.html …",,,#Marvel #GuardiansOfTheGalaxy #Mission #EPCOTCenter #WaltDisneyWorld,875475800790847489,https://twitter.com/David_visseux/status/875475800790847489
2017-06-15 22:10:41,Colombianlove41,,0,0,1,"Welcome home, #drax. My #hottoys #guardiansofthegalaxy set is now complete #gotg #sixthscale… https://www.instagram.com/p/BVYGG3mD0Rk/",,,#drax #hottoys #guardiansofthegalaxy #gotg #sixthscale,875475677847355392,https://twitter.com/Colombianlove41/status/875475677847355392
2017-06-15 22:10:38,SuperNeena1,,0,0,0,"#Marvel #GuardiansoftheGalaxy Fans win a grown up dot-to-dot book today on @reviewedbymom and @thunderbaypress http://reviewedbymom.blogspot.com/2017/06/marvel-guardians-of-galaxy-1000-dot-to.html …",,@reviewedbymom @thunderbaypress,#Marvel #GuardiansoftheGalaxy,875475662378807300,https://twitter.com/SuperNeena1/status/875475662378807300
2017-06-15 22:09:14,TimothiousSmith,,0,1,0,"Check out: David Sobolov @volobos voice of #Drax #GuardiansoftheGalaxy #Grodd on @CW_TheFlash & #Stone on @Daredevilhttp://sobolov.com",,@volobos @CW_TheFlash @Daredevilhttp,#Drax #GuardiansoftheGalaxy #Grodd #Stone,875475311009423364,https://twitter.com/TimothiousSmith/status/875475311009423364
