date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-05-31 23:58:02,Howlrunner82,,0,0,0,"Back from #InfinityWar Yeah, it's pretty awesome. The best Avengers movie. 10 Dead Stars out of 10",,,#InfinityWar,1002338446638239744,https://twitter.com/Howlrunner82/status/1002338446638239744
2018-05-31 23:57:51,mightbemavis,,3,1,16,"I made my diadem for Lady Loki today. Of course I learned from the best, @donttrythis @ZonbisWorkshop and @OJessicaNigri, that although it's maybe not always the BEST idea, it's possible to build things in a day if you believe in yourself! #Loki #Thor #InfinityWar #Cosplaypic.twitter.com/89v66AmVXj",,@donttrythis @ZonbisWorkshop @OJessicaNigri,#Loki #Thor #InfinityWar #Cosplaypic,1002338400475779077,https://twitter.com/mightbemavis/status/1002338400475779077
2018-05-31 23:57:09,IAmDaveBaldwin,,0,0,0,"And holy crap, that is Ace from the Gangrene Gang. Damn, #InfinityWar has some competition.",,,#InfinityWar,1002338223320944640,https://twitter.com/IAmDaveBaldwin/status/1002338223320944640
2018-05-31 23:57:04,zachtwesterman,chrisjhastings,0,0,1,"Like #InfinityWar @Avengers",,@Avengers,#InfinityWar,1002338202076655616,https://twitter.com/zachtwesterman/status/1002338202076655616
2018-05-31 23:56:45,Starlilies68,TheRealStanLee,0,0,0,"WAY too many to choose from, but my biggest fav right now is the current #Avengers movie: #InfinityWar Can't wait for the next part!",,,#Avengers #InfinityWar,1002338123433594885,https://twitter.com/Starlilies68/status/1002338123433594885
2018-05-31 23:56:20,LaNavePaul,,0,0,3,"Everybody's still bent out of shape about that last 15 min of #InfinityWar, but I'll tell you a little secret: Thanos was clearly just doing the good work of eliminating the 50% of the population that stands up immediately when the plane reaches the gate, so.............. pic.twitter.com/CJk4M4AZlV",,,#InfinityWar,1002338016533319681,https://twitter.com/LaNavePaul/status/1002338016533319681
2018-05-31 23:55:00,WhoWouldWinShow,,1,4,4,"#WhoWouldWin: @JSandlinWriter defends #BlackWidow vs. @JamesGavsie w. #Robin/ Damian Wayne in another #WhoWouldWin Listen here: http://bit.ly/2Inn2My #DC #Marvel #InfinityWar #comicbookspic.twitter.com/sEMTwY3eBs",,@JSandlinWriter @JamesGavsie,#WhoWouldWin #BlackWidow #Robin #WhoWouldWin #DC #Marvel #InfinityWar #comicbookspic,1002337680892485632,https://twitter.com/WhoWouldWinShow/status/1002337680892485632
2018-05-31 23:54:11,mikehesq401,,0,0,0,"I think my dog was trying to recreate #InfinityWar with my kids toy but he doesn’t know yet that Cap lives so far. THIS ISNT CANON TEDDY @ChrisEvans @Avengers @CaptainAmerica @RobertDowneyJrpic.twitter.com/aFvaAbBpcv",,@ChrisEvans @Avengers @CaptainAmerica @RobertDowneyJrpic,#InfinityWar,1002337474499268608,https://twitter.com/mikehesq401/status/1002337474499268608
2018-05-31 23:51:22,AndrewSaada,,1,0,6,"#ThorsdayThoughts: When they turn the movie back on just for you cause you showed up. @Avengers #InfinityWar | Cc @KirstenAcuna @BrianAdamMcCune @JamesGunn |pic.twitter.com/VMZzH34tWS – at Atlantic Cinema 5",,@Avengers @KirstenAcuna @BrianAdamMcCune @JamesGunn,#ThorsdayThoughts #InfinityWar,1002336767528366080,https://twitter.com/AndrewSaada/status/1002336767528366080
2018-05-31 23:50:04,RedAntisocial,,0,0,0,"Brought Bear to the Drive In for #SoloAStarWarsStory and #InfinityWar pic.twitter.com/u5nz1HdBQc",,,#SoloAStarWarsStory #InfinityWar,1002336438237589506,https://twitter.com/RedAntisocial/status/1002336438237589506
2018-05-31 23:49:03,JPaulo645,TheRealStanLee,1,0,5,"At the moment, definitely #InfinityWar, my favorite part is the amazing sequence and Vormir with Thanos and Gamora, powerful moment for both characters.",,,#InfinityWar,1002336183576399872,https://twitter.com/JPaulo645/status/1002336183576399872
2018-05-31 23:46:13,sonnIBrown1188,TheRealStanLee,0,0,0,"@theblackpanther @Iron_Man @CaptainAmerica I love the depth of the characters, the realness in their lives & where all the madness collides #Avengers #InfinityWar #WinterSoldier",,@theblackpanther @Iron_Man @CaptainAmerica,#Avengers #InfinityWar #WinterSoldier,1002335471312228352,https://twitter.com/sonnIBrown1188/status/1002335471312228352
2018-05-31 23:44:22,elbowinspanish,TheRealStanLee,0,0,0,"Captain America: First Avenger and the first iron man #Marvel #wolverine #MCU #InfinityWar #AvengersInfinintyWar #Thanos",,,#Marvel #wolverine #MCU #InfinityWar #AvengersInfinintyWar #Thanos,1002335007669489664,https://twitter.com/elbowinspanish/status/1002335007669489664
2018-05-31 23:35:15,jordan122701,,0,0,2,"marvel fandom: *sees bubbles in public* #InfinityWar pic.twitter.com/pcRmP7pX9e",,,#InfinityWar,1002332710281662464,https://twitter.com/jordan122701/status/1002332710281662464
2018-05-31 23:34:37,BfreeBhappy,,0,0,0,"I could literally watch them eat, discover new food and talk about it ALL-DAY-LONG #Avengers #InfinityWar #SouthKorea https://youtu.be/KKWNnKhGjWA",,,#Avengers #InfinityWar #SouthKorea,1002332553066504194,https://twitter.com/BfreeBhappy/status/1002332553066504194
2018-05-31 23:32:22,thefish_8,,1,0,2,"The secret to defeating Thanos: the seventh Infinity Stone! #InfinityWar pic.twitter.com/OxGL37QIkb",,,#InfinityWar,1002331986071990272,https://twitter.com/thefish_8/status/1002331986071990272
2018-05-31 23:32:09,ItHasBegun2016,,0,2,6,"#MyVisionForTheFutureIs... all the horrible things that have happened are reversed. #infinitywar #BlueWavepic.twitter.com/2aRRwDKjEe",,,#MyVisionForTheFutureIs #infinitywar #BlueWavepic,1002331932804501506,https://twitter.com/ItHasBegun2016/status/1002331932804501506
2018-05-31 23:24:46,RhinosandAliens,,0,0,0,"Move #InfinityWar to April, #Deadpool2 disappoints, #Solo straight up bombs... This has been a very rough May, both in terms of total releases & commercial success",,,#InfinityWar #Deadpool2 #Solo,1002330074580910080,https://twitter.com/RhinosandAliens/status/1002330074580910080
2018-05-31 23:24:06,gibgabe,,2,0,0,"Can you imagine if that logo at the end of #InfinityWar was replaced with this... pic.twitter.com/2enbI2k0op",,,#InfinityWar,1002329903587569666,https://twitter.com/gibgabe/status/1002329903587569666
2018-05-31 23:17:10,Deckie_juice,,1,0,2,"Another Infinity War question. Where was Kraglin? @JamesGunn @seangunn #InfinityWar",,@JamesGunn @seangunn,#InfinityWar,1002328162313764865,https://twitter.com/Deckie_juice/status/1002328162313764865
2018-05-31 23:13:06,BORReport,,0,0,3,"Daily Box Office Report for Wednesday, May 30, 2018: http://www.boxofficereport.com/daily/20180530.html … #SoloAStarWarsStory #Deadpool2 #BookClub #Avengers #InfinityWar #LifeOfTheParty #BreakingInMovie #BoxOfficepic.twitter.com/FeyTWBlW77",,,#SoloAStarWarsStory #Deadpool2 #BookClub #Avengers #InfinityWar #LifeOfTheParty #BreakingInMovie #BoxOfficepic,1002327136164724736,https://twitter.com/BORReport/status/1002327136164724736
2018-05-31 23:12:12,The_Upgrade,,0,0,0,"I still haven't seen #InfinityWar again, it's still too soon",,,#InfinityWar,1002326910251208711,https://twitter.com/The_Upgrade/status/1002326910251208711
2018-05-31 23:09:59,Hunter_Fritz18,,0,0,0,"I’m going to see #InfinityWar again",,,#InfinityWar,1002326354430480384,https://twitter.com/Hunter_Fritz18/status/1002326354430480384
