date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2017-08-03 23:50:54,Bobbyh78,,0,3,5,"#SpiderManHomecoming talking to Angel #disneycaliforniaadventure #autismdadpic.twitter.com/iARut54Zig",,,#SpiderManHomecoming #disneycaliforniaadventure #autismdadpic,893257903372591105,https://twitter.com/Bobbyh78/status/893257903372591105
2017-08-03 23:44:23,RachelLinActor,michaelbeddoes,0,0,2,"I this film! Humour/action ratio was balanced perfectly with well rounded characters! Excited for more #SpiderMan #SpiderManHomecoming",,,#SpiderMan #SpiderManHomecoming,893256260967165953,https://twitter.com/RachelLinActor/status/893256260967165953
2017-08-03 23:42:36,CcharlesGgomez,,0,0,0,"#SpiderManHomecoming The Emoji",,,#SpiderManHomecoming,893255812130324480,https://twitter.com/CcharlesGgomez/status/893255812130324480
2017-08-03 23:32:32,quartermasterQC,,0,0,1,"Spiderman homecoming! #SpiderManHomecoming @TomHolland1996 @VancityReynolds #marvel @TheRealStanLeepic.twitter.com/CUVFAIGbi5",,@TomHolland1996 @VancityReynolds @TheRealStanLeepic,#SpiderManHomecoming #marvel,893253281388134400,https://twitter.com/quartermasterQC/status/893253281388134400
2017-08-03 23:31:29,JhonnyuBellic,,0,0,0,"Worst Movies 2017 #SpiderManHomecoming #Logan #GhostInTheShell #KongSkullIsland #GetOut #Split #Dunkirk #KingArthur #TheBeautyAndthebeast",,,#SpiderManHomecoming #Logan #GhostInTheShell #KongSkullIsland #GetOut #Split #Dunkirk #KingArthur #TheBeautyAndthebeast,893253014802255872,https://twitter.com/JhonnyuBellic/status/893253014802255872
2017-08-03 23:31:22,ComicBook_Movie,,0,8,22,"Check Out The @SpiderManMovie: #Homecoming Blu-Ray Steelbook Cover! #marvel #SpiderManHomecoming https://www.comicbookmovie.com/spider-man/homecoming/spider-man-homecoming-blu-ray-steelbook-cover-features-awesome-new-artwork-of-spidey-taking-on-vulture-a153012 …pic.twitter.com/AvILKnV9AD",,@SpiderManMovie,#Homecoming #marvel #SpiderManHomecoming,893252988407496704,https://twitter.com/ComicBook_Movie/status/893252988407496704
2017-08-03 23:28:53,initiate24601,,0,0,0,"@TomHolland1996 All I have to say about #SpiderManHomecoming is that I wish I would have seen it earlier",,@TomHolland1996,#SpiderManHomecoming,893252363066236928,https://twitter.com/initiate24601/status/893252363066236928
2017-08-03 23:25:53,engrgodric,,0,0,1,"So.. I got these new babies yesterday from @filbarsonline #SpiderManHomecoming #HotToys #Cosbabypic.twitter.com/LDROXVFpnA",,@filbarsonline,#SpiderManHomecoming #HotToys #Cosbabypic,893251604907933696,https://twitter.com/engrgodric/status/893251604907933696
2017-08-03 23:24:44,damianlight,,1,0,2,"Saw #SpiderManHomecoming last night. Spoiler free review: awesome. Funny, action packed, believable relatable characters. Better now Marvel",,,#SpiderManHomecoming,893251319221309441,https://twitter.com/damianlight/status/893251319221309441
2017-08-03 23:23:09,Eternal0ptimist,,0,0,2,"I want to see #SpiderManHomecoming and #BabyDriver again ASAP @SpiderManMovie @BabyDriverMovie @TomHolland1996 @AnselElgort",,@SpiderManMovie @BabyDriverMovie @TomHolland1996 @AnselElgort,#SpiderManHomecoming #BabyDriver,893250918749278208,https://twitter.com/Eternal0ptimist/status/893250918749278208
2017-08-03 23:21:28,cinafilm,,0,0,0,"Spider-Man: Homecoming (2017) - Read 1,076 Movie Reviews Link: https://cinafilm.com/1010376536 #SpiderManHomecoming",,,#SpiderManHomecoming,893250494415634432,https://twitter.com/cinafilm/status/893250494415634432
2017-08-03 23:19:32,3BlackGeeks,,0,1,2,"#SpidermanHomecoming Spoiler Talk...Check it out! http://dld.bz/fUDgd pic.twitter.com/fvUmj3l9NS",,,#SpidermanHomecoming,893250010644664320,https://twitter.com/3BlackGeeks/status/893250010644664320
2017-08-03 23:18:24,CultChocolate,,0,0,2,"Anybody that said #SpiderManHomecoming is the best Spiderman movie is a lie. Its just not the best.",,,#SpiderManHomecoming,893249724500889600,https://twitter.com/CultChocolate/status/893249724500889600
2017-08-03 23:15:08,DailyTomHolland,,1,3,13,"| Tom's confirmed schedule consists of the remaining #SpiderManHomecoming & #ChaosWalking filming",,,#SpiderManHomecoming #ChaosWalking,893248902995914752,https://twitter.com/DailyTomHolland/status/893248902995914752
2017-08-03 23:10:50,marco_bruel97,,1,0,0,"#SpiderManHomecoming just was amazing!!! @Marvel did a great job, guys! See you again in @Avengers #Marvel @TomHolland1996 #CanaryIslandspic.twitter.com/kws0c8ZbOi",,@Marvel @Avengers @TomHolland1996,#SpiderManHomecoming #Marvel #CanaryIslandspic,893247817237626880,https://twitter.com/marco_bruel97/status/893247817237626880
2017-08-03 23:08:20,THollandNews,,2,25,104,"#SpiderManHomecoming Tokyo premiere is on august 07 and the movie will be release on the country august 11th",,,#SpiderManHomecoming,893247191711707136,https://twitter.com/THollandNews/status/893247191711707136
2017-08-03 23:05:23,DailyTomHolland,,0,34,70,"| Pictures from the #SpiderManHomecoming pop-up store in Tokyo (via Marvel JAPAN) pic.twitter.com/2UXldc9BTh",,,#SpiderManHomecoming,893246447419662337,https://twitter.com/DailyTomHolland/status/893246447419662337
2017-08-03 23:04:17,DailyTomHolland,DailyTomHolland,0,3,8,"| #SpiderManHomecoming premieres in Japan on the 7th of this month. Harrison is also going. pic.twitter.com/lUccW6cM6m",,,#SpiderManHomecoming,893246169597394944,https://twitter.com/DailyTomHolland/status/893246169597394944
2017-08-03 23:00:04,ShowPlaceICON,,0,0,1,"See this Straight A superhero in #SpiderManHomecoming - AGAIN! #SignInAndSave now through #EXTRAS: http://bit.ly/2sprYft pic.twitter.com/U4IP4D5gfi",,,#SpiderManHomecoming #SignInAndSave #EXTRAS,893245107654332416,https://twitter.com/ShowPlaceICON/status/893245107654332416
2017-08-03 23:00:03,Kerasotes,,0,0,0,"See this Straight A superhero in #SpiderManHomecoming - AGAIN! #SignInAndSave now through #EXTRAS: http://bit.ly/2sprYft pic.twitter.com/xerNTiG1vF",,,#SpiderManHomecoming #SignInAndSave #EXTRAS,893245106769321989,https://twitter.com/Kerasotes/status/893245106769321989
2017-08-03 22:59:26,Toms_Quackson,,0,0,0,"Tom holland going to Japan for the promotion of #SpidermanHomecoming",,,#SpidermanHomecoming,893244949684211712,https://twitter.com/Toms_Quackson/status/893244949684211712
2017-08-03 22:58:14,tomhsource,,9,136,529,"Tom Holland is going now to Japan for promote #SpiderManHomecoming will be released this month.",,,#SpiderManHomecoming,893244648151547904,https://twitter.com/tomhsource/status/893244648151547904
2017-08-03 22:57:45,DailyTomHolland,DailyTomHolland,1,5,17,"| Tom is on his way to Japan for the premiere of #SpiderManHomecoming as reported by @IMDb a few weeks ago",,@IMDb,#SpiderManHomecoming,893244526361329665,https://twitter.com/DailyTomHolland/status/893244526361329665
2017-08-03 22:56:07,helloitscha,,0,0,0,"watching #SpiderManHomecoming was 90% me gasping ""Peter!"" and 10% whispering ""the frog""",,,#SpiderManHomecoming,893244113868476416,https://twitter.com/helloitscha/status/893244113868476416
2017-08-03 22:53:33,one_spicy_boii,,0,0,0,"Just went to watch #SpiderManHomecoming today!! It was really good!!",,,#SpiderManHomecoming,893243467794702338,https://twitter.com/one_spicy_boii/status/893243467794702338
2017-08-03 22:52:53,one_spicy_boii,BadMaryBand,1,0,1,"I just watched #SpiderManHomecoming",,,#SpiderManHomecoming,893243302413303809,https://twitter.com/one_spicy_boii/status/893243302413303809
2017-08-03 22:52:05,Kyle_Evans1,,0,0,0,"@SpiderManMovie Decent movie to start off yet another Spiderman film series, @TomHolland1996 is a great Spidey though #SpiderManHomecoming",,@SpiderManMovie @TomHolland1996,#SpiderManHomecoming,893243101887594496,https://twitter.com/Kyle_Evans1/status/893243101887594496
