date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2013-12-12 21:38:58,Cubed3,,0,0,0,"#Thor #TheDarkWorld goes under the #hammer in this latest #movie #review. Instant classic? @MarvelUK @Marvel http://www.cubed3.com/news/20121/1/feature-lights-camera-action-thor-the-dark-world.html …",,@MarvelUK @Marvel,#Thor #TheDarkWorld #hammer #movie #review,411248838150979585,https://twitter.com/Cubed3/status/411248838150979585
2013-12-12 19:54:16,xo_Shiying,,0,0,0,"Hahahaha #thor #thedarkworld #loki #betray #funnyscene #cuteloki #siblings #line #lovepic.twitter.com/y4PHMzpiR8",,,#thor #thedarkworld #loki #betray #funnyscene #cuteloki #siblings #line #lovepic,411222490703085568,https://twitter.com/xo_Shiying/status/411222490703085568
2013-12-11 10:38:28,aizellervr,,0,0,0,"JGH... and it was worth it.. #Thor #thedarkworld #villagecinemas #nextcaptainamerica http://instagram.com/p/hxzoKMS9Do/",,,#Thor #thedarkworld #villagecinemas #nextcaptainamerica,410720230533767168,https://twitter.com/aizellervr/status/410720230533767168
2013-12-11 05:28:43,MajesticGTO,,0,1,1,"Juss Got Done Watching #THOR #TheDarkWorld Now Drinking Sum Hot Chocolate At Starbucks With My Babe @GiGiFromCALI",,@GiGiFromCALI,#THOR #TheDarkWorld,410642281545216000,https://twitter.com/MajesticGTO/status/410642281545216000
2013-12-10 23:46:58,LJane_I_am,,0,0,0,"Ohh yeahhh #Thor #TheDarkWorld #TomHiddleston #Loki !! :) http://instagram.com/p/hwpJxyIZr4/",,,#Thor #TheDarkWorld #TomHiddleston #Loki,410556276536774656,https://twitter.com/LJane_I_am/status/410556276536774656
2013-12-10 19:03:40,DarkwoodsBooks,,0,0,0,"They pulled Thor from Netflix! Grr. http://martastahlfeld.blogspot.com/2013/12/the-dark-world.html … #Thor #Loki #thedarkworld",,,#Thor #Loki #thedarkworld,410484980037328896,https://twitter.com/DarkwoodsBooks/status/410484980037328896
2013-12-10 09:38:25,EleonoraSca,,0,0,0,"I swear, in that moment we were two idiots #thorki #premiere #thor2 #thedarkworld #loki #thor… http://instagram.com/p/hvH3b4KoLH/",,,#thorki #premiere #thor2 #thedarkworld #loki #thor,410342730716704768,https://twitter.com/EleonoraSca/status/410342730716704768
2013-12-10 00:23:29,violetlily105,,0,0,0,"Awwh #Loki #thor #thorki #chrishemsworth #twhiddleston #thorthedarkworld #thedarkworld #lokilaufeyson #laufeyson ...pic.twitter.com/zbWU18wVPe",,,#Loki #thor #thorki #chrishemsworth #twhiddleston #thorthedarkworld #thedarkworld #lokilaufeyson #laufeyson,410203078772944896,https://twitter.com/violetlily105/status/410203078772944896
2013-12-10 00:20:25,violetlily105,,0,0,0,"Awwh #Loki #thor #thorki #chrishemsworth #twhiddleston #thorthedarkworld #thedarkworld #lokilaufeyson #laufeyson ...pic.twitter.com/FiPTfYzxca",,,#Loki #thor #thorki #chrishemsworth #twhiddleston #thorthedarkworld #thedarkworld #lokilaufeyson #laufeyson,410202306664468480,https://twitter.com/violetlily105/status/410202306664468480
2013-12-09 22:13:11,dunnstersj,,0,1,0,"@CineCardiff @CineworldMag How can you not love #Thor #TheDarkWorld",,@CineCardiff @CineworldMag,#Thor #TheDarkWorld,410170287620390912,https://twitter.com/dunnstersj/status/410170287620390912
2013-12-08 23:46:25,pistol_rae,,0,0,1,"Finallllllly saw #Thor !!! (: #thedarkworld",,,#Thor #thedarkworld,409831362615451649,https://twitter.com/pistol_rae/status/409831362615451649
2013-12-08 22:39:59,WorldOfBlackout,,0,0,0,"One last run as I wave the movie off to cinematic Valhalla... http://worldofblackout.blogspot.co.uk/2013/12/review-thor-dark-world-third-pass.html … #Thor #TheDarkWorld #FilmReview #ThreeTimesYes",,,#Thor #TheDarkWorld #FilmReview #ThreeTimesYes,409814644576894976,https://twitter.com/WorldOfBlackout/status/409814644576894976
2013-12-08 22:39:59,MightyBlackout,,0,0,0,"One last run as I wave the movie off to cinematic Valhalla... http://worldofblackout.blogspot.co.uk/2013/12/review-thor-dark-world-third-pass.html … #Thor #TheDarkWorld #FilmReview #ThreeTimesYes",,,#Thor #TheDarkWorld #FilmReview #ThreeTimesYes,409814643419267072,https://twitter.com/MightyBlackout/status/409814643419267072
2013-12-08 20:19:06,peglegge12,,0,0,0,"Was an awesome movie!!!! #thor #thedarkworld #moviebuff http://instagram.com/p/hrHdxLDh0I/",,,#thor #thedarkworld #moviebuff,409779186887577600,https://twitter.com/peglegge12/status/409779186887577600
2013-12-08 18:39:06,BreakingViews4u,,0,1,0,"Worldwide #BoxOffice Gross: @TheHungerGames #CatchingFire 4150 cr [Approx] @ThorMovies #TheDarkWorld 3758 cr [Approx]",,@TheHungerGames @ThorMovies,#BoxOffice #CatchingFire #TheDarkWorld,409754021138673664,https://twitter.com/BreakingViews4u/status/409754021138673664
2013-12-08 15:10:21,KikiCamaj,,0,0,0,"Road to the #Oscars... C- for #TheDarkWorld... the effects are big and every minute Hiddleston's on the screen is a minute worth another",,,#Oscars #TheDarkWorld,409701490681319425,https://twitter.com/KikiCamaj/status/409701490681319425
2013-12-08 13:33:56,Dalaley,,0,0,0,"In love with Thor Movie #thedarkworld #Thorpic.twitter.com/E4lI5L4j5x",,,#thedarkworld #Thorpic,409677225798434816,https://twitter.com/Dalaley/status/409677225798434816
2013-12-08 12:47:41,KikiCamaj,,0,0,0,"Road to the #Oscars... watching #TheDarkWorld... my review after the movie pic.twitter.com/QPWWQlV8Ei",,,#Oscars #TheDarkWorld,409665583517405184,https://twitter.com/KikiCamaj/status/409665583517405184
2013-12-08 10:36:11,olams__,,0,0,0,"And dis is y Thor is the most awesome superhero ever!!!!!! \=D/ #thor2 #thedarkworld the hammer is always on time/all these 2014 movies sha",,,#thor2 #thedarkworld,409632490937393152,https://twitter.com/olams__/status/409632490937393152
2013-12-08 04:16:40,k_atietran,,0,0,1,"Thor all day errrday, Loki got that something something too #bestbrotherhood #thor #thedarkworld",,,#bestbrotherhood #thor #thedarkworld,409536983690522624,https://twitter.com/k_atietran/status/409536983690522624
2013-12-08 00:33:43,KikiCamaj,,0,0,0,"Road to the #Oscars... next movies #TheDarkWorld, #TheConjuring and #FrozenGround... all three tomorrow",,,#Oscars #TheDarkWorld #TheConjuring #FrozenGround,409480876259414016,https://twitter.com/KikiCamaj/status/409480876259414016
2013-12-07 21:23:27,iamkathleenking,,0,0,0,"@twhiddleston just now I get the chance to watch #Thor #thedarkworld loved your interpretation like always.",,@twhiddleston,#Thor #thedarkworld,409432994504794113,https://twitter.com/iamkathleenking/status/409432994504794113
2013-12-07 21:21:23,iamkathleenking,,0,0,0,"I got scared when I thought Loki died. #Thor #thedarkworld",,,#Thor #thedarkworld,409432476113960960,https://twitter.com/iamkathleenking/status/409432476113960960
2013-12-07 20:26:01,iamkathleenking,,0,0,0,"Enjoying #thor #thedarkworld so much",,,#thor #thedarkworld,409418540522143744,https://twitter.com/iamkathleenking/status/409418540522143744
2013-12-07 20:21:09,Ravynheart,,0,0,0,"Talking about #Thor: #TheDarkWorld and the Marvel Universe on today's podcast! http://www.ultimateurbanfantasy.com/thor/",,,#Thor #TheDarkWorld,409417316720705539,https://twitter.com/Ravynheart/status/409417316720705539
2013-12-07 20:09:19,CaptainFutur3,,0,0,0,"Unseen things we label dark #Darkness #TheDarkWorld #DarkMatter #DarkEnergy http://springismylove.wordpress.com/2013/12/07/darkness/ …",,,#Darkness #TheDarkWorld #DarkMatter #DarkEnergy,409414337237762048,https://twitter.com/CaptainFutur3/status/409414337237762048
2013-12-07 18:55:06,iamkathleenking,,0,0,0,"Off to watch #Thor #thedarkworld with the fam",,,#Thor #thedarkworld,409395661835370497,https://twitter.com/iamkathleenking/status/409395661835370497
2013-12-07 17:21:07,UltimateUF,,0,0,0,"Talking about #Thor: #TheDarkWorld and the Marvel Universe on today's podcast! http://www.ultimateurbanfantasy.com/thor/",,,#Thor #TheDarkWorld,409372009630806016,https://twitter.com/UltimateUF/status/409372009630806016
2013-12-07 15:05:12,TheBlackMyst,,0,0,0,"Going to watch Thor The Dark World with my father today. #TheDarkWorld",,,#TheDarkWorld,409337802942201856,https://twitter.com/TheBlackMyst/status/409337802942201856
2013-12-07 10:01:22,Scyllaya,,0,0,1,"Thor: The Dark World crosses $600 million worldwide | Flickering Myth http://www.flickeringmyth.com/2013/12/thor-dark-world-crosses-600-million.html#.UqLx6iMmUkE.twitter … #TheDarkWorld",,,# #TheDarkWorld,409261344529997824,https://twitter.com/Scyllaya/status/409261344529997824
2013-12-07 02:59:35,Riona_Starsight,,0,0,1,"My 10000 tweet is in honor of Thor, because I finally saw #TheDarkWorld today. pic.twitter.com/QpkSnmkbHB",,,#TheDarkWorld,409155195805790209,https://twitter.com/Riona_Starsight/status/409155195805790209
2013-12-06 19:47:12,whatthemehek,,0,0,0,"#Thor #TheDarkWorld just passed the $600 million mark in global revenue, with nearly two thirds of it coming from abroad. #Marvel #boxoffice",,,#Thor #TheDarkWorld #Marvel #boxoffice,409046383400738816,https://twitter.com/whatthemehek/status/409046383400738816
2013-12-06 18:31:38,RicBerlakovich,,0,0,0,"Box Office: Thor 2 bricht weltweit die 600 Millionen Dollar-Marke http://ric89.cwsurf.de/box-office-thor-2-bricht-weltweit-600-millionen-dollar-marke/ … #Thor #TheDarkWorld #TheDarkKingdom #BoxOffice",,,#Thor #TheDarkWorld #TheDarkKingdom #BoxOffice,409027369811181568,https://twitter.com/RicBerlakovich/status/409027369811181568
2013-12-06 18:21:34,WaqasMhd,,2,0,0,"So I even donated my free 3D #Thor2 movie tickets. #TheDarkWorld",,,#Thor2 #TheDarkWorld,409024833385930752,https://twitter.com/WaqasMhd/status/409024833385930752
2013-12-06 15:26:30,kawaiidesunever,,0,0,0,"“Tadaa” — Anyone who has seen The Dark World will understand. #Loki #thedarkworld",,,#Loki #thedarkworld,408980778123407360,https://twitter.com/kawaiidesunever/status/408980778123407360
2013-12-06 15:24:35,kawaiidesunever,,0,0,0,"Loki Friggason. Because that's how it should be. #Loki #thedarkworld",,,#Loki #thedarkworld,408980296734748672,https://twitter.com/kawaiidesunever/status/408980296734748672
2013-12-06 10:22:00,Vidurangae,,1,0,0,"#thedarkworld @ThorMovies epic..!!",,@ThorMovies,#thedarkworld,408904147832811520,https://twitter.com/Vidurangae/status/408904147832811520
2013-12-06 05:54:38,Angelitovhodge,,0,0,0,"READY!!! #thor #thedarkworld @AMC Mission Valley 20 http://instagram.com/p/hkbQGQRO-o/",,@AMC,#thor #thedarkworld,408836861873127424,https://twitter.com/Angelitovhodge/status/408836861873127424
2013-12-06 02:26:50,AlekH92,,0,0,1,"Just saw #Thor #thedarkworld with @avs0217 !! Great night <333",,@avs0217,#Thor #thedarkworld,408784567647350784,https://twitter.com/AlekH92/status/408784567647350784
