date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2011-05-19 23:59:33,TWFANSCAN,,0,0,0,"i want to watch #thor again :)xx",,,#thor,71364401734750208,https://twitter.com/TWFANSCAN/status/71364401734750208
2011-05-19 23:58:18,KMWalton1,,0,0,0,"Took my son to see #Thor and was definitely entertained. Thor's *ahem* upper body may or may not have something to do with my entertainment",,,#Thor,71364084909621251,https://twitter.com/KMWalton1/status/71364084909621251
2011-05-19 23:56:32,T_From_Da_Grove,,0,0,0,"Just finished watching #Thor ......Loki aint shit i swear. Looove this movie though :)",,,#Thor,71363639197700096,https://twitter.com/T_From_Da_Grove/status/71363639197700096
2011-05-19 23:56:03,SandraYacoub,,0,0,0,"If u haven't watched #thor yet here's a tip 1- GO SEE IT 2- watch it in 3D",,,#thor,71363520536653824,https://twitter.com/SandraYacoub/status/71363520536653824
2011-05-19 23:54:39,atxfinest20,,0,0,0,"I wanna go see #priest or #Thor...Or go to #DrinkHouston for 3.00 you call. Who wants to go?",,,#priest #Thor #DrinkHouston,71363165958586368,https://twitter.com/atxfinest20/status/71363165958586368
2011-05-19 23:52:15,zakmorris,,0,0,0,"@iamcloud The movie is frick'n sweet. Probably between Iron Man and Hulk (Edward Norton). #thor",,@iamcloud,#thor,71362562826059776,https://twitter.com/zakmorris/status/71362562826059776
2011-05-19 23:51:41,mrvictorwins,,0,0,0,"PTU (Pardon The Unemployment): M@D $cientist Reviews Thor http://digg.com/news/entertainment/ptu_pardon_the_unemployment_m_d_cientist_reviews_thor … via @Digg #PTU #THOR #MOVIES #MARVEL #BLOCKBUSTER #SUMMER",,@D @Digg,#PTU #THOR #MOVIES #MARVEL #BLOCKBUSTER #SUMMER,71362422295887872,https://twitter.com/mrvictorwins/status/71362422295887872
2011-05-19 23:51:01,marymargaretc,,0,0,0,"Took the Kenyans to see #THOR in IMAX 3-D. It was amazing. #fb",,,#THOR #fb,71362254183997440,https://twitter.com/marymargaretc/status/71362254183997440
2011-05-19 23:50:07,AlysTigue,,0,0,0,"#Thor with my little bro on IMAX 3D. http://yfrog.com/gyk9mfmj",,,#Thor,71362027402174464,https://twitter.com/AlysTigue/status/71362027402174464
2011-05-19 23:50:07,white,,0,0,0,"See #Thor again? (@AMC Loews Uptown 1) http://4sq.com/mCVL7F",,@AMC,#Thor,71362027318288384,https://twitter.com/white/status/71362027318288384
2011-05-19 23:48:58,TextbookEnigma,,0,0,0,"This had better be good. At least Schumacher didn't direct it. http://bit.ly/mITMZU @GetGlue #Thor",,@GetGlue,#Thor,71361737772892160,https://twitter.com/TextbookEnigma/status/71361737772892160
2011-05-19 23:48:44,Venny7272,,0,0,0,"Is #Thor worth seeing in 3D? ................ehhhhhhhhhh",,,#Thor,71361676229869569,https://twitter.com/Venny7272/status/71361676229869569
2011-05-19 23:48:31,aTufts18,,0,0,0,"Why doesn't anyone like sitting in the back row of movies? oh well just another reason to get frisky with @mattnoe11 while watching #Thor",,@mattnoe11,#Thor,71361622572150785,https://twitter.com/aTufts18/status/71361622572150785
2011-05-19 23:47:28,TextbookEnigma,,0,0,0,"I am watching Thor w/104 others http://bit.ly/mITMZU @GetGlue #Thor",,@GetGlue,#Thor,71361358213554178,https://twitter.com/TextbookEnigma/status/71361358213554178
2011-05-19 23:47:09,sharaexo,,0,0,0,"someones wifi connection name is #Thor. Too funnyyy.",,,#Thor,71361279637454849,https://twitter.com/sharaexo/status/71361279637454849
2011-05-19 23:47:08,TextbookEnigma,,0,0,0,"This had better be good. At least Joel Scumacher didn't direct it. http://bit.ly/mITMZU @GetGlue #Thor",,@GetGlue,#Thor,71361275044696064,https://twitter.com/TextbookEnigma/status/71361275044696064
2011-05-19 23:44:32,BigNate_3up,,0,0,0,"#sometimesyouhaveto laught @the unedgeublicashun of ""sum"" of our ppl. Smh. Watchin M.A.D.E.A again #THOR was guud #ShowHoppin",,@the,#sometimesyouhaveto #THOR #ShowHoppin,71360619726651393,https://twitter.com/BigNate_3up/status/71360619726651393
2011-05-19 23:44:07,tyronekingjr,,0,0,0,"Finally get to finish #Thor (:",,,#Thor,71360516517400576,https://twitter.com/tyronekingjr/status/71360516517400576
2011-05-19 23:42:06,Keithamuspeace,,0,0,0,"I am watching Thor w/101 others http://bit.ly/l0uEnm @GetGlue #Thor",,@GetGlue,#Thor,71360009467990016,https://twitter.com/Keithamuspeace/status/71360009467990016
2011-05-19 23:41:22,Cheditout,,0,0,0,"tomorrow im hitting the movies to go see #FastFive and #Thor.",,,#FastFive #Thor,71359824557912064,https://twitter.com/Cheditout/status/71359824557912064
2011-05-19 23:39:51,ghostkacie,,0,0,0,"Pretty excited for my date with Chris Hemsworth's thighs tonight. #hebetterpay #thor",,,#hebetterpay #thor,71359441940910081,https://twitter.com/ghostkacie/status/71359441940910081
2011-05-19 23:38:27,jurzak,,0,0,0,"Movie Review #Thor - #THOR - the only thing harder to believe than norse gods hanging out and fighting bad... http://tumblr.com/xad2lgwbwy",,,#Thor #THOR,71359088067481601,https://twitter.com/jurzak/status/71359088067481601
2011-05-19 23:37:49,maria_hannan,,0,0,0,"only people in the theater. private show #Thor",,,#Thor,71358930307137536,https://twitter.com/maria_hannan/status/71358930307137536
2011-05-19 23:37:32,ClearHeatVision,,0,0,0,"About to see #thor!",,,#thor,71358859222073345,https://twitter.com/ClearHeatVision/status/71358859222073345
2011-05-19 23:37:31,aditiruhi,,0,0,0,"Watching #Thor with two of my favorites. It's a laughing riot even with the movie stuck.",,,#Thor,71358856898420736,https://twitter.com/aditiruhi/status/71358856898420736
2011-05-19 23:36:44,BManderville718,,0,0,0,"Seeing #Thor with my dad soon. #wearenerds",,,#Thor #wearenerds,71358657799012353,https://twitter.com/BManderville718/status/71358657799012353
2011-05-19 23:35:31,Supa_Nintendope,,0,0,0,"Going to watch #Thor with my honey @doll_face1 Awesome. ^_^ she's the best.",,@doll_face1,#Thor,71358352734687232,https://twitter.com/Supa_Nintendope/status/71358352734687232
2011-05-19 23:34:17,_abuchanan,,0,0,0,"#Thor at Hill Top Drive In next weekend! #HOMFG!!!!!!",,,#Thor #HOMFG,71358043115364353,https://twitter.com/_abuchanan/status/71358043115364353
2011-05-19 23:33:39,KeisRidin_4z,,0,0,0,"We in the movies right now watchin #THOR",,,#THOR,71357880615452672,https://twitter.com/KeisRidin_4z/status/71357880615452672
2011-05-19 23:33:31,abbycab,,0,0,0,"Seeing #Thor in #IMAX with @Ionagroup!!",,@Ionagroup,#Thor #IMAX,71357848759713792,https://twitter.com/abbycab/status/71357848759713792
2011-05-19 23:32:54,DaKidds,,0,0,0,"Love the movie... #THOR#",,,#THOR #,71357694212186112,https://twitter.com/DaKidds/status/71357694212186112
2011-05-19 23:32:49,slaveBadBaby,,0,0,0,"I am watching Thor w/91 others http://bit.ly/mFfkzO @GetGlue #Thor",,@GetGlue,#Thor,71357670602448896,https://twitter.com/slaveBadBaby/status/71357670602448896
2011-05-19 23:32:31,humminbyrd,,0,0,0,"RT @_gmarie_: 10 minutes in and I'm geeked as hell! #THOR>> ohh I saw it..it was pretty good! I enjoyed it",,@_gmarie_,#THOR,71357598787584000,https://twitter.com/humminbyrd/status/71357598787584000
2011-05-19 23:30:06,dindc,,0,0,0,"Four other peeps in the theatre, and three of them are with me. This is the best!! Bring on #Thor",,,#Thor,71356988721860608,https://twitter.com/dindc/status/71356988721860608
2011-05-19 23:29:51,mininorachan,,0,0,0,"Ooh after #PiratesoftheCaribbean I wish I could see this movie #Thor but.. it was very late on #Thursday night http://twitpic.com/4zu8hw",,,#PiratesoftheCaribbean #Thor #Thursday,71356924414799872,https://twitter.com/mininorachan/status/71356924414799872
2011-05-19 23:29:44,mediabounds,,0,0,0,"Excited to see #Thor at the IMAX with @IonaGroup!",,@IonaGroup,#Thor,71356895025311744,https://twitter.com/mediabounds/status/71356895025311744
2011-05-19 23:29:31,Mattysmith86,,0,0,0,"#Thor was a pretty good movie! The morals in it were great! Not to mention the action and special effects were amazing!",,,#Thor,71356843850600448,https://twitter.com/Mattysmith86/status/71356843850600448
2011-05-19 23:29:20,ChazTenenbaum,,0,0,0,"Just saw #Thor and really enjoyed it.",,,#Thor,71356794563346432,https://twitter.com/ChazTenenbaum/status/71356794563346432
2011-05-19 23:28:12,ciarawrrr,,0,0,0,"Waaay better than I expected! :) http://bit.ly/kCa6HV @GetGlue #Thor",,@GetGlue,#Thor,71356510718005248,https://twitter.com/ciarawrrr/status/71356510718005248
