Film,Week1,Week2,Week3,Week4,Week5,Week6
ironman2,0.343,0.353571429,0.356936416,0.330291971,0.336734694,0.409495549
thor,0.377,0.361,0.351,0.394,0.365,0.293
avengers,0.204,0.182,0.185,0.178,0.259,0.196
ironman3,0.385,0.37,0.358,0.344,0.31,0.306
thedarkworld,0.358,0.382978723,0.360215054,0.384615385,0.307692308,0.28
guardiansofthegalaxy,0.374,0.357,0.375,0.358,0.269,0.348
ageofultron,0.219,0.22,0.164,0.207,0.171,0.185840708
antman,0.234,0.333,0.472,0.229,0.288,0.24
doctorstrange,0.297,0.242,0.257,0.252,0.23,0.225118483
guardiansofthegalaxy2,0.433,0.276,0.341,0.298,0.267,0.246041413
spidermanhomecoming,0.303,0.275,0.294,0.328,0.315,0.366
thorragnarok,0.334,0.303,0.258,0.282,0.264,0.253
blackpanther,0.305,0.269,0.28,0.278,0.29,0.243
infinitywar,0.208,0.219,0.21,0.223,0.253,0.222
antmanandwasp,0.282,0.260053619,0.279874214,0.233516484,0.32807571,0.285714286
captainmarvel,0.227,0.24,0.211,0.202,0.211,0.198
endgame,0.233,0.214,0.215,0.201,0.187,0.2
spidermanfarfromhome,0.289,0.309,0.275,0.257,0.289,0.248
