Film,PCT,BoxOffice,SWN,SVM
ironman2,-0.462,50223012.83,0.610688281,0.35500501
thor,-0.456,29161000.33,0.371833333,0.356833333
avengers,-0.418,96314817.33,0.385333333,0.200666667
ironman3,-0.468,66117039.83,0.370333333,0.3455
thedarkworld,-0.478,33239684.67,0.370712423,0.345583578
guardiansofthegalaxy,-0.338,49647472,0.450166667,0.346833333
ageofultron,-0.472,73517036.33,0.425246313,0.194473451
antman,-0.408,27688754.33,0.52,0.299333333
doctorstrange,-0.43,37341671.17,0.446322275,0.250519747
guardiansofthegalaxy2,-0.432,61645169.17,0.382000203,0.310173569
spidermanhomecoming,-0.426,51633563.5,0.449,0.3135
thorragnarok,-0.432,50565686.67,0.473,0.282333333
blackpanther,-0.384,106572772.3,0.4245,0.2775
infinitywar,-0.456,53428568.33,0.432333333,0.2225
antmanandwasp,-0.422,34290941.67,0.525769941,0.278205719
captainmarvel,-0.412,65154355.5,0.5355,0.214833333
endgame,-0.516,136594323.3,0.443,0.208333333
spidermanfarfromhome,-0.258,60945415,0.458166667,0.277833333
