User,Rating,Date,Title,Comment
mysticfall,POS,18 October 2019," For those who didn't like the movie because of its second half
","It's not really a review but my attempt to explain how I interpreted the movie to those who complain that the film is overrated, especially if the reason is that they didn't like the second half of it.It's much easier to understand the message of a movie when the 'good guys' win or the 'bad guys' get punished in the end. I'm not saying that all Hollywood films are so naive in their portrayal of moral values. But still, I believe that Parasite is much more subtle than most other movies that people are accustomed to watching in which there's a character with a clearer 'moral center' whom audiences can easily relate to. So, I think it's no surprise if the message of this film had failed to register for some of the audiences.Some complained that they don't understand Ki-Taek's motive for killing Mr. Park. But to fully appreciate this, you need to understand the meaning of a recurring expression in the dialogue which is, ""crossing the line"".It's a deliberately ambiguous phrase that can either read as one should respect other people's privacy or as one should mind one's own (social) position instead of meddling with the affairs of those in a different position. If interpreted as the latter meaning, it can serve as another image that emphasizes the subject matter of the narrative, along with more easy to notice the metaphor of the two families' respective dwellings.It would probably have satisfied such audiences who expected more lighthearted drama if the movie focused on an underprivileged, but more likable family exploiting a cold hearted snobbish family in a comical manner. But the movie would have lost all its genuine charms if Bong Joon-Ho chose such a path, and he is too good a director not to see such a danger.Instead, he chose to make Mr. Park a reasonable enough character, despite his occasional hints that reveal his true nature. He seems to treat Ki-Taek fairly enough at first, but he also warns the latter not to 'cross the line' if Ki-Taek attempts to pry into his private life.At first, it seems that it's quite easy for Ki-Taek and other members of his family to sneak into Mr. Park's house in various roles and mingle with them. Ki-Taek even compliments how nice Mr. Park's family is, but his premature admiration soon gets challenged when he overheard, when he was hiding under the table, what Mr. Park really thinks of him - almost a different species of the human being who doesn't even smell like him.Ki-Taek's final disillusionment came when Mr. Park cringes from the smell of the dead basement dweller and shows much more concern for his son's shock while virtually ignoring Ki-Taek's daughter's status who's dying on the ground, spurting blood from the stab wound.That moment, Ki-Taek realizes how Mr. Park sees him and his whole family as not an equal human being, but something much more insignificant.And he also realizes the 'line' that separates the two families is not just that of courtesy or proper social behaviour. Instead, it is a line that can even determine the life of those 'lesser' human beings to be less important than the passing unpleasant feelings or mental shock of those 'proper' human beings.However easy it was for Ki-Taek's family to sneak into Mr. Park's house, or however they try to socialize and mingle with Mr. Park's family, their existence is no better than that of a 'parasite', which is also visualized so effectively by the presence of the hidden basement room inside the house.With such disillusionment and anger, Ki-Taek chose to kill Mr. Park, as a parasite could to its host, and like a parasite, he keeps hiding deep inside the dead host's body until he could claim the whole of the carcass and use it as nourishment for his offsprings.The tragedy was not something caused by any exceptional defect or vice of either Mr. Park's or Ki-Taek's personalities. Instead, it's a 'line' drawn by an invisible hand, separating those classes according to their respective social conditions, which can be so brutal as to be able to deprive the two families of their humanity in contrasting manners. And that is what I believe to be the message this film is trying to convey.Of course, not every movie must make a commentary on society rather than providing a care-free pastime that everyone can understand.But without if the movie didn't change its gear in the second half to shed light on a serious inherent problem of our society, it would be just another heist gone wrong type comedy, instead of a deserving candidate to be called the best film of the year."
Jeremy_Urquhart,POS,5 July 2019," One of the best films of this decade
","I am remarkably stingy with my 10/10 ratings. I'll be the first person to acknowledge this. Of the roughly 2600 titles I've rated on here, only 34 have a 10.
Parasite is one of them. If this isn't a masterpiece, then I don't know what is.I'm going to keep it vague on the plot-front, because I didn't know anything about it going in, and was really excited to see it progress and unfold in satisfying, unexpected ways.What I will say is that this film, more than just about any other I've seen, put me through so many different emotional states during its 132-minute runtime, and did so without ever feeling muddled or tonally inconsistent. Parts of this movie were hilarious. Parts were heartbreaking. Other parts were insanely suspenseful (I'm honestly not sure if I've felt this close to the edge of my seat since the final season of Breaking Bad, way back in 2013).And it does all this while being perfectly paced, beautifully directed, and amazingly acted from every single member of its cast. All the characters are understandable and sympathetic to some degree; the amount of conflict, drama and tension derived from a narrative with no clear heroes and villains is staggering. You come to care for just about all of them.I'm stumped to come up with any flaws for this movie. And sure, I've seen many movies that are hard to fault, but it's rare that a movie appeals to me on a gut level and excites me to this degree while also being so close to technically perfect. It's extremely entertaining, thoroughly moving in so many different ways, and as icing on the cake there's a ton of social commentary and some heavy themes to chew on once the movie's over (and this one's not going to leave my head for a while, I can tell).Catch this one when you can and believe the hype. Joon-Ho Bong has made many great films (and so far no bad one's), but this even manages to stand head and shoulders above all the others.When it comes time to consider what the best film of the 2010s was, this one will surely be up there."
jtindahouse,POS,6 October 2019," You name a genre, this movie covers it
","I can't remember the last time I saw a movie that contained as many genres as 'Parasite'. The movie starts out almost like an 'Ocean's Eleven' heist film and then expands into a comedy, mystery, thriller, drama, romance, crime and even horror film. It really did have everything and it was strikingly good at all of them too.I love a film that respects its audience. There are so many details in this movie that are crucially important and yet the film trusts its audience to notice them and acknowledge them without ramming them down our throats. There are a lot of layers to this film and I suspect for this reason its rewatch-ability factor will be very high.The film was incredibly entertaining too. I can't think of a boring scene in this movie and yet on the surface for large parts of the film you would say not a lot is happening, at least in terms of action. Fascinating characters and brilliant dialogue are what create this. I had a great time with 'Parasite' and I think most that give it a chance will too."
nehpetstephen,POS,25 August 2019," Meritocracy: it's metaphorical
","In a meritocracy, success and fortune are reserved for those who deserve it--those who develop solid plans according to their talents and abilities and who execute those plans through hard work and determination. Anyone can rise to the top, and for some lucky Cinderella, plucked from the cinders and gussied up in gowns, the meritocracy represents the heights of perfect egalitarian society: ""I started with nothing and ended up with everything I ever desired; you, too, can achieve you dreams, if only you try.""The promise of unobstructed sunshine at the top of the mountain becomes justification for bitter competition, backstabbing, deceit, and callousness. You climb the crooked ladder until you make it to the straight one, and then, perhaps, when you at last feel secure, you can afford to be kind and confident and generous. ""It's easy to be nice when you're rich,"" the mother in this film (Jang Hye-jin) at one point observes.But it's a very long and very crooked ladder, and sometimes the rungs give out beneath your grip, and sometimes they've been dangerously greased by those who climbed before you, and sometimes the ladder itself is simply kicked down--either by those above you or, just as often, by those staring up from the ground below. There are a lot of people trying to climb that one ladder.But in a meritocracy, you can't blame the ladder or the other people trying to climb it. Nor can you blame the fact that all the good stuff is kept so many stories up instead of down at the ground where everyone can easily reach it. No, you must blame yourself. You should have tread more carefully. You should have climbed more quickly. You should have used a firmer and more precise grip, anticipated disasters, and known just when to leap. If you fail in a meritocracy, it's all your fault. You should have tried harder. Better luck next time.Kim Ki-woo (Choi Woo-sik), the young man who is the main character of PARASITE, several times refers to ""metaphors,"" and the film itself is, of course, a metaphor. On a surface level, viewers are treated to a very thrilling, engaging, well-paced and well-plotted crime story. At all times, however, bubbling up from beneath the slick surface of this genre film, there are deeply personal, meaningful truths that should resonate with almost any viewer. These insights are rarely foregrounded. They are so subtly interwoven, in fact, that if you're like me, you may be completely surprised when the final shots of the film roll and you realize that you are emotionally devastated by the intimate, humanist story you've just witnessed. Bong Joon-ho's filmmaking is so extraordinary here that he'll make you fully invested in the lives of his characters without you even realizing he's done so.I want to avoid spoilers here, but suffice it to say that PARASITE is a masterpiece--beautifully lensed, enthrallingly edited, superbly acted, and intimately involving.South Korea has a population that is one sixth the size of the United States, and that population is stacked into skyscrapers in an area slightly smaller than the state of Kentucky. Higher education is widespread, so parents with means try to make their children stand above the pack by hiring them tutors and signing them up for extracurriculars and afterschool programs. I lived in Korea once, and the children I taught there were sometimes engaged in learning ten to twelve hours a day, six days a week--public school, English-immersion private school, piano class, soccer team, taekwondo, math camp, chess club, and so on. I routinely worked sixty to seventy hours a week on salary, but at bars I would meet young men my age who were expected to work far more than that, who slept at their desks so that they did not need to pry themselves from work for too long. As the father (Song Kang-ho) in the film at one point says, this is a country where fifty young men with college degrees apply for a mere security guard job. One can't afford not to struggle.The themes of this story are not just localized to Korea, however. They are the story of global capitalism, and the specter of American materialism (and imperialism; note the ""Indians"") looms heavily over the film. Meritocracy makes cannibals of us all. It's nice to dream, and sometimes the dreamers who plan and struggle well enough can indeed climb out of the basement and into the sunshine, and how nice an ending it is when they do. But the film also makes it clear that sometimes all that planning and dreaming may be, maybe, just whims and fancy. More often, it seems, our pipe dreams are content to leave us with nothing more than the whiff of spewed sewage."
Aaron_Kyle,POS,28 December 2019," A modern era masterpiece
","Parasite was directed and written by Bong Joon Ho and tells the story of the Kim family and their life-changing involvement with the Park family.Parasite can best be described as astonishing, astounding, stunning or any other synonym of amazing. It is so far my favourite film of the year and one of my favourite films of the decade. The very idea of the plot is simple but incredibly hard to execute and that's, why it's editing, is pitch-perfect and leads to an unexpectedly shocking and brutal ending.The biggest forte of Parasite is the screenplay as it impeccably mixes comedy, drama and horror featuring flawless pacing, breath-taking cinematography, a beautiful score and a brilliant cast making it a masterpiece. Parasite also perfectly presents the subject of classism, showing us how both the working class and the upper class view each other and the people around them. Themes of capitalism can also be felt throughout the film, but Parasite shouldn't be mistaken as a pro-capitalism film as it doesn't support or hate anyone or any side; it's ambiguity also contributes to this factor.Taking everything into account, Parasite is a true work of art and a rare and extraordinary masterpiece that should be viewed by everyone at some point in their lives, especially film lovers.Final Rating - 10/10"
keezoy9uno,POS,19 August 2019," A true masterpiece.
","This movie is a gosh darn masterpiece. It will make you belly laugh, it will chill you to the bone, and it will make you shed a tear. This movie will stay with you long after the credits are over.If you plan on watching this movie, AVOID SPOILERS AT ALL COSTS."
MR_Heraclius,POS,4 February 2020," Great
",The most original film of 2019 and it is wickedly funny and darkly disturbing all at the same time. The narrative and the actors were excellent. One of the better endings of a movie in quite a while. Class warfare at its best.
navonco,POS,9 February 2020," Perhaps I just did not get it
",Most of the time when my opinion does not jibe with the majority I am confident in my assessment. With this one I am not so sure for some reason. That being said I think it is ridiculously overrated. I just really did not find it to be anything special. I thought the Japanese movie shoplifters was infinitely better.
sandeepventrapragada98,POS,19 August 2019," A brilliant piece of art which will slowly grows on you!
",Well written and performed also technically shines cinematography & bgm are too good and there's not even a single lag it's perfectly edited. Probably the best experience in recent times. Its pure art resembles the modern society the emotions they had shelved are insanely exceptional a layered masterpiece. If you like dark thrillers then you shouldn't miss Mr. Bong joon-ho's Parasite. Definitely tops the list of best movies in 2019.
me-08123,POS,1 March 2020," Did I miss something?
","I came to this movie with an open mind, despite the hoo ha around it. Stylistically yep, I can see the hoo haa. The same goes for the acting, once again exceptional . The humour was also done really well. It's just that past the halfway mark it becomes a bit 'meh'. Kind of similar in a way to the film 'us', once it did it's core 'reveal'. It's good that western audiences will watch it and hopefully realise there is a film industry outside of the west..but this film just an ok for me"
