ironman2,0.652,0.6023809523809524,0.6257225433526011,0.6332116788321168,0.5959183673469388,0.5548961424332344
thor,0.382,0.381,0.366,0.401,0.375,0.326
avengers,0.39,0.382,0.396,0.456,0.356,0.332
ironman3,0.359,0.354,0.38,0.388,0.352,0.389
thedarkworld,0.445,0.44680851063829785,0.34946236559139787,0.32967032967032966,0.3333333333333333,0.32
guardiansofthegalaxy,0.469,0.472,0.426,0.474,0.429,0.431
ageofultron,0.41,0.463,0.455,0.396,0.385,0.4424778761061947
antman,0.552,0.448,0.652,0.496,0.476,0.496
doctorstrange,0.473,0.498,0.426,0.365,0.442,0.47393364928909953
guardiansofthegalaxy2,0.341,0.396,0.366,0.411,0.359,0.4190012180267966
spidermanhomecoming,0.467,0.405,0.452,0.46,0.446,0.464
thorragnarok,0.457,0.513,0.469,0.482,0.452,0.465
blackpanther,0.426,0.421,0.443,0.468,0.388,0.401
infinitywar,0.373,0.404,0.449,0.434,0.426,0.508
antmanandwasp,0.529,0.5,0.5,0.4642857142857143,0.5899053627760252,0.5714285714285714
captainmarvel,0.552,0.544,0.536,0.537,0.533,0.511
endgame,0.439,0.432,0.433,0.442,0.446,0.466
spidermanfarfromhome,0.435,0.462,0.431,0.461,0.457,0.503
