date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-20 15:06:39,malluflix,,0,0,0,"Remember NewYear few weeks back...the plans we made ...positive feel we got entering 2020 #ParasiteMovie #ParasiteOnPrime #Parasite #MovieLines #MovieQuotepic.twitter.com/ltqLtBJShh",,,#ParasiteMovie #ParasiteOnPrime #Parasite #MovieLines #MovieQuotepic,1241018321421496320,https://twitter.com/malluflix/status/1241018321421496320
2020-03-20 14:14:17,EBMIZCHANNEL,,0,0,0,"ASMR | JJAPAGURI WITH STEAK aka RAM-DON FROM PARASITE MOVIE *RECIPE**EAT... watch here https://youtu.be/pYCtfo7sdlc via @YouTube #asmr #ASMReating #asmrfood #asmrsound #foodie #koreanfood #chapaguri #jjapaguri #ParasiteMovie #asmrcommunity #foodpic.twitter.com/wNPdRM9AYG",,@YouTube,#asmr #ASMReating #asmrfood #asmrsound #foodie #koreanfood #chapaguri #jjapaguri #ParasiteMovie #asmrcommunity #foodpic,1241005143836917762,https://twitter.com/EBMIZCHANNEL/status/1241005143836917762
2020-03-20 12:29:39,youngkardy,,1,0,7,"#ParasiteMovie WHAAAT THEEE FUCCCKKKK",,,#ParasiteMovie,1240978810050236417,https://twitter.com/youngkardy/status/1240978810050236417
2020-03-20 12:00:39,Janlooooooo,,0,0,0,"Day 0 of “Quarantine”: #ParasiteMovie pic.twitter.com/ze6t3OJpGL",,,#ParasiteMovie,1240971513638998016,https://twitter.com/Janlooooooo/status/1240971513638998016
2020-03-20 10:48:57,FestivalinLA,,0,0,2,"Now you can enjoy this year's #BestPicture #OSCAR winner #ParasiteMovie remember #ParasiteMadeHistory #ParasiteOnPrime and #Bluray #stayhomechallenge My #MovieReview LINK: http://www.festivalinla.com/2019/10/parasite-accomplishes-south-korea-dream.html …pic.twitter.com/ADVlmZ9LPH",,,#BestPicture #OSCAR #ParasiteMovie #ParasiteMadeHistory #ParasiteOnPrime #Bluray #stayhomechallenge #MovieReview,1240953468937854976,https://twitter.com/FestivalinLA/status/1240953468937854976
2020-03-20 10:48:34,_RichardGallon,,0,0,2,"You know how people say after watching #ParasiteMovie they wanted to watch all Bong Joon-ho’s other work? The Weeknd’s new album makes me feel that way #AfterHours",,,#ParasiteMovie #AfterHours,1240953371923820545,https://twitter.com/_RichardGallon/status/1240953371923820545
2020-03-20 10:42:39,iamkurmi,PrimeVideoIN,0,0,0,"#ParasiteMovie release date on @PrimeVideoIN ?",,@PrimeVideoIN,#ParasiteMovie,1240951884288069633,https://twitter.com/iamkurmi/status/1240951884288069633
2020-03-20 10:23:23,mary_in_fashion,sidetolaufer,0,0,0,"All I see is people who didn't get what #ParasiteMovie was all about. #Covid_19",,,#ParasiteMovie #Covid_19,1240947037010628609,https://twitter.com/mary_in_fashion/status/1240947037010628609
2020-03-20 10:20:38,lunaaatic88,,1,1,0,"—parasite (2019) i'll rate this an 8.5/10. the movie has it all from comedy, romance, to thriller. definitely one of the best movies of 2019 and very worth watching! #parasite #parasitemovie pic.twitter.com/AqelNpk5ET",,,#parasite #parasitemovie,1240946345076084736,https://twitter.com/lunaaatic88/status/1240946345076084736
2020-03-20 07:53:30,liaetomi,,0,1,1,"So late to the party but I think #ParasiteMovie just wormed its way into my favourite films of all time list and made its way to the top.",,,#ParasiteMovie,1240909314954416129,https://twitter.com/liaetomi/status/1240909314954416129
